# label=A
# timestamp=1764315039.8568423
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2559 2738 2534 2613 2672 | ACC: -9588 12564 -96 | GYRO: 791 216 503 | GDP=961.949
FLEX: 2559 2743 2590 2605 2720 | ACC: -9708 12444 -564 | GYRO: 465 -461 -37 | GDP=655.832
FLEX: 2559 2748 2523 2594 2698 | ACC: -10308 12632 -84 | GYRO: 807 83 -182 | GDP=831.422
FLEX: 2585 2740 2525 2654 2733 | ACC: -9956 12588 -632 | GYRO: 462 -473 -334 | GDP=740.762
FLEX: 2559 2722 2543 2592 2697 | ACC: -10128 12512 -140 | GYRO: 951 -740 -631 | GDP=1360.207
FLEX: 2559 2726 2532 2610 2689 | ACC: -9508 12560 -748 | GYRO: 667 -494 -894 | GDP=1219.902
FLEX: 2559 2734 2514 2621 2730 | ACC: -10524 12408 -236 | GYRO: 301 -1461 -1501 | GDP=2116.158
FLEX: 2559 2683 2544 2613 2707 | ACC: -10352 12304 80 | GYRO: 851 -691 -1099 | GDP=1552.251
FLEX: 2549 2752 2543 2615 2699 | ACC: -11052 12624 -284 | GYRO: 162 -1234 -1299 | GDP=1799.000
FLEX: 2559 2724 2553 2582 2704 | ACC: -10804 12236 52 | GYRO: 799 -112 -891 | GDP=1202.009
FLEX: 2559 2727 2512 2624 2697 | ACC: -10604 12328 -468 | GYRO: 231 -342 -659 | GDP=777.564
FLEX: 2559 2729 2539 2615 2700 | ACC: -10680 12384 -632 | GYRO: 373 646 -531 | GDP=915.645
FLEX: 2551 2720 2525 2607 2682 | ACC: -10804 12176 -276 | GYRO: -410 -152 -549 | GDP=701.858
FLEX: 2559 2720 2557 2621 2738 | ACC: -11300 12180 76 | GYRO: -139 807 -322 | GDP=879.917
FLEX: 2559 2715 2529 2639 2658 | ACC: -11372 12096 300 | GYRO: -506 487 48 | GDP=703.924
FLEX: 2559 2715 2517 2559 2695 | ACC: -11436 11984 672 | GYRO: 170 869 349 | GDP=951.768
FLEX: 2547 2717 2530 2608 2682 | ACC: -11876 12192 660 | GYRO: 316 1266 1229 | GDP=1792.499
FLEX: 2559 2720 2529 2642 2695 | ACC: -11800 12556 348 | GYRO: 371 496 1898 | GDP=1996.512
FLEX: 2559 2734 2533 2608 2665 | ACC: -10632 12196 436 | GYRO: 870 1368 2506 | GDP=2984.688
FLEX: 2598 2720 2555 2538 2646 | ACC: -9452 12328 -144 | GYRO: 1111 697 2182 | GDP=2545.831
FLEX: 2652 2707 2542 2559 2678 | ACC: -10092 12820 -512 | GYRO: 1567 1712 2191 | GDP=3191.695
FLEX: 2554 2672 2544 2591 2688 | ACC: -10536 13276 -924 | GYRO: 1286 1631 2409 | GDP=3180.760
FLEX: 2559 2715 2528 2608 2749 | ACC: -10904 13364 -852 | GYRO: 1169 1863 3267 | GDP=3938.352
FLEX: 2559 2733 2512 2625 2663 | ACC: -10196 13364 -800 | GYRO: 862 1354 3977 | GDP=4288.693
FLEX: 2559 2729 2475 2672 2694 | ACC: -9396 13472 -716 | GYRO: 807 2414 4571 | GDP=5231.891
FLEX: 2549 2711 2505 2624 2674 | ACC: -8660 13684 -1260 | GYRO: 8 1388 4064 | GDP=4294.497
FLEX: 2611 2731 2523 2631 2715 | ACC: -8484 14120 -1632 | GYRO: 120 2221 4494 | GDP=5014.307
FLEX: 2583 2705 2542 2623 2697 | ACC: -8736 14364 -1352 | GYRO: -643 1329 4277 | GDP=4524.646
FLEX: 2548 2721 2549 2622 2686 | ACC: -8036 13960 -748 | GYRO: -991 -1001 4257 | GDP=4483.986
FLEX: 2555 2706 2515 2608 2659 | ACC: -7316 14488 172 | GYRO: -933 -2945 3707 | GDP=4825.491
FLEX: 2559 2726 2543 2622 2722 | ACC: -5876 14524 632 | GYRO: 709 -3577 4358 | GDP=5682.409
FLEX: 2559 2718 2533 2607 2678 | ACC: -5484 14708 -96 | GYRO: 1272 -125 4864 | GDP=5029.125
FLEX: 2559 2713 2541 2608 2701 | ACC: -3888 14724 664 | GYRO: 1479 -1013 4009 | GDP=4391.548
FLEX: 2559 2706 2541 2624 2692 | ACC: -2200 14484 320 | GYRO: 2561 -518 2811 | GDP=3837.807
FLEX: 2545 2726 2538 2611 2684 | ACC: -1516 14308 208 | GYRO: 3644 -301 580 | GDP=3702.126
FLEX: 2591 2719 2506 2626 2698 | ACC: -3308 14984 -1340 | GYRO: 5042 3142 -459 | GDP=5958.574
FLEX: 2559 2719 2526 2607 2681 | ACC: -5220 15348 -2684 | GYRO: 4531 2556 -1250 | GDP=5350.290
FLEX: 2554 2736 2479 2608 2672 | ACC: -5540 15268 -3224 | GYRO: 3994 889 -1715 | GDP=4436.618
FLEX: 2559 2736 2546 2559 2691 | ACC: -6592 15852 -4148 | GYRO: 2743 1274 -1216 | GDP=3259.721
FLEX: 2549 2723 2529 2590 2702 | ACC: -6564 15536 -3644 | GYRO: 1497 -129 -591 | GDP=1614.599
FLEX: 2557 2721 2513 2620 2703 | ACC: -4876 15480 -4000 | GYRO: 1749 662 230 | GDP=1884.183
FLEX: 2549 2713 2539 2595 2671 | ACC: -5020 15236 -3280 | GYRO: 482 -400 -691 | GDP=932.633
FLEX: 2557 2736 2529 2609 2688 | ACC: -5024 14928 -3452 | GYRO: 973 -156 -680 | GDP=1197.274
FLEX: 2531 2704 2515 2595 2671 | ACC: -5416 15256 -3552 | GYRO: 426 700 -866 | GDP=1192.238
FLEX: 2544 2714 2528 2604 2673 | ACC: -5948 14936 -2548 | GYRO: 423 -109 -882 | GDP=984.243
FLEX: 2526 2698 2539 2607 2689 | ACC: -6392 15044 -2616 | GYRO: 1264 1826 -125 | GDP=2224.319
FLEX: 2537 2704 2525 2613 2704 | ACC: -5872 14952 -2836 | GYRO: 664 -83 -645 | GDP=929.414
FLEX: 2519 2647 2507 2603 2706 | ACC: -6404 14752 -2544 | GYRO: 2148 1321 196 | GDP=2529.301
FLEX: 2491 2736 2529 2617 2669 | ACC: -5812 15012 -3836 | GYRO: 211 -106 -28 | GDP=237.784
FLEX: 2484 2701 2519 2613 2683 | ACC: -5964 15076 -3856 | GYRO: 346 -575 -440 | GDP=802.459
FLEX: 2508 2720 2557 2638 2688 | ACC: -5596 15012 -3172 | GYRO: -1667 -1324 -723 | GDP=2248.242
FLEX: 2500 2697 2544 2641 2677 | ACC: -6272 15028 -2904 | GYRO: -2206 -458 -1091 | GDP=2503.294
FLEX: 2521 2714 2594 2684 2705 | ACC: -6132 14980 -2320 | GYRO: -2580 -150 -1087 | GDP=2803.653
FLEX: 2509 2709 2548 2651 2682 | ACC: -6368 14864 -1788 | GYRO: -1318 -843 -1090 | GDP=1906.797
FLEX: 2512 2726 2621 2595 2719 | ACC: -6552 14712 -1160 | GYRO: -346 -123 -550 | GDP=661.321
FLEX: 2518 2679 2556 2663 2699 | ACC: -6724 14592 -1028 | GYRO: 1769 512 13 | GDP=1841.650
FLEX: 2496 2675 2595 2678 2710 | ACC: -6680 14684 -1732 | GYRO: 609 -451 -468 | GDP=890.677
FLEX: 2483 2688 2589 2608 2704 | ACC: -6300 14604 -1788 | GYRO: 3203 2565 955 | GDP=4213.129
FLEX: 2511 2691 2559 2697 2704 | ACC: -6396 15148 -2872 | GYRO: 36 -705 -642 | GDP=954.193
FLEX: 2487 2711 2559 2655 2687 | ACC: -6160 14776 -2228 | GYRO: 1694 1121 -19 | GDP=2031.413
FLEX: 2514 2704 2550 2659 2715 | ACC: -6348 15044 -2748 | GYRO: 388 -1135 -508 | GDP=1302.625
FLEX: 2491 2695 2555 2640 2704 | ACC: -6676 14880 -2320 | GYRO: 1049 719 -192 | GDP=1286.167
FLEX: 2485 2713 2589 2669 2719 | ACC: -6416 14848 -2496 | GYRO: 365 -198 -83 | GDP=423.460
