# label=A
# timestamp=1764318538.3880677
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2381 2789 2706 2765 2794 | ACC: -5936 14756 -3036 | GYRO: 746 49 52 | GDP=749.414
FLEX: 2368 2787 2709 2768 2795 | ACC: -5312 14964 -3728 | GYRO: 777 387 416 | GDP=962.577
FLEX: 2377 2819 2693 2743 2767 | ACC: -5284 14952 -3700 | GYRO: 732 -44 127 | GDP=744.237
FLEX: 2411 2866 2708 2756 2747 | ACC: -5652 15020 -3496 | GYRO: 221 283 10 | GDP=359.207
FLEX: 2377 2751 2736 2815 2706 | ACC: -5756 14944 -3400 | GYRO: 73 -433 306 | GDP=535.214
FLEX: 2379 2801 2739 2826 2837 | ACC: -5864 15012 -3360 | GYRO: -564 149 -196 | GDP=615.397
FLEX: 2384 2806 2704 2758 2778 | ACC: -5608 15132 -3192 | GYRO: -264 -36 -184 | GDP=323.802
FLEX: 2415 2778 2775 2802 2761 | ACC: -5536 15032 -2992 | GYRO: 704 21 127 | GDP=715.672
FLEX: 2340 2835 2683 2768 2768 | ACC: -6116 15224 -3284 | GYRO: -273 -611 -219 | GDP=704.138
FLEX: 2431 2798 2693 2791 2827 | ACC: -5352 14968 -2912 | GYRO: 1155 1663 332 | GDP=2051.784
FLEX: 2369 2798 2734 2768 2813 | ACC: -5720 15124 -3172 | GYRO: -217 -1155 -272 | GDP=1206.274
FLEX: 2387 2781 2702 2839 2768 | ACC: -5556 15068 -3188 | GYRO: 966 1023 236 | GDP=1426.668
FLEX: 2407 2768 2714 2766 2836 | ACC: -5532 14888 -3008 | GYRO: 209 -567 93 | GDP=611.407
FLEX: 2384 2795 2713 2751 2789 | ACC: -5328 14924 -2808 | GYRO: 1106 704 141 | GDP=1318.610
FLEX: 2396 2786 2739 2722 2811 | ACC: -5436 15180 -3140 | GYRO: 437 -84 -275 | GDP=523.116
FLEX: 2344 2803 2768 2763 2757 | ACC: -5696 15256 -3380 | GYRO: 814 230 -63 | GDP=848.213
FLEX: 2353 2795 2710 2741 2742 | ACC: -5728 15416 -3376 | GYRO: -258 -1065 -193 | GDP=1112.672
FLEX: 2363 2775 2702 2749 2791 | ACC: -5380 15064 -2972 | GYRO: 64 -90 210 | GDP=237.268
FLEX: 2361 2798 2607 2755 2743 | ACC: -5464 15164 -2872 | GYRO: -10 -686 -134 | GDP=699.036
FLEX: 2358 2767 2765 2813 2726 | ACC: -5604 15028 -2552 | GYRO: 643 260 55 | GDP=695.754
FLEX: 2354 2786 2711 2755 2763 | ACC: -5320 14936 -3032 | GYRO: 620 -254 105 | GDP=678.190
FLEX: 2359 2793 2738 2796 2781 | ACC: -5264 15076 -3052 | GYRO: 843 496 78 | GDP=981.198
FLEX: 2356 2774 2717 2757 2775 | ACC: -5576 15168 -2856 | GYRO: 498 -72 -68 | GDP=507.752
FLEX: 2354 2800 2703 2765 2782 | ACC: -5788 15252 -2872 | GYRO: 525 149 159 | GDP=568.425
