# label=B
# timestamp=1764318559.9388127
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2849 2459 2207 2463 2280 | ACC: -4132 15124 4756 | GYRO: 696 435 -96 | GDP=826.352
FLEX: 2865 2467 2203 2470 2352 | ACC: -4124 15040 4776 | GYRO: 567 173 -48 | GDP=594.745
FLEX: 2832 2448 2203 2475 2272 | ACC: -4020 15116 4780 | GYRO: 133 91 -84 | GDP=181.731
FLEX: 2854 2457 2224 2485 2347 | ACC: -4204 15028 5212 | GYRO: 310 -65 -101 | GDP=332.454
FLEX: 2853 2467 2209 2441 2291 | ACC: -4252 15136 5064 | GYRO: 452 278 -92 | GDP=538.565
FLEX: 2837 2457 2224 2462 2349 | ACC: -4320 15096 5148 | GYRO: 511 143 -62 | GDP=534.242
FLEX: 2847 2437 2189 2467 2268 | ACC: -4084 14948 4920 | GYRO: 508 258 25 | GDP=570.310
FLEX: 2835 2454 2205 2461 2347 | ACC: -4264 15032 4964 | GYRO: 436 87 -49 | GDP=447.287
FLEX: 2825 2467 2196 2471 2288 | ACC: -4220 14916 5416 | GYRO: 401 27 -140 | GDP=425.594
FLEX: 2829 2455 2214 2474 2322 | ACC: -4372 14916 5096 | GYRO: 854 372 -6 | GDP=931.523
FLEX: 2840 2448 2187 2475 2277 | ACC: -4352 15084 5036 | GYRO: 613 34 10 | GDP=614.024
FLEX: 2877 2459 2221 2443 2299 | ACC: -4476 14968 5232 | GYRO: 574 -210 0 | GDP=611.209
FLEX: 2864 2461 2198 2473 2283 | ACC: -4152 14972 5140 | GYRO: 711 63 29 | GDP=714.375
FLEX: 2847 2462 2224 2451 2428 | ACC: -4328 15012 4968 | GYRO: 623 -56 0 | GDP=625.512
FLEX: 2830 2461 2179 2463 2305 | ACC: -4308 15016 5008 | GYRO: 501 -86 -26 | GDP=508.992
FLEX: 2860 2468 2244 2481 2368 | ACC: -4284 14944 5148 | GYRO: 612 34 -74 | GDP=617.395
FLEX: 2800 2444 2202 2464 2285 | ACC: -4492 15004 5164 | GYRO: 575 59 7 | GDP=578.061
FLEX: 2863 2458 2214 2474 2354 | ACC: -4128 14920 4908 | GYRO: 634 203 63 | GDP=668.681
FLEX: 2864 2448 2191 2457 2276 | ACC: -4176 14976 4976 | GYRO: 573 148 -68 | GDP=595.699
FLEX: 2861 2463 2217 2444 2347 | ACC: -4400 15064 5092 | GYRO: 544 34 52 | GDP=547.536
