# label=C
# timestamp=1764318573.7449706
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2883 2715 2630 2755 2775 | ACC: 3832 14240 7440 | GYRO: 889 -429 -323 | GDP=1038.600
FLEX: 2830 2721 2609 2752 2733 | ACC: 3520 14108 7656 | GYRO: 673 20 99 | GDP=680.537
FLEX: 2845 2699 2635 2754 2738 | ACC: 3708 14328 7424 | GYRO: 766 -765 -243 | GDP=1109.518
FLEX: 2835 2726 2635 2751 2779 | ACC: 3496 14352 7200 | GYRO: 963 155 -143 | GDP=985.821
FLEX: 2837 2714 2617 2743 2752 | ACC: 3928 14476 7020 | GYRO: 946 -309 -120 | GDP=1002.396
FLEX: 2862 2721 2626 2759 2768 | ACC: 3604 14380 7260 | GYRO: 1025 241 -183 | GDP=1068.735
FLEX: 2841 2711 2625 2727 2768 | ACC: 3964 14400 6816 | GYRO: 694 41 87 | GDP=700.633
FLEX: 2847 2717 2640 2764 2753 | ACC: 3564 14400 7264 | GYRO: 802 78 -29 | GDP=806.306
FLEX: 2810 2758 2617 2740 2714 | ACC: 3800 14144 7092 | GYRO: 556 418 200 | GDP=723.782
FLEX: 2834 2706 2645 2790 2781 | ACC: 3916 14228 7168 | GYRO: 703 -42 -170 | GDP=724.481
FLEX: 2834 2720 2609 2752 2778 | ACC: 3444 14260 7468 | GYRO: 703 459 -147 | GDP=852.349
FLEX: 2864 2706 2615 2765 2769 | ACC: 3380 14412 7548 | GYRO: 601 -136 -176 | GDP=640.838
FLEX: 2844 2718 2586 2757 2753 | ACC: 3816 14380 6996 | GYRO: 665 865 293 | GDP=1129.734
FLEX: 2869 2704 2656 2737 2768 | ACC: 3236 14460 7628 | GYRO: 685 -275 -37 | GDP=739.066
FLEX: 2816 2736 2634 2767 2742 | ACC: 3840 14320 7384 | GYRO: 768 990 90 | GDP=1256.194
FLEX: 2814 2693 2610 2711 2765 | ACC: 3444 14324 7480 | GYRO: 667 -348 -41 | GDP=753.441
FLEX: 2828 2729 2527 2776 2745 | ACC: 3572 14228 7364 | GYRO: 663 806 224 | GDP=1067.418
FLEX: 2846 2711 2655 2785 2767 | ACC: 3520 14424 7344 | GYRO: 747 -440 -303 | GDP=918.378
FLEX: 2828 2672 2631 2755 2747 | ACC: 3236 14348 7492 | GYRO: 584 30 154 | GDP=604.708
FLEX: 2786 2752 2639 2745 2752 | ACC: 3560 14280 7316 | GYRO: 749 -11 -376 | GDP=838.152
