# label=D
# timestamp=1764315620.02259
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2734 2353 2672 2667 2594 | ACC: 2344 15936 2172 | GYRO: -5892 -3687 1247 | GDP=7061.490
FLEX: 2768 2416 2678 2700 2544 | ACC: 3876 14712 3420 | GYRO: -5108 -604 1099 | GDP=5259.685
FLEX: 2787 2451 2687 2642 2621 | ACC: 3736 15100 4560 | GYRO: -5818 -2065 1188 | GDP=6286.867
FLEX: 2763 2468 2658 2639 2559 | ACC: 4580 14840 5272 | GYRO: -5535 -107 702 | GDP=5580.365
FLEX: 2779 2436 2677 2661 2623 | ACC: 4028 14448 6840 | GYRO: -5208 -1501 854 | GDP=5486.855
FLEX: 2783 2401 2673 2640 2559 | ACC: 4404 14428 7096 | GYRO: -4594 -1190 -71 | GDP=4746.154
FLEX: 2768 2445 2698 2703 2590 | ACC: 3012 13972 7968 | GYRO: -4054 -1382 -465 | GDP=4308.255
FLEX: 2761 2426 2672 2672 2559 | ACC: 3152 13896 7824 | GYRO: -3772 -2666 8 | GDP=4619.048
FLEX: 2799 2443 2684 2695 2595 | ACC: 3476 13784 8360 | GYRO: -3482 -1289 65 | GDP=3713.498
FLEX: 2766 2431 2653 2656 2592 | ACC: 5096 13668 9844 | GYRO: -2905 -1968 1106 | GDP=3679.033
FLEX: 2789 2446 2693 2672 2606 | ACC: 4268 13900 10532 | GYRO: -1445 663 15 | GDP=1589.912
FLEX: 2762 2434 2675 2672 2559 | ACC: 4524 13888 10328 | GYRO: 236 -302 443 | GDP=585.789
FLEX: 2791 2373 2673 2551 2522 | ACC: 4372 13596 10512 | GYRO: 1616 -1676 -514 | GDP=2384.246
FLEX: 2768 2419 2706 2672 2559 | ACC: 4036 13600 8736 | GYRO: 2962 -32 -1142 | GDP=3174.686
FLEX: 2768 2440 2702 2685 2592 | ACC: 3396 14048 7260 | GYRO: 2037 171 -990 | GDP=2271.279
FLEX: 2759 2425 2704 2653 2593 | ACC: 3224 13944 7024 | GYRO: 1654 1601 -827 | GDP=2445.986
FLEX: 2774 2414 2672 2716 2590 | ACC: 3528 14104 7360 | GYRO: 583 2077 -639 | GDP=2249.920
FLEX: 2791 2438 2704 2685 2589 | ACC: 3652 14324 7884 | GYRO: 799 2418 -814 | GDP=2673.522
FLEX: 2799 2416 2630 2706 2602 | ACC: 2240 14104 9252 | GYRO: 1378 4584 -658 | GDP=4831.656
FLEX: 2791 2448 2628 2655 2608 | ACC: 3384 14620 7724 | GYRO: 2067 3085 -449 | GDP=3740.497
FLEX: 2765 2455 2703 2711 2637 | ACC: 1352 14392 8788 | GYRO: 2369 4024 -335 | GDP=4681.555
FLEX: 2789 2442 2658 2679 2589 | ACC: 2292 14228 7384 | GYRO: 2522 -179 25 | GDP=2528.468
FLEX: 2769 2427 2656 2683 2620 | ACC: 1948 14248 7444 | GYRO: 2158 1636 -74 | GDP=2709.047
FLEX: 2797 2445 2672 2635 2649 | ACC: 2208 14556 6888 | GYRO: 1891 -1220 899 | GDP=2423.321
FLEX: 2789 2439 2685 2683 2559 | ACC: 2860 14472 6728 | GYRO: 1272 490 372 | GDP=1412.964
FLEX: 2800 2432 2642 2668 2550 | ACC: 2644 14796 6728 | GYRO: 1650 -563 636 | GDP=1855.792
FLEX: 2782 2419 2695 2643 2593 | ACC: 2920 14684 6724 | GYRO: 1192 -110 481 | GDP=1290.087
FLEX: 2762 2429 2691 2663 2553 | ACC: 2636 14636 7264 | GYRO: 674 -242 590 | GDP=927.869
FLEX: 2781 2444 2663 2652 2544 | ACC: 2916 14520 7552 | GYRO: 833 -470 360 | GDP=1021.953
FLEX: 2746 2450 2679 2681 2585 | ACC: 3076 14516 7448 | GYRO: 747 -575 606 | GDP=1120.656
FLEX: 2785 2438 2660 2643 2624 | ACC: 3024 14556 7300 | GYRO: 1451 -422 297 | GDP=1540.031
FLEX: 2799 2448 2698 2690 2582 | ACC: 2792 14756 6912 | GYRO: 1382 -103 516 | GDP=1478.780
FLEX: 2823 2430 2686 2663 2591 | ACC: 2684 14660 6732 | GYRO: 1311 55 663 | GDP=1470.141
FLEX: 2806 2458 2677 2723 2592 | ACC: 3048 14504 6540 | GYRO: 857 193 730 | GDP=1142.190
FLEX: 2773 2427 2742 2668 2558 | ACC: 3080 14604 6608 | GYRO: 784 -296 887 | GDP=1220.263
FLEX: 2818 2448 2711 2682 2559 | ACC: 3356 14560 6928 | GYRO: 1619 -273 913 | GDP=1878.632
FLEX: 2804 2458 2696 2651 2585 | ACC: 3204 14720 6712 | GYRO: 1230 -22 579 | GDP=1359.641
FLEX: 2809 2449 2725 2599 2587 | ACC: 3476 14812 6676 | GYRO: 1178 -114 686 | GDP=1367.946
FLEX: 2819 2437 2687 2654 2647 | ACC: 3104 14636 7004 | GYRO: 1538 -604 819 | GDP=1844.186
FLEX: 2823 2449 2739 2711 2559 | ACC: 3512 14768 6532 | GYRO: 1885 -1105 1027 | GDP=2414.328
FLEX: 2775 2375 2674 2661 2672 | ACC: 3188 14764 6200 | GYRO: 1749 -335 1086 | GDP=2085.814
FLEX: 2800 2448 2714 2581 2559 | ACC: 3504 14776 5696 | GYRO: 1679 -633 1368 | GDP=2256.359
FLEX: 2831 2443 2703 2683 2583 | ACC: 3888 14672 5676 | GYRO: 1928 267 1213 | GDP=2293.435
FLEX: 2829 2455 2714 2705 2590 | ACC: 4396 14764 5360 | GYRO: 382 -491 1424 | GDP=1553.957
FLEX: 2834 2442 2694 2672 2602 | ACC: 4920 14492 5304 | GYRO: 544 428 713 | GDP=993.725
FLEX: 2815 2445 2720 2663 2559 | ACC: 3168 14616 5352 | GYRO: -297 38 928 | GDP=975.109
FLEX: 2811 2422 2694 2643 2551 | ACC: 1860 15356 4792 | GYRO: -1338 1871 2010 | GDP=3054.666
FLEX: 2768 2451 2707 2669 2587 | ACC: 116 13864 8080 | GYRO: -4520 3632 4771 | GDP=7508.946
FLEX: 2834 2429 2699 2652 2545 | ACC: 5492 14320 7352 | GYRO: -898 -996 5441 | GDP=5603.829
FLEX: 2818 2431 2713 2667 2559 | ACC: 7004 13432 8240 | GYRO: -208 1452 4513 | GDP=4745.391
FLEX: 2858 2446 2681 2706 2608 | ACC: 8836 12860 7552 | GYRO: 898 211 3123 | GDP=3256.387
FLEX: 2800 2415 2667 2683 2559 | ACC: 8700 12680 7352 | GYRO: 462 -325 2022 | GDP=2099.417
FLEX: 2853 2422 2659 2681 2559 | ACC: 8652 12960 7540 | GYRO: 489 -859 401 | GDP=1066.678
FLEX: 2818 2455 2694 2652 2548 | ACC: 7472 13236 7592 | GYRO: 271 -524 -933 | GDP=1103.860
FLEX: 2781 2458 2715 2714 2559 | ACC: 6512 13620 7220 | GYRO: 685 -845 -1549 | GDP=1892.789
FLEX: 2801 2416 2714 2667 2584 | ACC: 5324 13868 6920 | GYRO: 474 -200 -1156 | GDP=1265.311
FLEX: 2810 2448 2693 2676 2559 | ACC: 5124 13952 6868 | GYRO: 415 -500 -815 | GDP=1042.329
FLEX: 2779 2448 2688 2624 2608 | ACC: 5004 14004 7136 | GYRO: 445 14 -59 | GDP=449.112
FLEX: 2800 2447 2689 2672 2591 | ACC: 5432 13820 7328 | GYRO: 495 -191 234 | GDP=579.881
FLEX: 2811 2442 2691 2653 2550 | ACC: 6060 13588 7484 | GYRO: 798 -379 601 | GDP=1068.478
FLEX: 2832 2437 2747 2690 2559 | ACC: 6768 13332 7332 | GYRO: 845 133 150 | GDP=868.455
FLEX: 2794 2496 2587 2642 2531 | ACC: 6460 13460 7016 | GYRO: 864 -20 -169 | GDP=880.600
FLEX: 2819 2449 2754 2625 2559 | ACC: 6544 13704 7008 | GYRO: 765 -336 -635 | GDP=1049.450
FLEX: 2783 2450 2722 2686 2559 | ACC: 7064 13520 7100 | GYRO: 803 -676 -1063 | GDP=1493.906
FLEX: 2807 2443 2701 2651 2558 | ACC: 7292 13472 7472 | GYRO: 941 -854 -1842 | GDP=2237.803
FLEX: 2783 2438 2711 2667 2594 | ACC: 8004 13372 7624 | GYRO: 1211 -1093 -3200 | GDP=3591.820
FLEX: 2819 2453 2695 2673 2608 | ACC: 6516 13512 7220 | GYRO: 1442 -903 -4253 | GDP=4580.697
