# label=F
# timestamp=1764316170.3934565
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2835 2807 2237 2527 2085 | ACC: 1980 12688 12296 | GYRO: -361 -1734 402 | GDP=1816.227
FLEX: 2837 2811 2256 2513 2091 | ACC: 612 13112 11636 | GYRO: 1121 -817 190 | GDP=1400.082
FLEX: 2820 2817 2242 2499 2062 | ACC: -332 15376 11572 | GYRO: 812 -7931 1430 | GDP=8099.691
FLEX: 2832 2818 2254 2535 2037 | ACC: 680 16960 11436 | GYRO: 358 -10843 4020 | GDP=11569.754
FLEX: 2847 2801 2256 2464 2090 | ACC: 2672 15196 11768 | GYRO: 517 -9270 5831 | GDP=10963.610
FLEX: 2846 2788 2260 2481 2093 | ACC: 4096 13992 11884 | GYRO: 1863 -7807 7473 | GDP=10966.574
FLEX: 2816 2814 2235 2503 2065 | ACC: 9020 12676 7516 | GYRO: 5203 -294 3823 | GDP=6463.201
FLEX: 2832 2912 2263 2490 2054 | ACC: 3936 12684 9424 | GYRO: 5585 -251 1399 | GDP=5763.022
FLEX: 2806 2787 2259 2490 2064 | ACC: 7260 9928 8308 | GYRO: 6557 -4089 547 | GDP=7746.830
FLEX: 2822 2773 2295 2445 2032 | ACC: 4296 8128 8636 | GYRO: 8036 5264 -2365 | GDP=9893.443
FLEX: 2779 2790 2267 2467 2103 | ACC: 4396 8676 6156 | GYRO: 6129 2670 -1286 | GDP=6807.888
FLEX: 2831 2783 2299 2458 2035 | ACC: 2528 15284 5296 | GYRO: 2217 399 2768 | GDP=3568.769
FLEX: 2817 2841 2239 2478 2047 | ACC: 11096 10320 6768 | GYRO: -2114 -10602 4206 | GDP=11600.079
FLEX: 2875 2815 2288 2496 2091 | ACC: 6816 12560 9016 | GYRO: -2306 1290 -928 | GDP=2800.521
FLEX: 2814 2800 2257 2459 2066 | ACC: 7120 13164 8904 | GYRO: -2346 -2274 -93 | GDP=3268.553
FLEX: 2798 2757 2234 2476 2091 | ACC: 5896 14048 8928 | GYRO: 182 3627 -2632 | GDP=4485.050
FLEX: 2811 2799 2245 2455 2006 | ACC: 4872 13380 9800 | GYRO: 932 2717 -1579 | GDP=3277.797
FLEX: 2823 2832 2286 2518 2045 | ACC: 4812 13468 9384 | GYRO: 2161 6708 -2258 | GDP=7400.388
FLEX: 2805 2774 2248 2471 2076 | ACC: 3992 13548 9624 | GYRO: 2995 5411 -1076 | GDP=6277.477
FLEX: 2853 2974 2240 2533 2018 | ACC: 4772 13484 8560 | GYRO: 2813 7083 -1106 | GDP=7700.980
FLEX: 2891 2853 2275 2473 2091 | ACC: 4132 13856 8132 | GYRO: 3821 4124 -1904 | GDP=5935.708
FLEX: 2825 2826 2219 2441 2070 | ACC: 2736 14056 8216 | GYRO: 3759 5118 -1019 | GDP=6431.358
