# label=G
# timestamp=1764316356.1506274
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2414 2478 2689 2645 2559 | ACC: -692 13860 8848 | GYRO: 487 -125 208 | GDP=544.112
FLEX: 2413 2486 2699 2641 2559 | ACC: -540 13832 8776 | GYRO: 327 -253 451 | GDP=611.833
FLEX: 2429 2453 2677 2655 2513 | ACC: -496 13736 8696 | GYRO: -110 -109 245 | GDP=289.838
FLEX: 2411 2467 2693 2637 2559 | ACC: -220 13788 9188 | GYRO: 23 -716 136 | GDP=729.165
FLEX: 2417 2457 2680 2641 2544 | ACC: -104 13584 9180 | GYRO: -3 -412 -184 | GDP=451.231
FLEX: 2416 2451 2662 2653 2585 | ACC: -200 13636 9284 | GYRO: 53 -532 -153 | GDP=556.095
FLEX: 2435 2475 2698 2673 2544 | ACC: -308 13656 9192 | GYRO: 97 -127 -434 | GDP=462.487
FLEX: 2425 2451 2685 2672 2589 | ACC: -1012 13788 9136 | GYRO: -54 271 -262 | GDP=380.790
FLEX: 2400 2450 2693 2643 2558 | ACC: -272 13520 9292 | GYRO: -232 -131 -22 | GDP=267.337
FLEX: 2414 2448 2709 2639 2559 | ACC: -1000 13460 9876 | GYRO: -607 -757 703 | GDP=1198.210
FLEX: 2409 2428 2628 2663 2559 | ACC: -172 13524 10204 | GYRO: -242 -656 719 | GDP=1002.926
FLEX: 2448 2438 2640 2668 2533 | ACC: -148 13376 10304 | GYRO: 14 -599 493 | GDP=775.916
FLEX: 2430 2416 2673 2694 2599 | ACC: 172 13220 9852 | GYRO: 767 -219 176 | GDP=816.839
FLEX: 2387 2426 2672 2623 2606 | ACC: -180 13252 9480 | GYRO: 556 107 97 | GDP=574.451
FLEX: 2446 2495 2622 2684 2610 | ACC: -80 13304 9488 | GYRO: 449 -373 367 | GDP=689.506
FLEX: 2460 2485 2681 2612 2502 | ACC: -132 13228 9496 | GYRO: 401 -216 39 | GDP=457.141
FLEX: 2448 2448 2718 2649 2586 | ACC: 36 13156 9840 | GYRO: 109 -343 154 | GDP=391.466
FLEX: 2444 2453 2714 2659 2555 | ACC: 280 13304 10132 | GYRO: 482 -320 -14 | GDP=578.723
FLEX: 2386 2480 2685 2711 2558 | ACC: 232 13224 9960 | GYRO: 362 110 -183 | GDP=420.277
FLEX: 2462 2421 2692 2651 2553 | ACC: 32 13292 9864 | GYRO: 611 345 -104 | GDP=709.339
FLEX: 2403 2453 2682 2647 2559 | ACC: -532 13100 9860 | GYRO: 459 333 225 | GDP=610.078
FLEX: 2409 2464 2686 2624 2559 | ACC: -492 13120 9924 | GYRO: 457 512 397 | GDP=792.844
FLEX: 2449 2462 2697 2672 2546 | ACC: -260 13020 10036 | GYRO: 214 96 740 | GDP=776.281
FLEX: 2418 2450 2639 2639 2547 | ACC: 432 13284 10040 | GYRO: 853 197 585 | GDP=1052.921
FLEX: 2415 2434 2663 2665 2546 | ACC: 1156 13084 9984 | GYRO: 800 -72 -76 | GDP=806.821
FLEX: 2399 2456 2679 2661 2554 | ACC: 632 13184 9748 | GYRO: 456 241 -768 | GDP=925.117
FLEX: 2413 2452 2710 2662 2559 | ACC: -508 13316 10016 | GYRO: 592 70 -689 | GDP=911.090
FLEX: 2437 2462 2670 2675 2559 | ACC: -1088 13392 9704 | GYRO: 306 328 121 | GDP=464.608
FLEX: 2416 2467 2689 2653 2557 | ACC: -552 13200 9952 | GYRO: 397 99 814 | GDP=911.047
FLEX: 2437 2440 2663 2623 2544 | ACC: 408 12956 10068 | GYRO: 318 -40 623 | GDP=700.609
FLEX: 2446 2443 2704 2637 2559 | ACC: 624 12872 10656 | GYRO: 555 -121 80 | GDP=573.643
FLEX: 2429 2459 2691 2637 2559 | ACC: 352 13232 10240 | GYRO: 761 221 -356 | GDP=868.734
FLEX: 2432 2471 2691 2655 2559 | ACC: -108 13176 9928 | GYRO: 1180 -119 -331 | GDP=1231.309
FLEX: 2405 2457 2688 2645 2640 | ACC: -720 12864 9804 | GYRO: 1041 56 81 | GDP=1045.647
FLEX: 2416 2448 2684 2674 2662 | ACC: -116 13304 9492 | GYRO: 639 213 344 | GDP=756.324
FLEX: 2423 2432 2671 2655 2685 | ACC: -36 13216 10124 | GYRO: 850 -450 382 | GDP=1034.855
FLEX: 2431 2464 2704 2688 2686 | ACC: 204 13496 9648 | GYRO: 694 307 260 | GDP=802.175
FLEX: 2416 2459 2672 2701 2726 | ACC: 280 13220 10088 | GYRO: 919 -816 275 | GDP=1259.382
FLEX: 2431 2467 2691 2675 2736 | ACC: 296 13536 9808 | GYRO: 873 70 -133 | GDP=885.843
