# label=I
# timestamp=1764316693.6638145
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2737 2838 2697 2743 2096 | ACC: -4988 19324 10936 | GYRO: 10141 3748 -4950 | GDP=11890.748
FLEX: 2774 2832 2703 2761 2119 | ACC: -7216 20152 8636 | GYRO: 10162 -191 1704 | GDP=10305.646
FLEX: 2725 2795 2718 2719 2141 | ACC: -376 15608 4616 | GYRO: 10265 -4603 6855 | GDP=13173.795
FLEX: 2775 2842 2675 2736 2094 | ACC: -88 12368 4512 | GYRO: 10116 -2956 6140 | GDP=12197.172
FLEX: 2725 2822 2704 2726 2118 | ACC: 688 12144 4704 | GYRO: 13040 -470 5288 | GDP=14079.256
FLEX: 2731 2838 2711 2772 2112 | ACC: 1708 11316 4108 | GYRO: 14268 -925 5494 | GDP=15317.163
FLEX: 2730 2833 2694 2737 2064 | ACC: 4080 11172 1880 | GYRO: 13718 -662 4672 | GDP=14506.872
FLEX: 2768 2807 2682 2742 2125 | ACC: 6920 10916 72 | GYRO: 10226 267 1892 | GDP=10402.981
FLEX: 2766 2818 2704 2704 2096 | ACC: 7424 10576 -4 | GYRO: 5851 3915 -1751 | GDP=7254.476
FLEX: 2736 2822 2715 2745 2099 | ACC: 3916 18236 -3180 | GYRO: -3125 1041 -398 | GDP=3317.787
FLEX: 2743 2827 2698 2708 2124 | ACC: 5776 15416 748 | GYRO: -4594 -3146 1682 | GDP=5816.466
FLEX: 2778 2843 2731 2775 2118 | ACC: 412 17140 3632 | GYRO: -3624 -1268 1178 | GDP=4016.078
FLEX: 2739 2847 2672 2745 2095 | ACC: 3436 16712 1384 | GYRO: -2088 -3358 2111 | GDP=4482.436
FLEX: 2747 2811 2719 2736 2113 | ACC: 1572 17272 848 | GYRO: -1743 -643 2173 | GDP=2858.921
FLEX: 2727 2831 2707 2729 2126 | ACC: 2784 14680 1608 | GYRO: -761 -4442 5619 | GDP=7203.030
FLEX: 2768 2843 2709 2735 2170 | ACC: 4920 15780 764 | GYRO: -1624 -5307 6588 | GDP=8614.138
FLEX: 2730 2800 2698 2699 2128 | ACC: 7500 14880 1352 | GYRO: -554 -3147 5219 | GDP=6119.517
FLEX: 2757 2814 2704 2741 2115 | ACC: 8144 14816 1092 | GYRO: 440 1442 2425 | GDP=2855.449
FLEX: 2740 2832 2699 2739 2127 | ACC: 6908 14792 1908 | GYRO: 555 436 1421 | GDP=1586.620
FLEX: 2767 2838 2722 2761 2122 | ACC: 6500 15156 2128 | GYRO: -84 242 1243 | GDP=1269.121
FLEX: 2718 2827 2698 2722 2128 | ACC: 6588 15164 1500 | GYRO: 593 763 836 | GDP=1277.777
FLEX: 2743 2832 2718 2718 2018 | ACC: 5616 15376 1864 | GYRO: -344 -25 1750 | GDP=1783.665
FLEX: 2729 2817 2704 2715 2114 | ACC: 6660 14848 1976 | GYRO: 404 -242 2268 | GDP=2316.377
FLEX: 2738 2839 2697 2796 2119 | ACC: 7476 14676 2344 | GYRO: -79 -464 2216 | GDP=2265.434
FLEX: 2702 2831 2687 2720 2097 | ACC: 7736 14720 3384 | GYRO: 470 -533 2092 | GDP=2209.401
FLEX: 2745 2839 2683 2730 2134 | ACC: 9372 14216 2732 | GYRO: 1505 156 1036 | GDP=1833.755
FLEX: 2731 2826 2704 2718 2115 | ACC: 8160 14364 2264 | GYRO: 2373 2224 -334 | GDP=3269.382
FLEX: 2737 2799 2688 2750 2083 | ACC: 7836 14320 1476 | GYRO: 2647 1458 -379 | GDP=3045.655
FLEX: 2721 2832 2658 2703 2118 | ACC: 7696 14160 1232 | GYRO: 1921 598 -384 | GDP=2048.243
FLEX: 2709 2813 2685 2799 2118 | ACC: 7240 14652 1804 | GYRO: 1635 842 72 | GDP=1840.482
