# label=J
# timestamp=1764316871.120672
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2831 2786 2443 2605 2213 | ACC: -12348 5688 9560 | GYRO: -681 42 1921 | GDP=2038.570
FLEX: 2839 2883 2480 2611 2207 | ACC: -12292 5084 10316 | GYRO: 339 -600 1325 | GDP=1493.501
FLEX: 2864 2800 2477 2619 2209 | ACC: -12428 4292 10912 | GYRO: 1156 -1135 702 | GDP=1765.606
FLEX: 2839 2967 2473 2559 2170 | ACC: -11516 4484 10612 | GYRO: 1479 -1897 596 | GDP=2478.158
FLEX: 2820 2768 2481 2637 2189 | ACC: -11036 4836 10640 | GYRO: 1961 -2065 287 | GDP=2862.187
FLEX: 2861 2906 2459 2660 2160 | ACC: -9956 5676 9536 | GYRO: 768 -1275 278 | GDP=1514.177
FLEX: 2819 2849 2467 2552 2255 | ACC: -10200 5940 10364 | GYRO: 1067 -1955 -827 | GDP=2375.804
FLEX: 2864 2981 2350 2559 2209 | ACC: -9564 6388 10040 | GYRO: 700 -1590 -881 | GDP=1947.886
FLEX: 2802 2854 2448 2655 2218 | ACC: -10368 6028 10952 | GYRO: 1225 -1180 -1283 | GDP=2130.520
FLEX: 2830 2930 2457 2630 2208 | ACC: -10252 6424 10024 | GYRO: 729 -595 -1074 | GDP=1427.915
FLEX: 2843 2832 2480 2559 2226 | ACC: -11152 5580 10768 | GYRO: 420 -426 -1181 | GDP=1323.872
FLEX: 2835 2902 2480 2615 2184 | ACC: -11132 6056 9704 | GYRO: -576 -428 -912 | GDP=1160.476
FLEX: 2846 2849 2506 2615 2223 | ACC: -11360 5216 10832 | GYRO: -975 -452 112 | GDP=1080.497
FLEX: 2847 2877 2469 2663 2191 | ACC: -11352 5156 11148 | GYRO: -565 -267 -62 | GDP=627.979
FLEX: 2839 2887 2416 2605 2215 | ACC: -11228 4952 11316 | GYRO: -184 281 -59 | GDP=341.025
FLEX: 2806 2876 2476 2620 2222 | ACC: -11112 5304 10404 | GYRO: -560 976 -492 | GDP=1228.104
FLEX: 2870 2886 2482 2593 2223 | ACC: -11812 4932 11136 | GYRO: -624 123 -838 | GDP=1052.021
FLEX: 2864 2869 2463 2605 2240 | ACC: -10908 4788 10808 | GYRO: -608 -461 -1137 | GDP=1369.290
FLEX: 2822 2902 2459 2624 2228 | ACC: -11280 4220 10348 | GYRO: -356 84 -710 | GDP=798.681
FLEX: 2802 2841 2432 2610 2183 | ACC: -11860 4172 10532 | GYRO: -116 -20 -502 | GDP=515.616
FLEX: 2832 2911 2490 2559 2202 | ACC: -11788 3904 10680 | GYRO: -265 455 47 | GDP=528.639
FLEX: 2827 2835 2400 2615 2224 | ACC: -11676 4224 11380 | GYRO: 87 424 -43 | GDP=434.964
FLEX: 2832 2941 2499 2666 2183 | ACC: -11640 4996 11432 | GYRO: 369 763 -137 | GDP=858.545
FLEX: 2800 2829 2469 2609 2183 | ACC: -11392 5540 10332 | GYRO: -116 -80 -49 | GDP=149.188
