# label=K
# timestamp=1764317043.1687129
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2559 2451 2163 2715 2753 | ACC: -16800 13840 -8620 | GYRO: 2557 2320 4816 | GDP=5925.749
FLEX: 2559 2462 2165 2704 2492 | ACC: -12064 13772 -9600 | GYRO: 648 1901 6426 | GDP=6732.546
FLEX: 2559 2441 2144 2743 2711 | ACC: -10664 12912 -8580 | GYRO: -1692 2524 7982 | GDP=8540.829
FLEX: 2559 2427 2284 2763 2552 | ACC: -8840 12256 -7016 | GYRO: -2494 3812 8884 | GDP=9983.828
FLEX: 2559 2443 2155 2751 2748 | ACC: -3020 11164 -7772 | GYRO: -3140 9040 6752 | GDP=11711.990
FLEX: 2554 2435 2189 2800 2609 | ACC: -8880 10020 -4420 | GYRO: -3986 14598 2708 | GDP=15372.803
FLEX: 2602 2437 2176 2688 2747 | ACC: -7360 9368 -556 | GYRO: -3495 5204 6809 | GDP=9255.222
FLEX: 2631 2460 2239 2694 2538 | ACC: -5836 9976 500 | GYRO: -564 5486 4116 | GDP=6881.551
FLEX: 2613 2453 2209 2737 2689 | ACC: -6004 11376 120 | GYRO: -1839 4136 3232 | GDP=5561.856
FLEX: 2559 2493 2166 2688 2544 | ACC: -3448 10896 -936 | GYRO: -2333 -3440 1217 | GDP=4331.002
FLEX: 2526 2469 2130 2735 2659 | ACC: -5824 12040 1868 | GYRO: -1711 -1757 -280 | GDP=2468.394
FLEX: 2607 2384 2228 2747 2625 | ACC: -8232 13628 -5288 | GYRO: 2693 3806 -2915 | GDP=5498.646
FLEX: 2559 2425 2146 2722 2721 | ACC: -11736 14068 -8024 | GYRO: 1096 7846 -5096 | GDP=9419.668
FLEX: 2605 2437 2162 2700 2559 | ACC: -7660 13344 -4184 | GYRO: -1322 -6936 899 | GDP=7117.863
FLEX: 2618 2470 2142 2688 2717 | ACC: -4528 13440 -5136 | GYRO: 3923 4804 -1313 | GDP=6339.741
FLEX: 2559 2463 2137 2754 2559 | ACC: -5264 14276 -6064 | GYRO: 1059 -7599 -1928 | GDP=7910.971
FLEX: 2559 2480 2218 2733 2681 | ACC: -5668 13812 -6480 | GYRO: 470 -389 -2543 | GDP=2615.162
FLEX: 2559 2459 2175 2717 2603 | ACC: -9068 14352 -6572 | GYRO: -1238 -3497 -1846 | GDP=4143.594
FLEX: 2559 2475 2210 2736 2678 | ACC: -7184 13080 -4752 | GYRO: -2999 -1478 -1497 | GDP=3663.263
FLEX: 2593 2492 2147 2722 2630 | ACC: -9536 13776 -2920 | GYRO: -724 -4623 -1019 | GDP=4789.015
FLEX: 2589 2474 2189 2716 2679 | ACC: -8704 14696 -3620 | GYRO: -956 -4135 67 | GDP=4244.602
FLEX: 2597 2459 2183 2752 2640 | ACC: -8136 13732 -3040 | GYRO: -1873 -750 -83 | GDP=2019.286
FLEX: 2615 2452 2179 2719 2657 | ACC: -9056 13568 -2016 | GYRO: -986 -1161 763 | GDP=1703.610
FLEX: 2606 2448 2220 2751 2635 | ACC: -8592 13956 -1952 | GYRO: -259 -630 531 | GDP=863.679
FLEX: 2606 2461 2217 2727 2658 | ACC: -8328 14148 -1872 | GYRO: 746 -310 1189 | GDP=1437.476
FLEX: 2625 2465 2192 2740 2611 | ACC: -7596 14240 -2284 | GYRO: 553 -150 1171 | GDP=1303.668
FLEX: 2589 2447 2190 2711 2656 | ACC: -7424 13740 -1904 | GYRO: 1497 38 753 | GDP=1676.145
FLEX: 2618 2457 2182 2749 2640 | ACC: -7972 14316 -2452 | GYRO: 1290 -88 924 | GDP=1589.220
FLEX: 2559 2445 2197 2738 2651 | ACC: -7564 13968 -2368 | GYRO: 1415 -596 519 | GDP=1620.741
