# label=L
# timestamp=1764317427.242074
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2389 2482 2708 2661 2853 | ACC: 756 14740 2220 | GYRO: -7974 -6966 -1466 | GDP=10689.200
FLEX: 2416 2455 2683 2656 2763 | ACC: 1348 14432 4344 | GYRO: -10295 -9200 -182 | GDP=13807.974
FLEX: 2397 2463 2735 2665 2848 | ACC: 2568 13084 9220 | GYRO: -11858 -6617 3 | GDP=13579.280
FLEX: 2416 2455 2714 2655 2861 | ACC: 4264 13972 12352 | GYRO: -8408 -6980 361 | GDP=10933.672
FLEX: 2411 2471 2735 2683 2818 | ACC: 6544 14472 14568 | GYRO: -6608 -4190 -1660 | GDP=7998.585
FLEX: 2416 2455 2683 2672 2857 | ACC: 4576 13768 14952 | GYRO: -16 -304 -4019 | GDP=4030.513
FLEX: 2427 2458 2743 2730 2923 | ACC: 2600 13232 11304 | GYRO: 2659 236 -4931 | GDP=5607.204
FLEX: 2495 2496 2711 2704 2830 | ACC: 1048 13228 10244 | GYRO: 3987 622 -4186 | GDP=5814.263
FLEX: 2416 2432 2711 2706 2864 | ACC: 740 14224 7844 | GYRO: 4318 -87 -3014 | GDP=5266.582
FLEX: 2418 2469 2717 2710 2864 | ACC: 780 14164 7512 | GYRO: 3610 1282 -2074 | GDP=4356.271
FLEX: 2416 2474 2704 2666 2893 | ACC: 940 14324 6832 | GYRO: 3168 -213 -2398 | GDP=3978.944
FLEX: 2682 2481 2721 2708 2826 | ACC: -608 14348 7480 | GYRO: 2302 951 -1343 | GDP=2829.709
FLEX: 2402 2464 2721 2679 2911 | ACC: 68 15064 7632 | GYRO: 2458 130 -919 | GDP=2627.399
FLEX: 2384 2475 2704 2679 2870 | ACC: 124 14768 8676 | GYRO: 3137 921 182 | GDP=3274.467
FLEX: 2406 2453 2696 2682 2823 | ACC: 968 15020 10340 | GYRO: 2603 231 192 | GDP=2620.274
FLEX: 2401 2474 2739 2752 2869 | ACC: 940 14024 12296 | GYRO: 5047 2022 275 | GDP=5443.925
FLEX: 2236 2535 2704 2719 2829 | ACC: 664 13464 10388 | GYRO: 8471 1868 124 | GDP=8675.404
FLEX: 2413 2482 2742 2725 2838 | ACC: 28 14396 7188 | GYRO: 9412 2366 654 | GDP=9726.840
FLEX: 2397 2448 2713 2723 2833 | ACC: -592 12236 4128 | GYRO: 9743 -155 3645 | GDP=10403.658
FLEX: 2407 2443 2704 2693 2811 | ACC: 2356 10592 -276 | GYRO: 5508 -4627 5195 | GDP=8873.287
FLEX: 2416 2463 2734 2751 2930 | ACC: 2568 13572 -1072 | GYRO: 4085 -6072 6733 | GDP=9944.330
FLEX: 2384 2465 2763 2623 2871 | ACC: 4096 17012 -1860 | GYRO: -629 -8025 5985 | GDP=10030.777
FLEX: 2438 2445 2705 2708 2813 | ACC: 6072 17380 0 | GYRO: -4307 -8645 4361 | GDP=10597.386
FLEX: 2410 2474 2720 2700 2768 | ACC: 6760 17704 1928 | GYRO: -5161 -7449 1840 | GDP=9247.114
FLEX: 2413 2352 2739 2697 2858 | ACC: 4912 17260 4380 | GYRO: -5337 -6606 -1434 | GDP=8612.732
FLEX: 2406 2448 2717 2711 2877 | ACC: 4036 16436 4904 | GYRO: -3049 -5740 -1554 | GDP=6682.733
FLEX: 2432 2487 2672 2720 2832 | ACC: 3276 16652 4360 | GYRO: -1686 -5066 -2731 | GDP=5997.108
FLEX: 2329 2436 2707 2698 2864 | ACC: 724 16280 4508 | GYRO: 223 -1976 -465 | GDP=2042.188
FLEX: 2368 2454 2709 2678 2847 | ACC: 1656 15440 3844 | GYRO: 965 -2715 1414 | GDP=3209.649
FLEX: 2352 2481 2736 2719 2845 | ACC: 2924 15772 3500 | GYRO: 1317 -292 2908 | GDP=3205.654
FLEX: 2385 2439 2657 2709 2881 | ACC: 5304 15596 2864 | GYRO: -417 -2299 2539 | GDP=3450.480
FLEX: 2386 2495 2672 2688 2837 | ACC: 5848 15168 3684 | GYRO: 706 -1204 1447 | GDP=2010.438
FLEX: 2395 2449 2703 2742 2830 | ACC: 7036 14484 3784 | GYRO: -329 -1658 -480 | GDP=1757.158
FLEX: 2397 2469 2738 2711 2896 | ACC: 5448 15088 4192 | GYRO: -18 -1686 -766 | GDP=1851.938
FLEX: 2393 2482 2735 2779 2917 | ACC: 5172 16544 3736 | GYRO: -1525 -2953 -1755 | GDP=3758.438
FLEX: 2384 2437 2707 2704 2831 | ACC: 4736 14748 5132 | GYRO: -495 -3249 -353 | GDP=3305.395
FLEX: 2352 2455 2743 2727 2889 | ACC: 5936 15636 3792 | GYRO: -876 -170 -969 | GDP=1317.284
FLEX: 2409 2475 2759 2710 2818 | ACC: 4860 14700 5100 | GYRO: 556 -2130 290 | GDP=2220.391
FLEX: 2369 2464 2729 2736 2862 | ACC: 5392 15900 3544 | GYRO: 722 1222 -257 | GDP=1442.434
FLEX: 2274 2507 2737 2718 2849 | ACC: 5108 14492 4356 | GYRO: 266 -2111 578 | GDP=2204.804
FLEX: 2299 2468 2735 2630 2903 | ACC: 5496 14896 4436 | GYRO: 172 941 142 | GDP=967.072
FLEX: 2351 2462 2710 2618 2870 | ACC: 4596 15212 4488 | GYRO: 540 -1651 396 | GDP=1781.633
FLEX: 2336 2494 2705 2704 2864 | ACC: 5452 15132 3396 | GYRO: 668 1776 528 | GDP=1969.564
FLEX: 2350 2407 2727 2721 2894 | ACC: 5400 14640 4480 | GYRO: 556 -777 29 | GDP=955.880
FLEX: 2334 2455 2694 2672 2861 | ACC: 5292 14628 4928 | GYRO: 1189 612 -216 | GDP=1354.593
FLEX: 2339 2461 2707 2678 2907 | ACC: 5736 14892 3932 | GYRO: 1724 -37 -34 | GDP=1724.732
FLEX: 2366 2491 2715 2723 2883 | ACC: 5220 15624 3808 | GYRO: 2107 1249 -476 | GDP=2495.201
