# label=N
# timestamp=1764322850.8744774
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2218 2666 2559 2710 2791 | ACC: -832 17168 2980 | GYRO: 276 -1460 2175 | GDP=2634.084
FLEX: 1926 2650 2559 2775 2698 | ACC: -544 17456 2052 | GYRO: -160 -309 2399 | GDP=2424.104
FLEX: 2223 2608 2547 2747 2680 | ACC: -348 16560 2384 | GYRO: -1425 -2016 2273 | GDP=3355.802
FLEX: 1904 2665 2559 2775 2707 | ACC: 80 16048 2336 | GYRO: -1454 -197 2452 | GDP=2857.487
FLEX: 2231 2612 2559 2805 2705 | ACC: 212 15204 3000 | GYRO: -2045 -1043 2505 | GDP=3397.779
FLEX: 1920 2608 2546 2781 2627 | ACC: 788 15320 2492 | GYRO: -1719 203 2531 | GDP=3066.290
FLEX: 2213 2622 2541 2773 2704 | ACC: 1428 14932 2696 | GYRO: -2552 -1776 1980 | GDP=3686.093
FLEX: 1932 2637 2559 2814 2737 | ACC: 2020 14844 3336 | GYRO: -1802 -20 1977 | GDP=2675.095
FLEX: 2126 2613 2486 2803 2684 | ACC: 1848 14780 4108 | GYRO: -1936 408 1734 | GDP=2630.839
FLEX: 1955 2615 2534 2800 2708 | ACC: 2096 14768 4916 | GYRO: -1463 238 1341 | GDP=1998.823
FLEX: 2237 2608 2544 2802 2704 | ACC: 1876 15084 5316 | GYRO: -801 -91 1389 | GDP=1605.990
FLEX: 1947 2559 2555 2826 2723 | ACC: 2504 14908 5628 | GYRO: 550 -215 1554 | GDP=1662.420
FLEX: 2231 2611 2523 2809 2710 | ACC: 2600 15240 5104 | GYRO: 710 -299 866 | GDP=1159.076
FLEX: 1920 2613 2559 2827 2713 | ACC: 3096 15244 4916 | GYRO: 1444 -4 42 | GDP=1444.616
FLEX: 2256 2585 2528 2733 2698 | ACC: 2748 15580 4864 | GYRO: 1219 -974 -898 | GDP=1800.289
FLEX: 1910 2637 2559 2817 2735 | ACC: 2456 15516 4636 | GYRO: 1153 -1384 -1216 | GDP=2173.366
FLEX: 2250 2640 2513 2807 2706 | ACC: 1936 15624 4496 | GYRO: 784 167 -1268 | GDP=1500.123
FLEX: 1874 2628 2559 2805 2686 | ACC: 1760 15740 4640 | GYRO: 637 -74 -776 | GDP=1006.688
FLEX: 2288 2649 2551 2809 2753 | ACC: 2056 15756 4832 | GYRO: 1333 661 -289 | GDP=1515.695
FLEX: 1869 2625 2523 2834 2726 | ACC: 1676 15612 4344 | GYRO: 1949 81 -72 | GDP=1952.011
FLEX: 2287 2656 2545 2813 2715 | ACC: 1736 15640 3968 | GYRO: 1119 -179 -123 | GDP=1139.882
FLEX: 1845 2621 2559 2831 2719 | ACC: 2400 15144 4108 | GYRO: 1083 -92 -203 | GDP=1105.695
FLEX: 2317 2627 2550 2786 2689 | ACC: 2396 15432 4072 | GYRO: 1387 71 -754 | GDP=1580.293
FLEX: 1840 2618 2502 2833 2731 | ACC: 1992 15236 4444 | GYRO: 1729 -659 -1866 | GDP=2627.866
FLEX: 2262 2625 2533 2821 2726 | ACC: 1032 15824 4120 | GYRO: 1447 100 -2055 | GDP=2515.320
FLEX: 1822 2640 2550 2769 2697 | ACC: 1040 16224 3876 | GYRO: 1912 -301 -1999 | GDP=2782.507
FLEX: 2301 2624 2544 2789 2739 | ACC: 924 16288 3592 | GYRO: 2027 814 -1106 | GDP=2448.379
FLEX: 1818 2631 2539 2800 2739 | ACC: 652 16416 3016 | GYRO: 1525 586 -511 | GDP=1711.766
FLEX: 2300 2644 2544 2806 2669 | ACC: 892 16132 3228 | GYRO: 1492 2181 365 | GDP=2667.593
FLEX: 1828 2624 2527 2800 2693 | ACC: 516 15896 4132 | GYRO: 1388 109 495 | GDP=1477.650
FLEX: 2256 2640 2556 2800 2690 | ACC: 2004 15356 4064 | GYRO: 2627 1333 480 | GDP=2984.697
FLEX: 1926 2624 2529 2815 2727 | ACC: 1576 16312 2812 | GYRO: 3120 724 -436 | GDP=3232.441
FLEX: 2198 2611 2559 2789 2732 | ACC: 1732 16136 2368 | GYRO: 1280 2018 -1581 | GDP=2865.359
FLEX: 1968 2618 2522 2791 2718 | ACC: 916 15128 3940 | GYRO: 3451 -1190 -2241 | GDP=4283.408
FLEX: 2206 2622 2529 2797 2685 | ACC: -128 17020 2300 | GYRO: 4567 -1399 -2530 | GDP=5405.145
FLEX: 2027 2671 2547 2775 2690 | ACC: 496 15692 2320 | GYRO: 2410 -212 -1897 | GDP=3074.354
FLEX: 2242 2606 2525 2768 2641 | ACC: -644 16092 2592 | GYRO: 4772 -2210 -1914 | GDP=5596.381
FLEX: 2090 2653 2531 2793 2717 | ACC: 696 15816 1360 | GYRO: 6428 -841 -1145 | GDP=6583.122
FLEX: 2307 2672 2544 2800 2715 | ACC: -632 16348 292 | GYRO: 7540 -5846 -1838 | GDP=9716.252
FLEX: 2194 2679 2528 2815 2728 | ACC: -592 16948 -632 | GYRO: 6100 546 -2038 | GDP=6454.577
FLEX: 2371 2693 2539 2790 2736 | ACC: -1572 15840 -544 | GYRO: 4161 -3277 -2027 | GDP=5671.101
FLEX: 2272 2671 2539 2801 2716 | ACC: -1492 16988 -1428 | GYRO: 3578 -1477 -2662 | GDP=4697.856
FLEX: 2431 2668 2559 2800 2699 | ACC: -832 16304 -2280 | GYRO: 3039 2924 -2570 | GDP=4938.643
FLEX: 2309 2667 2498 2816 2701 | ACC: -2752 16184 -1256 | GYRO: 886 -3384 -3962 | GDP=5285.253
FLEX: 2457 2688 2539 2802 2729 | ACC: -1684 15168 -1084 | GYRO: 2263 1603 -1309 | GDP=3066.636
FLEX: 2338 2689 2460 2774 2705 | ACC: -3536 16376 -2188 | GYRO: 1946 -1965 -1093 | GDP=2973.683
FLEX: 2448 2674 2443 2768 2693 | ACC: -2104 15748 -1092 | GYRO: 1077 4217 -296 | GDP=4362.411
FLEX: 2345 2699 2469 2766 2698 | ACC: -1792 16880 -3444 | GYRO: 831 -16 -1198 | GDP=1458.088
FLEX: 2431 2682 2488 2800 2743 | ACC: -2324 15528 -1532 | GYRO: -1227 5126 59 | GDP=5271.137
FLEX: 2182 2691 2539 2707 2720 | ACC: -2012 16604 -2036 | GYRO: 740 820 -766 | GDP=1344.156
FLEX: 2402 2704 2533 2790 2696 | ACC: -1456 15848 -2104 | GYRO: -180 1222 1187 | GDP=1713.083
FLEX: 2119 2640 2512 2818 2736 | ACC: -3020 16636 -1804 | GYRO: -658 71 683 | GDP=951.049
FLEX: 2285 2654 2505 2787 2708 | ACC: -2004 16000 -1756 | GYRO: -113 -1410 269 | GDP=1439.872
FLEX: 2033 2627 2490 2804 2700 | ACC: -2256 16340 -1180 | GYRO: -535 -1385 119 | GDP=1489.500
FLEX: 2241 2644 2381 2772 2676 | ACC: -1436 15840 -760 | GYRO: 209 -1512 256 | GDP=1547.695
FLEX: 2002 2624 2465 2875 2760 | ACC: -1700 16292 -880 | GYRO: 427 -514 8 | GDP=668.273
FLEX: 2238 2673 2504 2711 2704 | ACC: -1908 16188 -1216 | GYRO: -199 -355 -56 | GDP=410.807
FLEX: 2000 2648 2502 2795 2707 | ACC: -2436 16164 -1292 | GYRO: -82 629 108 | GDP=643.451
FLEX: 2267 2655 2495 2800 2735 | ACC: -2356 16432 -1360 | GYRO: -72 112 831 | GDP=841.599
FLEX: 1936 2665 2512 2789 2741 | ACC: -1700 16456 -1684 | GYRO: 61 1736 1353 | GDP=2201.823
FLEX: 2236 2640 2551 2782 2755 | ACC: -856 16164 -1860 | GYRO: 110 481 1116 | GDP=1220.212
FLEX: 1934 2652 2489 2749 2726 | ACC: -1120 15988 -1140 | GYRO: 214 1949 603 | GDP=2051.343
FLEX: 2247 2656 2493 2779 2724 | ACC: -1312 16336 -652 | GYRO: -222 -426 -126 | GDP=496.625
FLEX: 1953 2652 2543 2743 2674 | ACC: -1564 16392 -176 | GYRO: 321 -152 -357 | GDP=503.581
FLEX: 2233 2651 2544 2735 2710 | ACC: -1788 16544 -484 | GYRO: -262 -678 -249 | GDP=768.329
FLEX: 1930 2640 2512 2768 2685 | ACC: -1500 16608 -1032 | GYRO: 857 757 177 | GDP=1157.077
FLEX: 2205 2658 2559 2759 2797 | ACC: -1840 15912 -684 | GYRO: -359 -163 509 | GDP=643.841
FLEX: 1939 2654 2515 2688 2745 | ACC: -460 16688 -948 | GYRO: 1775 4028 1534 | GDP=4661.391
FLEX: 2230 2655 2538 2763 2733 | ACC: -1764 16292 -404 | GYRO: 186 290 961 | GDP=1020.890
FLEX: 1943 2641 2513 2769 2688 | ACC: 416 15796 -720 | GYRO: 1120 698 1006 | GDP=1659.410
FLEX: 2230 2640 2496 2763 2705 | ACC: -768 16288 -616 | GYRO: 1173 -117 -17 | GDP=1178.943
FLEX: 1920 2639 2529 2755 2637 | ACC: -484 16500 -940 | GYRO: 672 664 49 | GDP=945.982
FLEX: 2256 2605 2557 2758 2879 | ACC: -2156 16792 -832 | GYRO: 689 276 -167 | GDP=760.780
FLEX: 1935 2672 2544 2748 2659 | ACC: -2076 16728 -1156 | GYRO: -585 325 694 | GDP=964.099
FLEX: 2267 2670 2559 2775 2694 | ACC: -1868 16716 -1208 | GYRO: -504 1180 1505 | GDP=1977.736
FLEX: 1941 2672 2551 2759 2737 | ACC: -1396 16156 -816 | GYRO: -2193 168 2452 | GDP=3293.900
FLEX: 2253 2643 2554 2759 2706 | ACC: -148 16024 -204 | GYRO: -1586 608 2592 | GDP=3098.955
FLEX: 1968 2642 2559 2735 2690 | ACC: 932 15976 1060 | GYRO: -1199 568 2479 | GDP=2811.702
FLEX: 2248 2688 2532 2793 2687 | ACC: 2152 16064 1892 | GYRO: -186 1416 1735 | GDP=2247.193
FLEX: 1957 2645 2544 2736 2735 | ACC: 2252 15032 2448 | GYRO: 491 595 321 | GDP=835.552
FLEX: 2213 2639 2523 2772 2695 | ACC: 1480 15316 1232 | GYRO: 2605 741 -1055 | GDP=2906.567
FLEX: 1952 2646 2559 2779 2706 | ACC: -1000 15564 -768 | GYRO: 3595 1013 -1408 | GDP=3991.573
FLEX: 2244 2665 2539 2704 2726 | ACC: -2396 16384 -1144 | GYRO: 2583 32 -278 | GDP=2598.114
FLEX: 1931 2649 2539 2786 2722 | ACC: -1620 16520 -608 | GYRO: 1818 -378 664 | GDP=1972.030
FLEX: 2268 2670 2547 2767 2698 | ACC: 68 16728 -1016 | GYRO: 1741 -151 940 | GDP=1984.309
FLEX: 1939 2637 2541 2763 2707 | ACC: 404 16988 -1400 | GYRO: 2017 -453 695 | GDP=2180.946
FLEX: 2253 2672 2559 2788 2688 | ACC: 836 16780 -1284 | GYRO: 925 -348 625 | GDP=1169.339
FLEX: 1989 2640 2544 2807 2672 | ACC: 784 16880 -1272 | GYRO: 981 337 364 | GDP=1099.284
FLEX: 2213 2683 2544 2869 2675 | ACC: 632 16668 -924 | GYRO: 296 -49 -52 | GDP=304.501
FLEX: 1971 2645 2544 2721 2640 | ACC: 716 16624 -1152 | GYRO: 745 411 -294 | GDP=900.212
FLEX: 2218 2658 2613 2734 2717 | ACC: -124 16804 -1152 | GYRO: 607 307 -488 | GDP=837.163
FLEX: 1987 2650 2541 2759 2734 | ACC: -604 16436 -788 | GYRO: 37 -46 -328 | GDP=333.270
FLEX: 2239 2659 2559 2742 2559 | ACC: -144 16584 -1096 | GYRO: 119 -646 -5 | GDP=656.888
FLEX: 1978 2672 2544 2771 2767 | ACC: 124 16356 -736 | GYRO: -174 -370 278 | GDP=494.429
FLEX: 2288 2583 2525 2776 2705 | ACC: 388 16164 -444 | GYRO: 148 -1090 315 | GDP=1144.215
