# label=O
# timestamp=1764322874.1324658
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2835 2787 2659 2723 2677 | ACC: 3556 16876 416 | GYRO: 384 1779 146 | GDP=1825.818
FLEX: 2847 2785 2658 2753 2559 | ACC: 3340 16528 1300 | GYRO: 825 1684 701 | GDP=2001.969
FLEX: 2841 2791 2674 2755 2637 | ACC: 3720 16136 1236 | GYRO: 402 1355 729 | GDP=1590.305
FLEX: 2825 2800 2653 2720 2597 | ACC: 4496 15496 1292 | GYRO: 454 870 597 | GDP=1148.662
FLEX: 2849 2813 2675 2714 2653 | ACC: 4040 15376 2056 | GYRO: -1 532 179 | GDP=561.307
FLEX: 2867 2779 2629 2752 2640 | ACC: 4096 15912 1064 | GYRO: 7 1049 141 | GDP=1058.457
FLEX: 2849 2781 2670 2747 2641 | ACC: 3488 16244 1584 | GYRO: 161 461 515 | GDP=709.695
FLEX: 2847 2756 2658 2703 2617 | ACC: 3960 16128 1656 | GYRO: 268 379 1191 | GDP=1278.259
FLEX: 2877 2827 2669 2768 2602 | ACC: 4236 15564 2020 | GYRO: 765 318 1019 | GDP=1313.282
FLEX: 2838 2790 2652 2700 2622 | ACC: 4076 15340 1972 | GYRO: 494 252 898 | GDP=1055.435
FLEX: 2837 2807 2647 2784 2640 | ACC: 4724 15024 2080 | GYRO: 995 156 660 | GDP=1204.143
FLEX: 2855 2789 2682 2715 2594 | ACC: 4428 15152 2168 | GYRO: 879 609 584 | GDP=1218.433
FLEX: 2866 2787 2672 2747 2624 | ACC: 4996 15416 1780 | GYRO: 904 81 534 | GDP=1053.059
FLEX: 2865 2839 2643 2727 2594 | ACC: 4968 15996 1596 | GYRO: 964 270 388 | GDP=1073.657
FLEX: 2807 2793 2672 2721 2630 | ACC: 4952 15932 1512 | GYRO: 1315 -15 342 | GDP=1358.828
FLEX: 2839 2778 2659 2768 2630 | ACC: 4852 15696 1236 | GYRO: 1350 468 667 | GDP=1576.836
FLEX: 2876 2803 2683 2739 2594 | ACC: 4760 15404 1320 | GYRO: 788 -374 -56 | GDP=874.046
FLEX: 2833 2794 2630 2753 2559 | ACC: 4540 15376 1588 | GYRO: 772 -10 104 | GDP=779.038
FLEX: 2847 2802 2673 2781 2639 | ACC: 4696 15624 1360 | GYRO: 722 -633 141 | GDP=970.492
FLEX: 2843 2800 2656 2768 2615 | ACC: 4916 15884 1068 | GYRO: 852 288 335 | GDP=959.725
FLEX: 2849 2794 2662 2726 2647 | ACC: 4964 16204 968 | GYRO: 851 -138 170 | GDP=878.718
FLEX: 2842 2785 2659 2785 2639 | ACC: 4988 16064 908 | GYRO: 1110 366 582 | GDP=1305.672
FLEX: 2867 2806 2701 2752 2625 | ACC: 5020 15480 924 | GYRO: 791 -158 281 | GDP=854.170
FLEX: 2849 2805 2664 2805 2611 | ACC: 4872 15256 1560 | GYRO: 785 -319 -202 | GDP=871.086
FLEX: 2871 2801 2671 2813 2639 | ACC: 4512 15476 1292 | GYRO: 926 -453 -404 | GDP=1107.204
FLEX: 2818 2782 2689 2752 2559 | ACC: 4612 15712 844 | GYRO: 1013 -12 -264 | GDP=1046.905
FLEX: 2837 2799 2661 2787 2620 | ACC: 4848 16156 500 | GYRO: 660 -77 58 | GDP=667.003
FLEX: 2894 2800 2643 2771 2639 | ACC: 4976 16172 496 | GYRO: 568 177 423 | GDP=729.988
FLEX: 2849 2811 2630 2779 2670 | ACC: 5016 15832 968 | GYRO: 456 168 467 | GDP=673.980
FLEX: 2842 2788 2654 2766 2587 | ACC: 4824 15332 1636 | GYRO: 535 84 56 | GDP=544.442
FLEX: 2864 2797 2644 2793 2677 | ACC: 4812 15304 1768 | GYRO: 819 -234 -145 | GDP=864.027
FLEX: 2864 2797 2657 2781 2608 | ACC: 4404 15532 1220 | GYRO: 893 -161 -164 | GDP=922.099
FLEX: 2855 2828 2650 2807 2623 | ACC: 4972 15840 448 | GYRO: 670 47 207 | GDP=702.821
FLEX: 2842 2835 2626 2784 2620 | ACC: 5072 16036 444 | GYRO: 453 -135 419 | GDP=631.661
FLEX: 2875 2803 2666 2864 2610 | ACC: 5296 16168 840 | GYRO: 711 59 446 | GDP=841.379
FLEX: 2845 2793 2655 2732 2607 | ACC: 5028 15560 1548 | GYRO: 833 -265 245 | GDP=907.821
FLEX: 2840 2767 2671 2753 2640 | ACC: 4712 15372 1768 | GYRO: 1297 -596 -148 | GDP=1435.036
FLEX: 2849 2768 2683 2777 2615 | ACC: 4476 15456 1544 | GYRO: 1669 -224 -251 | GDP=1702.568
FLEX: 2844 2791 2647 2765 2615 | ACC: 5132 15952 516 | GYRO: 1856 -615 -21 | GDP=1955.352
FLEX: 2872 2787 2615 2768 2609 | ACC: 5276 15952 12 | GYRO: 1479 -262 296 | GDP=1530.915
FLEX: 2850 2771 2630 2759 2624 | ACC: 5980 15820 -360 | GYRO: 1628 -100 234 | GDP=1647.768
FLEX: 2854 2768 2645 2751 2647 | ACC: 5600 15912 -288 | GYRO: 845 85 176 | GDP=867.310
FLEX: 2865 2781 2667 2754 2601 | ACC: 5480 15364 452 | GYRO: 719 -684 -86 | GDP=996.099
FLEX: 2823 2800 2645 2769 2621 | ACC: 4632 15108 1168 | GYRO: 164 -764 -529 | GDP=943.628
FLEX: 2853 2819 2667 2813 2603 | ACC: 4644 15212 1076 | GYRO: 667 -411 -848 | GDP=1154.519
FLEX: 2826 2800 2654 2747 2599 | ACC: 4552 15472 492 | GYRO: 215 -153 -648 | GDP=699.670
FLEX: 2876 2791 2610 2745 2603 | ACC: 4508 15848 472 | GYRO: 300 127 -140 | GDP=354.583
FLEX: 2832 2789 2704 2679 2593 | ACC: 4616 16204 312 | GYRO: 265 206 122 | GDP=357.134
FLEX: 2805 2802 2672 2779 2608 | ACC: 4900 15740 732 | GYRO: 491 273 260 | GDP=619.040
FLEX: 2867 2791 2659 2733 2615 | ACC: 4844 15680 1156 | GYRO: 590 -37 -10 | GDP=591.244
FLEX: 2832 2810 2651 2719 2587 | ACC: 4772 15544 1124 | GYRO: 439 -182 -267 | GDP=545.100
FLEX: 2829 2768 2638 2731 2585 | ACC: 4608 15892 804 | GYRO: 346 -217 104 | GDP=421.451
FLEX: 2829 2779 2655 2738 2607 | ACC: 5152 15860 372 | GYRO: 479 -231 133 | GDP=548.171
FLEX: 2952 2754 2649 2731 2559 | ACC: 4900 16260 280 | GYRO: 213 207 319 | GDP=435.866
FLEX: 2826 2768 2685 2736 2559 | ACC: 5144 15924 616 | GYRO: 412 121 521 | GDP=675.149
FLEX: 2835 2783 2559 2739 2615 | ACC: 4772 15360 1156 | GYRO: 677 278 519 | GDP=897.203
FLEX: 2831 2798 2675 2692 2558 | ACC: 5124 15192 1276 | GYRO: 898 -346 -58 | GDP=964.098
FLEX: 2858 2787 2640 2693 2655 | ACC: 4888 15316 920 | GYRO: 692 -86 -91 | GDP=703.236
FLEX: 2893 2851 2641 2713 2544 | ACC: 4804 15448 904 | GYRO: 617 -479 -283 | GDP=830.794
FLEX: 2877 2806 2672 2728 2672 | ACC: 5296 16084 192 | GYRO: 560 431 -86 | GDP=711.869
FLEX: 2800 2768 2667 2720 2637 | ACC: 5112 16092 628 | GYRO: 869 -108 151 | GDP=888.609
FLEX: 2886 2778 2631 2696 2607 | ACC: 5144 15672 744 | GYRO: 798 155 360 | GDP=889.061
FLEX: 2865 2771 2705 2690 2688 | ACC: 4832 14840 1052 | GYRO: 808 78 -246 | GDP=848.212
FLEX: 2895 2790 2665 2795 2641 | ACC: 4820 14364 1160 | GYRO: 668 120 -683 | GDP=962.867
FLEX: 2784 2792 2662 2787 2624 | ACC: 4560 14868 876 | GYRO: 491 267 -993 | GDP=1139.482
FLEX: 2846 2779 2659 2744 2559 | ACC: 4844 15532 540 | GYRO: 218 74 -1250 | GDP=1271.023
FLEX: 2827 2791 2672 2724 2615 | ACC: 5192 15864 788 | GYRO: 317 364 -1546 | GDP=1619.599
FLEX: 2847 2817 2604 2759 2544 | ACC: 4224 16060 964 | GYRO: 224 464 -1480 | GDP=1567.122
FLEX: 2844 2765 2671 2686 2611 | ACC: 4444 15964 740 | GYRO: 421 1035 -1257 | GDP=1681.819
FLEX: 2818 2807 2619 2751 2557 | ACC: 3620 16148 1072 | GYRO: 323 422 -974 | GDP=1109.545
FLEX: 2862 2794 2653 2794 2639 | ACC: 4472 15852 1040 | GYRO: 417 737 -1051 | GDP=1349.688
FLEX: 2868 2825 2677 2771 2662 | ACC: 3804 16020 1148 | GYRO: 513 790 -1068 | GDP=1424.041
FLEX: 2834 2811 2613 2779 2557 | ACC: 4452 15920 728 | GYRO: 652 1324 -1421 | GDP=2048.736
FLEX: 2832 2800 2642 2751 2587 | ACC: 2972 16796 924 | GYRO: 1122 1585 -1368 | GDP=2375.402
FLEX: 2858 2766 2637 2741 2645 | ACC: 3704 16500 320 | GYRO: 433 1759 -877 | GDP=2012.635
FLEX: 2837 2789 2659 2733 2603 | ACC: 3764 16164 1260 | GYRO: 107 565 -308 | GDP=652.333
FLEX: 2845 2784 2682 2738 2605 | ACC: 2640 16164 1740 | GYRO: 100 1084 -270 | GDP=1121.586
FLEX: 2855 2797 2669 2739 2629 | ACC: 3552 15824 2036 | GYRO: 62 145 -196 | GDP=251.565
FLEX: 2864 2785 2679 2679 2605 | ACC: 2424 16152 1980 | GYRO: -61 1220 306 | GDP=1259.268
FLEX: 2826 2810 2675 2755 2619 | ACC: 3848 16156 1316 | GYRO: 346 1028 202 | GDP=1103.315
FLEX: 2874 2785 2628 2757 2620 | ACC: 3312 16388 1820 | GYRO: -147 -624 590 | GDP=871.255
FLEX: 2863 2858 2681 2757 2617 | ACC: 3792 16096 1696 | GYRO: -187 1266 726 | GDP=1471.326
FLEX: 2880 2799 2645 2758 2599 | ACC: 3148 15760 2192 | GYRO: -55 -1112 696 | GDP=1313.006
FLEX: 2849 2864 2663 2735 2702 | ACC: 3228 15548 2320 | GYRO: 689 254 312 | GDP=797.860
FLEX: 2855 2795 2637 2751 2608 | ACC: 4080 15716 1576 | GYRO: 732 -312 -484 | GDP=931.356
FLEX: 2863 2806 2669 2751 2655 | ACC: 3604 16328 1132 | GYRO: 1003 271 -439 | GDP=1127.906
FLEX: 2855 2753 2702 2751 2621 | ACC: 3292 16444 1268 | GYRO: 734 311 -203 | GDP=822.609
FLEX: 2816 2796 2672 2722 2610 | ACC: 3156 16492 1712 | GYRO: 693 310 357 | GDP=838.927
FLEX: 2845 2771 2656 2752 2598 | ACC: 3636 15984 2160 | GYRO: 735 120 537 | GDP=918.147
FLEX: 2857 2797 2670 2763 2608 | ACC: 3480 15616 2224 | GYRO: 490 -373 171 | GDP=639.117
FLEX: 2858 2789 2657 2704 2549 | ACC: 3528 15304 2256 | GYRO: 858 -550 -198 | GDP=1038.204
FLEX: 2843 2790 2657 2757 2628 | ACC: 3512 15864 1752 | GYRO: 786 -334 -186 | GDP=874.041
FLEX: 2871 2771 2683 2711 2605 | ACC: 3924 16232 1088 | GYRO: 660 -403 -286 | GDP=824.503
FLEX: 2839 2794 2636 2703 2637 | ACC: 3492 16520 1216 | GYRO: 457 323 140 | GDP=576.869
