# label=P
# timestamp=1764318274.5254374
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2602 2513 2206 2660 2623 | ACC: -4308 15796 -260 | GYRO: -1700 -1465 3801 | GDP=4414.049
FLEX: 2616 2496 2195 2624 2690 | ACC: -2580 15352 1468 | GYRO: -3095 -657 3413 | GDP=4653.949
FLEX: 2603 2481 2207 2636 2658 | ACC: -1444 14532 4424 | GYRO: -3171 862 1050 | GDP=3449.751
FLEX: 2589 2501 2193 2659 2662 | ACC: -8436 13256 7820 | GYRO: -709 -2460 102 | GDP=2562.164
FLEX: 2586 2480 2171 2640 2675 | ACC: -5880 13376 6228 | GYRO: 31 -2085 1842 | GDP=2782.292
FLEX: 2599 2490 2215 2709 2671 | ACC: -4064 13428 5364 | GYRO: 517 -1108 2063 | GDP=2398.108
FLEX: 2595 2482 2199 2654 2665 | ACC: -2424 13696 5052 | GYRO: -8 -1211 1847 | GDP=2208.618
FLEX: 2628 2520 2179 2619 2661 | ACC: -2856 14180 5400 | GYRO: 516 -235 1149 | GDP=1281.281
FLEX: 2559 2482 2210 2640 2651 | ACC: -2728 14628 5332 | GYRO: 396 -472 1110 | GDP=1269.527
FLEX: 2582 2485 2197 2676 2655 | ACC: -2456 14580 5120 | GYRO: 566 1215 319 | GDP=1377.803
FLEX: 2595 2498 2192 2640 2655 | ACC: -3748 13964 5836 | GYRO: 3095 2034 625 | GDP=3755.903
FLEX: 2610 2496 2195 2652 2663 | ACC: -3888 15952 4804 | GYRO: 3321 759 506 | GDP=3444.003
FLEX: 2559 2496 2229 2624 2627 | ACC: -2784 15392 5732 | GYRO: 1528 -783 1120 | GDP=2049.945
FLEX: 2610 2487 2225 2672 2653 | ACC: -2220 15240 5076 | GYRO: 697 880 327 | GDP=1169.247
FLEX: 2587 2475 2199 2621 2658 | ACC: -2636 15008 5224 | GYRO: 515 901 -50 | GDP=1039.002
FLEX: 2603 2509 2204 2555 2687 | ACC: -2644 15204 4648 | GYRO: 312 515 -512 | GDP=790.388
FLEX: 2553 2507 2188 2636 2663 | ACC: -3504 15156 5156 | GYRO: 279 4 -539 | GDP=606.942
FLEX: 2601 2559 2192 2695 2672 | ACC: -3392 15356 4848 | GYRO: 211 80 -499 | GDP=547.651
FLEX: 2559 2495 2206 2670 2656 | ACC: -4252 15472 5076 | GYRO: 214 246 -91 | GDP=338.516
FLEX: 2603 2477 2189 2672 2613 | ACC: -3716 15216 5416 | GYRO: 573 -35 105 | GDP=583.591
