# label=Q
# timestamp=1764318488.033182
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2414 2646 2791 2867 2738 | ACC: 3712 12484 8176 | GYRO: 214 -3436 -2005 | GDP=3983.958
FLEX: 2402 2654 2785 2847 2727 | ACC: 3056 13088 8592 | GYRO: -152 -4125 -3092 | GDP=5157.440
FLEX: 2354 2646 2803 2866 2767 | ACC: 2784 14052 8188 | GYRO: -37 -1073 -3093 | GDP=3274.042
FLEX: 2403 2669 2799 2849 2725 | ACC: 1240 14308 8748 | GYRO: -104 -740 -2163 | GDP=2288.446
FLEX: 2423 2644 2797 2868 2684 | ACC: 1572 15116 8480 | GYRO: -927 439 353 | GDP=1084.739
FLEX: 2415 2646 2800 2848 2742 | ACC: 4624 14196 8796 | GYRO: -1423 -720 1612 | GDP=2267.570
FLEX: 2433 2672 2800 2857 2745 | ACC: 4424 14152 9660 | GYRO: -738 -224 1850 | GDP=2004.325
FLEX: 2432 2634 2778 2838 2737 | ACC: 4900 13472 9012 | GYRO: -267 373 2401 | GDP=2444.426
FLEX: 2406 2657 2796 2879 2750 | ACC: 5756 13196 7896 | GYRO: 122 -331 2385 | GDP=2410.948
FLEX: 2395 2653 2787 2831 2714 | ACC: 5296 12104 9088 | GYRO: 778 -1027 2263 | GDP=2604.070
FLEX: 2384 2670 2803 2890 2736 | ACC: 6048 12476 8320 | GYRO: 1670 474 1660 | GDP=2401.911
FLEX: 2433 2640 2815 2813 2755 | ACC: 5988 12272 8328 | GYRO: 1782 -101 1011 | GDP=2051.303
FLEX: 2413 2663 2785 2876 2747 | ACC: 6112 12136 8212 | GYRO: 1084 258 713 | GDP=1322.871
FLEX: 2387 2640 2761 2842 2703 | ACC: 5228 12572 8404 | GYRO: 361 453 822 | GDP=1005.591
FLEX: 2371 2649 2807 2865 2749 | ACC: 5716 12732 9076 | GYRO: -99 -298 1155 | GDP=1196.925
FLEX: 2399 2624 2807 2868 2731 | ACC: 5680 12420 9312 | GYRO: 355 103 1179 | GDP=1235.587
FLEX: 2413 2659 2795 2865 2733 | ACC: 5768 12416 8936 | GYRO: 794 443 1066 | GDP=1401.086
FLEX: 2352 2657 2785 2855 2718 | ACC: 6000 12328 8632 | GYRO: 1012 461 1008 | GDP=1500.909
FLEX: 2387 2626 2827 2835 2729 | ACC: 5980 12136 8292 | GYRO: 1034 676 904 | GDP=1530.800
FLEX: 2387 2649 2799 2855 2711 | ACC: 6484 12036 8584 | GYRO: 1154 626 1030 | GDP=1668.680
FLEX: 2419 2661 2779 2864 2735 | ACC: 6420 12364 9016 | GYRO: 450 755 730 | GDP=1142.552
FLEX: 2404 2629 2791 2845 2713 | ACC: 6892 12408 8996 | GYRO: 232 507 354 | GDP=660.446
FLEX: 2431 2642 2814 2878 2745 | ACC: 6716 12228 9444 | GYRO: 230 -133 56 | GDP=271.523
