# label=R
# timestamp=1764321013.5874586
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2722 2640 2355 2815 2817 | ACC: 1852 14160 -1776 | GYRO: -105 1415 2331 | GDP=2728.885
FLEX: 2729 2617 2384 2800 2831 | ACC: 4112 12876 -752 | GYRO: -6221 -4005 3957 | GDP=8390.394
FLEX: 2745 2615 2368 2810 2888 | ACC: 6708 12840 108 | GYRO: -7918 -2513 1255 | GDP=8401.483
FLEX: 2741 2613 2357 2800 2857 | ACC: 3104 13424 3364 | GYRO: -9620 -105 -1501 | GDP=9736.962
FLEX: 2730 2608 2353 2807 2866 | ACC: 5052 13200 2452 | GYRO: -6750 1671 -5529 | GDP=8883.951
FLEX: 2743 2656 2354 2822 2894 | ACC: 1432 15336 3088 | GYRO: -6141 3292 -7323 | GDP=10108.188
FLEX: 2729 2613 2400 2843 2871 | ACC: 1224 15700 3008 | GYRO: -6162 -296 -8569 | GDP=10558.676
FLEX: 2742 2669 2378 2827 2895 | ACC: 752 17828 3784 | GYRO: -7826 -6252 -6394 | GDP=11883.477
FLEX: 2727 2635 2359 2823 2845 | ACC: 1144 16956 5916 | GYRO: -7544 -1718 -6339 | GDP=10002.319
FLEX: 2787 2643 2363 2840 2858 | ACC: -128 16500 7732 | GYRO: -6322 -4400 -5256 | GDP=9324.871
FLEX: 2737 2621 2317 2831 2834 | ACC: 260 15756 9260 | GYRO: -5663 381 -4511 | GDP=7250.093
FLEX: 2735 2630 2334 2735 2860 | ACC: -2880 16740 10404 | GYRO: -5064 3446 -1966 | GDP=6433.053
FLEX: 2755 2608 2400 2814 2867 | ACC: -1016 16084 10604 | GYRO: -1897 -5091 414 | GDP=5448.696
FLEX: 2746 2644 2339 2850 2864 | ACC: 656 14680 11148 | GYRO: -877 -301 953 | GDP=1329.639
FLEX: 2736 2624 2337 2832 2864 | ACC: -364 15588 10476 | GYRO: 1499 3551 447 | GDP=3880.259
FLEX: 2757 2641 2329 2832 2844 | ACC: -384 14312 9748 | GYRO: 2609 1884 721 | GDP=3297.905
FLEX: 2713 2635 2335 2826 2870 | ACC: -556 14344 8200 | GYRO: 550 1497 2467 | GDP=2937.618
FLEX: 2749 2661 2336 2841 2781 | ACC: 544 13828 7876 | GYRO: 1435 1457 2183 | GDP=2991.248
FLEX: 2737 2667 2334 2825 2860 | ACC: 812 13288 8360 | GYRO: 1055 803 1452 | GDP=1966.250
FLEX: 2730 2645 2370 2830 2862 | ACC: 272 13808 8408 | GYRO: -229 470 1577 | GDP=1661.406
