# label=Rest
# timestamp=1764315796.1800976
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2559 2502 2192 2528 2262 | ACC: 1324 12328 10156 | GYRO: -7521 -1445 6326 | GDP=9933.365
FLEX: 2597 2459 2251 2522 2304 | ACC: 2088 10788 11660 | GYRO: -7841 -2572 8151 | GDP=11598.934
FLEX: 2559 2490 2204 2490 2271 | ACC: 5620 9824 11348 | GYRO: -6532 -3088 7592 | GDP=10480.517
FLEX: 2586 2481 2199 2513 2258 | ACC: 6088 9040 11928 | GYRO: -4864 -1492 6467 | GDP=8228.405
FLEX: 2559 2497 2209 2497 2262 | ACC: 7012 8548 10672 | GYRO: -5383 728 5148 | GDP=7483.888
FLEX: 2559 2482 2194 2533 2315 | ACC: 7928 7864 11240 | GYRO: -5725 -2463 4442 | GDP=7653.323
FLEX: 2559 2493 2213 2504 2270 | ACC: 8816 6868 13180 | GYRO: -6716 219 4123 | GDP=7883.638
FLEX: 2586 2464 2194 2498 2234 | ACC: 8892 6440 15740 | GYRO: -6003 -816 1837 | GDP=6330.595
FLEX: 2559 2476 2214 2462 2284 | ACC: 8120 6132 16388 | GYRO: 808 1264 416 | GDP=1556.797
FLEX: 2559 2453 2158 2431 2253 | ACC: 6628 7584 15164 | GYRO: 913 2303 355 | GDP=2502.679
FLEX: 2430 2485 2207 2541 2268 | ACC: 5644 8456 15660 | GYRO: 2245 2270 625 | GDP=3253.237
FLEX: 2615 2435 2192 2526 2303 | ACC: 6180 8888 13840 | GYRO: 1668 -556 1273 | GDP=2170.689
FLEX: 2632 2512 2175 2553 2319 | ACC: 5748 8416 13152 | GYRO: 621 121 1545 | GDP=1669.523
FLEX: 2599 2515 2209 2541 2292 | ACC: 7336 7796 14112 | GYRO: 460 -1631 1845 | GDP=2505.152
FLEX: 2607 2473 2196 2547 2320 | ACC: 6596 7368 13584 | GYRO: 1961 -128 1452 | GDP=2443.401
FLEX: 2605 2516 2255 2495 2286 | ACC: 6564 7244 12972 | GYRO: 1731 -316 1521 | GDP=2325.867
FLEX: 2602 2479 2210 2507 2270 | ACC: 7112 7660 12324 | GYRO: 1053 -1173 1015 | GDP=1874.823
FLEX: 2556 2518 2198 2511 2277 | ACC: 7692 7696 12392 | GYRO: -573 -1373 1223 | GDP=1925.925
FLEX: 2603 2478 2209 2512 2341 | ACC: 8388 7348 12808 | GYRO: -68 -1448 464 | GDP=1522.046
FLEX: 2559 2461 2172 2499 2283 | ACC: 8480 7360 13232 | GYRO: 113 92 90 | GDP=171.269
FLEX: 2609 2475 2225 2486 2269 | ACC: 7360 7320 13288 | GYRO: 1367 1326 -782 | GDP=2058.759
FLEX: 2608 2477 2191 2507 2281 | ACC: 6624 7452 12912 | GYRO: 1260 494 -546 | GDP=1459.367
FLEX: 2559 2495 2185 2495 2291 | ACC: 6732 7456 13564 | GYRO: 1314 -413 28 | GDP=1377.661
FLEX: 2582 2481 2224 2505 2263 | ACC: 7760 7108 14984 | GYRO: 2780 -597 616 | GDP=2909.341
FLEX: 2549 2461 2195 2512 2287 | ACC: 8152 8364 12872 | GYRO: 5038 390 -1406 | GDP=5245.034
FLEX: 2585 2491 2225 2507 2279 | ACC: 6216 8408 12252 | GYRO: 4428 1292 -834 | GDP=4687.431
FLEX: 2597 2470 2203 2506 2308 | ACC: 5844 9572 11840 | GYRO: 2564 -477 -327 | GDP=2628.413
FLEX: 2585 2487 2208 2518 2320 | ACC: 7016 8772 13140 | GYRO: 2760 -329 1032 | GDP=2964.939
FLEX: 2608 2516 2243 2508 2315 | ACC: 9568 9760 13352 | GYRO: 2917 4881 1987 | GDP=6023.389
FLEX: 2559 2523 2255 2511 2283 | ACC: 6564 8456 16168 | GYRO: 8431 13392 1206 | GDP=15870.786
FLEX: 2598 2485 2210 2502 2325 | ACC: 4632 9944 13564 | GYRO: 10627 13884 415 | GDP=17489.162
FLEX: 2556 2465 2215 2521 2291 | ACC: 5084 10736 10416 | GYRO: 9687 21062 1156 | GDP=23211.682
FLEX: 2622 2529 2208 2513 2332 | ACC: 1184 11964 8584 | GYRO: 9414 32767 1574 | GDP=34128.832
FLEX: 2607 2461 2224 2483 2323 | ACC: -3316 11916 8940 | GYRO: 5606 32767 3774 | GDP=33456.637
FLEX: 2607 2496 2228 2544 2325 | ACC: -5620 13072 7196 | GYRO: 3389 32767 5816 | GDP=33451.270
FLEX: 2607 2480 2228 2531 2349 | ACC: -8352 11952 9160 | GYRO: 1353 21766 6186 | GDP=22668.391
FLEX: 2600 2481 2222 2559 2357 | ACC: -6968 13492 6936 | GYRO: -247 16976 5723 | GDP=17916.426
FLEX: 2557 2499 2239 2503 2349 | ACC: -7380 12176 7472 | GYRO: -1507 9619 4852 | GDP=10878.332
FLEX: 2606 2513 2247 2534 2347 | ACC: -6028 13152 6432 | GYRO: -999 6955 3975 | GDP=8072.834
FLEX: 2590 2503 2240 2525 2351 | ACC: -7200 13008 7068 | GYRO: -1666 7582 3642 | GDP=8574.757
FLEX: 2587 2513 2192 2544 2358 | ACC: -5232 12548 7000 | GYRO: -1798 729 2310 | GDP=3016.678
FLEX: 2559 2485 2217 2483 2329 | ACC: -6452 13244 6580 | GYRO: -1246 4309 1727 | GDP=4806.508
FLEX: 2590 2521 2252 2559 2365 | ACC: -7028 13148 7304 | GYRO: -2832 649 1180 | GDP=3135.893
FLEX: 2544 2534 2224 2534 2352 | ACC: -6420 13008 7500 | GYRO: -1718 610 1196 | GDP=2180.376
FLEX: 2559 2519 2269 2559 2355 | ACC: -6644 13188 7688 | GYRO: -1728 774 1142 | GDP=2211.159
FLEX: 2559 2489 2260 2559 2352 | ACC: -6720 12928 7844 | GYRO: -1620 -1 891 | GDP=1848.860
FLEX: 2589 2535 2265 2558 2351 | ACC: -6580 13068 7900 | GYRO: -1871 740 1353 | GDP=2424.634
FLEX: 2559 2499 2258 2535 2320 | ACC: -6492 12440 9144 | GYRO: -1089 -2169 1128 | GDP=2676.353
FLEX: 2512 2510 2235 2559 2346 | ACC: -5120 12496 8312 | GYRO: -394 -517 838 | GDP=1060.551
FLEX: 2597 2506 2258 2541 2355 | ACC: -5676 12440 9304 | GYRO: 466 -1329 425 | GDP=1471.062
FLEX: 2559 2512 2273 2542 2370 | ACC: -5064 12412 8420 | GYRO: 820 -177 -23 | GDP=839.201
FLEX: 2601 2515 2244 2559 2347 | ACC: -5408 12820 8468 | GYRO: 1246 -1536 -747 | GDP=2114.195
FLEX: 2601 2510 2258 2529 2342 | ACC: -5584 12720 8320 | GYRO: 790 -907 -1076 | GDP=1613.854
FLEX: 2559 2515 2258 2515 2320 | ACC: -5184 12752 8752 | GYRO: 622 -2860 -1454 | GDP=3268.119
FLEX: 2553 2544 2287 2514 2243 | ACC: -5324 12352 8808 | GYRO: 2529 -1945 -1674 | GDP=3602.935
FLEX: 2559 2512 2263 2539 2322 | ACC: -5880 12792 8496 | GYRO: 2560 -511 -2251 | GDP=3446.987
FLEX: 2583 2519 2247 2544 1827 | ACC: -7404 12624 10308 | GYRO: 1431 -12332 -3808 | GDP=12985.640
FLEX: 2597 2493 2241 2524 2335 | ACC: -6168 12252 10296 | GYRO: -61 -23466 -7364 | GDP=24594.418
FLEX: 2541 2518 2288 2506 2331 | ACC: -10488 13144 8752 | GYRO: -6132 -32768 -11566 | GDP=35286.195
FLEX: 2598 2512 2218 2519 2349 | ACC: -2592 14204 1624 | GYRO: -19816 -32768 -9930 | GDP=39560.340
FLEX: 2548 2531 2291 2551 2280 | ACC: 10444 9540 700 | GYRO: -25990 -32768 -6356 | GDP=42303.906
FLEX: 2608 2526 2230 2543 2355 | ACC: 20724 5940 4540 | GYRO: -14719 -13648 -488 | GDP=20078.721
FLEX: 2626 2523 2242 2481 2314 | ACC: 8628 5244 14228 | GYRO: -7953 9844 -875 | GDP=12685.432
FLEX: 2559 2494 2245 2539 2315 | ACC: 9528 5916 12184 | GYRO: -10696 -4506 -1738 | GDP=11735.804
FLEX: 2592 2512 2271 2517 2303 | ACC: 11420 3892 11908 | GYRO: -11166 3331 -754 | GDP=11676.628
FLEX: 2559 2480 2223 2496 2335 | ACC: 9732 3520 14256 | GYRO: -6010 3341 -2423 | GDP=7290.631
FLEX: 2635 2503 2227 2494 2314 | ACC: 10060 2820 14352 | GYRO: -4542 5619 -2148 | GDP=7537.694
FLEX: 2559 2473 2266 2512 2336 | ACC: 8584 2504 16224 | GYRO: -3183 9172 -2528 | GDP=10032.341
FLEX: 2559 2498 2256 2532 2325 | ACC: 7836 1996 17816 | GYRO: -1462 4986 -2964 | GDP=5981.884
FLEX: 2599 2514 2250 2526 2355 | ACC: 8544 3216 16444 | GYRO: 373 3530 -5707 | GDP=6720.854
FLEX: 2595 2515 2253 2531 2318 | ACC: 6972 3964 15200 | GYRO: 1817 4792 -7810 | GDP=9341.352
FLEX: 2597 2531 2240 2559 2305 | ACC: 6476 4396 14104 | GYRO: 1602 3922 -8409 | GDP=9415.932
FLEX: 2589 2492 2270 2538 2271 | ACC: 3768 4912 14404 | GYRO: 420 4961 -7918 | GDP=9353.216
FLEX: 2597 2485 2285 2512 2355 | ACC: 3000 4860 15216 | GYRO: -765 6576 -6197 | GDP=9068.176
FLEX: 2640 2485 2278 2526 2306 | ACC: -100 5612 15988 | GYRO: -1970 7240 -3406 | GDP=8240.105
FLEX: 2599 2544 2310 2554 2310 | ACC: 344 5816 14168 | GYRO: -7543 335 -3207 | GDP=8203.287
FLEX: 2611 2528 2279 2529 2315 | ACC: 1072 4668 14180 | GYRO: -16226 -1013 -1033 | GDP=16290.376
FLEX: 2590 2496 2298 2559 2327 | ACC: 4292 -488 29732 | GYRO: 2799 -7218 3125 | GDP=8348.626
FLEX: 2559 2498 2282 2554 2313 | ACC: 2520 2840 13804 | GYRO: 278 8087 250 | GDP=8095.638
FLEX: 2597 2499 2287 2555 2326 | ACC: 3596 1504 16360 | GYRO: 10 -4628 739 | GDP=4686.641
FLEX: 2559 2506 2278 2535 2293 | ACC: 3848 2120 15716 | GYRO: 561 2124 -403 | GDP=2233.496
FLEX: 2602 2516 2266 2559 2303 | ACC: 3364 1828 16124 | GYRO: 575 -777 111 | GDP=972.972
FLEX: 2559 2499 2275 2519 2330 | ACC: 3120 2000 16156 | GYRO: 841 -181 -258 | GDP=898.112
FLEX: 2589 2541 2275 2545 2338 | ACC: 3968 2224 16264 | GYRO: 718 -738 282 | GDP=1067.564
FLEX: 2585 2528 2283 2535 2304 | ACC: 2956 2180 16524 | GYRO: 593 -171 153 | GDP=635.845
FLEX: 2559 2508 2299 2558 2306 | ACC: 3092 1980 16300 | GYRO: 1133 -1263 528 | GDP=1776.975
FLEX: 2592 2503 2276 2544 2287 | ACC: 3952 1856 15968 | GYRO: 2195 -191 207 | GDP=2212.997
FLEX: 2602 2525 2291 2544 2294 | ACC: 4284 2092 16260 | GYRO: 2721 2337 350 | GDP=3603.874
FLEX: 2559 2511 2283 2522 2273 | ACC: 1784 2720 16620 | GYRO: 3532 3840 1215 | GDP=5356.944
FLEX: 2559 2522 2276 2542 2267 | ACC: 1788 3032 17060 | GYRO: 4546 44 3961 | GDP=6029.724
FLEX: 2559 2498 2288 2519 2258 | ACC: 1984 3232 15940 | GYRO: 5167 5350 5710 | GDP=9376.806
