# label=U
# timestamp=1764321571.9008448
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2646 2435 2190 2789 2899 | ACC: -5360 15024 5488 | GYRO: -424 802 196 | GDP=928.114
FLEX: 2642 2416 2166 2809 2867 | ACC: -5756 14328 5476 | GYRO: -455 385 667 | GDP=894.505
FLEX: 2656 2391 2155 2803 2857 | ACC: -5568 13900 5324 | GYRO: -131 940 987 | GDP=1369.281
FLEX: 2656 2410 2192 2835 2899 | ACC: -4724 13852 5596 | GYRO: -529 324 152 | GDP=638.687
FLEX: 2649 2437 2183 2799 2890 | ACC: -5184 14412 6104 | GYRO: -866 305 -480 | GDP=1036.041
FLEX: 2635 2438 2192 2834 2896 | ACC: -5116 14840 6464 | GYRO: -799 -276 -444 | GDP=954.837
FLEX: 2652 2410 2162 2800 2919 | ACC: -5252 14928 6680 | GYRO: -960 -26 44 | GDP=961.359
FLEX: 2650 2406 2177 2791 2928 | ACC: -4904 14180 6588 | GYRO: -653 -556 324 | GDP=916.799
FLEX: 2646 2445 2179 2801 2918 | ACC: -4640 13972 6424 | GYRO: -31 267 780 | GDP=825.015
FLEX: 2653 2442 2178 2782 2881 | ACC: -4320 13980 6440 | GYRO: 472 -93 499 | GDP=693.133
FLEX: 2619 2439 2157 2794 2892 | ACC: -4424 14480 6324 | GYRO: 172 224 347 | GDP=447.402
FLEX: 2646 2422 2202 2750 2905 | ACC: -4508 14784 6620 | GYRO: 46 -258 295 | GDP=394.595
FLEX: 2611 2411 2190 2802 2898 | ACC: -5012 14544 7356 | GYRO: -263 -437 761 | GDP=916.111
FLEX: 2649 2432 2190 2774 2915 | ACC: -4680 14080 7336 | GYRO: 328 -250 901 | GDP=990.901
FLEX: 2651 2427 2182 2807 2864 | ACC: -4424 13408 6872 | GYRO: 1023 11 556 | GDP=1164.382
FLEX: 2650 2423 2194 2829 2903 | ACC: -3996 13440 6040 | GYRO: 1033 748 351 | GDP=1322.798
FLEX: 2641 2422 2167 2809 2864 | ACC: -4024 13976 5968 | GYRO: 834 577 -380 | GDP=1082.998
FLEX: 2643 2434 2195 2831 2902 | ACC: -4684 14792 6048 | GYRO: 357 580 -717 | GDP=988.907
FLEX: 2633 2437 2205 2791 2880 | ACC: -5436 15184 6808 | GYRO: -72 -162 -270 | GDP=322.998
FLEX: 2646 2414 2182 2801 2902 | ACC: -5088 15020 7340 | GYRO: -201 -777 627 | GDP=1018.459
FLEX: 2637 2428 2198 2799 2896 | ACC: -4548 14424 7252 | GYRO: 683 -425 805 | GDP=1138.042
FLEX: 2638 2409 2191 2846 2881 | ACC: -4296 13472 6436 | GYRO: 1246 5 642 | GDP=1401.679
FLEX: 2653 2423 2210 2798 2907 | ACC: -4028 13568 6036 | GYRO: 1019 141 520 | GDP=1152.667
FLEX: 2667 2431 2175 2805 2882 | ACC: -3536 14116 5872 | GYRO: 1031 100 -216 | GDP=1058.120
FLEX: 2631 2432 2181 2789 2864 | ACC: -4512 14776 6352 | GYRO: 591 89 -775 | GDP=978.686
FLEX: 2640 2426 2214 2823 2886 | ACC: -5164 15076 6824 | GYRO: 197 -281 -288 | GDP=448.011
FLEX: 2672 2419 2174 2790 2897 | ACC: -4680 14904 7480 | GYRO: -53 -545 482 | GDP=729.492
FLEX: 2631 2416 2175 2800 2874 | ACC: -4216 14292 6944 | GYRO: 1044 -581 375 | GDP=1252.247
FLEX: 2647 2414 2170 2796 2867 | ACC: -4280 13544 6052 | GYRO: 1605 298 442 | GDP=1691.211
FLEX: 2671 2425 2192 2822 2933 | ACC: -3844 13880 5596 | GYRO: 1138 329 270 | GDP=1214.984
FLEX: 2682 2416 2163 2826 2880 | ACC: -3600 14276 5940 | GYRO: 881 239 -447 | GDP=1016.411
FLEX: 2650 2416 2209 2812 2880 | ACC: -4352 14992 6308 | GYRO: 690 487 -762 | GDP=1137.503
FLEX: 2626 2407 2175 2795 2883 | ACC: -5148 15256 6988 | GYRO: -129 -657 -217 | GDP=703.832
FLEX: 2666 2411 2186 2815 2883 | ACC: -4528 14820 7492 | GYRO: 127 -460 502 | GDP=692.628
