# label=W
# timestamp=1764321945.8157284
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2547 2451 2275 2464 2735 | ACC: -3788 16520 -240 | GYRO: 9 1235 601 | GDP=1373.502
FLEX: 2559 2489 2297 2481 2770 | ACC: -4420 16156 -476 | GYRO: -420 1193 534 | GDP=1372.882
FLEX: 2559 2474 2267 2471 2736 | ACC: -4408 15004 376 | GYRO: -1164 196 125 | GDP=1186.987
FLEX: 2582 2463 2293 2482 2756 | ACC: -4388 15100 940 | GYRO: -474 20 -575 | GDP=745.454
FLEX: 2558 2480 2287 2453 2730 | ACC: -5388 15424 944 | GYRO: 594 -48 -475 | GDP=762.079
FLEX: 2559 2475 2269 2496 2758 | ACC: -4912 15952 372 | GYRO: 1825 -752 -439 | GDP=2022.090
FLEX: 2542 2478 2287 2480 2711 | ACC: -5024 16308 456 | GYRO: -133 42 339 | GDP=366.571
FLEX: 2559 2490 2276 2493 2735 | ACC: -5008 15988 1632 | GYRO: -1293 -1090 35 | GDP=1691.500
FLEX: 2552 2481 2269 2449 2758 | ACC: -4568 15340 1808 | GYRO: -327 452 -31 | GDP=558.743
FLEX: 2582 2483 2287 2466 2781 | ACC: -4560 15244 1284 | GYRO: -901 -92 -354 | GDP=972.410
FLEX: 2559 2463 2269 2463 2720 | ACC: -4044 15188 1624 | GYRO: -253 405 -443 | GDP=651.370
FLEX: 2559 2469 2287 2493 2790 | ACC: -4492 15772 1212 | GYRO: -150 -98 -785 | GDP=805.189
FLEX: 2559 2462 2257 2461 2736 | ACC: -5028 16024 1084 | GYRO: 151 335 -459 | GDP=587.969
FLEX: 2527 2478 2257 2462 2718 | ACC: -5376 16016 1696 | GYRO: -77 197 438 | GDP=486.397
FLEX: 2559 2451 2293 2463 2707 | ACC: -4944 15568 1480 | GYRO: -42 -62 741 | GDP=744.774
FLEX: 2559 2471 2288 2475 2720 | ACC: -4124 14904 1580 | GYRO: 543 -523 507 | GDP=908.530
FLEX: 2559 2467 2287 2459 2739 | ACC: -3860 14908 1556 | GYRO: 331 -385 91 | GDP=515.817
FLEX: 2559 2480 2288 2482 2833 | ACC: -3940 15192 1508 | GYRO: 572 432 -433 | GDP=837.435
FLEX: 2542 2462 2253 2464 2715 | ACC: -4796 15864 1720 | GYRO: 599 524 -557 | GDP=971.404
FLEX: 2544 2475 2287 2465 2746 | ACC: -4516 16148 1844 | GYRO: 289 750 -211 | GDP=830.989
FLEX: 2539 2480 2270 2491 2736 | ACC: -4200 16548 1356 | GYRO: -464 850 -10 | GDP=968.450
FLEX: 2603 2469 2307 2471 2784 | ACC: -4196 16064 1240 | GYRO: -924 840 -97 | GDP=1252.511
FLEX: 2529 2495 2295 2448 2715 | ACC: -4696 15408 1836 | GYRO: -965 1210 435 | GDP=1607.654
FLEX: 2541 2476 2286 2492 2752 | ACC: -4216 15576 3056 | GYRO: -347 -458 265 | GDP=632.770
FLEX: 2541 2469 2258 2451 2719 | ACC: -4028 17452 3076 | GYRO: -563 275 689 | GDP=931.297
FLEX: 2555 2483 2288 2477 2753 | ACC: -4380 19056 5040 | GYRO: -2691 -3282 1185 | GDP=4406.499
FLEX: 2549 2464 2254 2459 2737 | ACC: -4184 18876 4684 | GYRO: -2222 -1574 2182 | GDP=3489.396
FLEX: 2558 2477 2255 2464 2774 | ACC: -4268 18044 3584 | GYRO: -2390 420 3218 | GDP=4030.388
