# sentence_label=Are you hearing?
# timestamp=1764406804.2457573
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2607 2599 2640 2738 2659 | ACC: 5352 13736 -1840 | GYRO: 11252 8306 11080 | GDP=17842.744
FLEX: 2626 2592 2628 2736 2637 | ACC: 6460 13544 -3572 | GYRO: 10550 7689 6903 | GDP=14767.350
FLEX: 2631 2559 2644 2751 2672 | ACC: 8516 14336 -5920 | GYRO: 8683 1717 2512 | GDP=9200.691
FLEX: 2608 2559 2640 2718 2651 | ACC: 8560 13412 -5420 | GYRO: 5087 4156 -1271 | GDP=6690.691
FLEX: 2621 2518 2641 2736 2681 | ACC: 8224 14356 -5776 | GYRO: 2597 631 -7126 | GDP=7610.680
FLEX: 2623 2523 2626 2715 2683 | ACC: 7544 16036 -7972 | GYRO: -9000 -2337 -13419 | GDP=16325.781
FLEX: 2699 2475 2634 2714 2622 | ACC: 4032 13300 -1780 | GYRO: -17822 -864 -18425 | GDP=25648.604
FLEX: 2693 2478 2615 2704 2687 | ACC: 2988 13172 -628 | GYRO: -16231 -4394 -23984 | GDP=29291.379
FLEX: 2737 2467 2640 2722 2666 | ACC: -2084 10792 4660 | GYRO: -22050 -4715 -28480 | GDP=36325.527
FLEX: 2757 2449 2609 2690 2640 | ACC: -3288 9040 6672 | GYRO: -19795 -4635 -32768 | GDP=38562.508
FLEX: 2768 2458 2634 2709 2635 | ACC: -10416 -1620 11532 | GYRO: -29373 -4840 -32768 | GDP=44271.215
FLEX: 2766 2459 2559 2684 2624 | ACC: -32768 -4644 19056 | GYRO: -14761 5181 -18324 | GDP=24093.545
FLEX: 2755 2470 2587 2717 2624 | ACC: -18220 -2036 12764 | GYRO: 3544 -13843 5064 | GDP=15160.233
FLEX: 2738 2454 2595 2687 2608 | ACC: -12412 4872 11680 | GYRO: 3074 2335 8163 | GDP=9029.744
FLEX: 2740 2455 2618 2711 2642 | ACC: -13872 6256 11728 | GYRO: 5309 2053 14559 | GDP=15632.171
FLEX: 2689 2447 2559 2693 2593 | ACC: -10088 7676 9280 | GYRO: 4053 2806 17199 | GDP=17891.508
FLEX: 2704 2454 2598 2699 2628 | ACC: -7648 5644 6340 | GYRO: 1276 3311 13542 | GDP=13999.166
FLEX: 2679 2446 2630 2733 2595 | ACC: -8504 8740 1852 | GYRO: -13369 2564 9024 | GDP=16332.080
FLEX: 2671 2486 2608 2701 2677 | ACC: -12480 4552 5788 | GYRO: -29373 1981 5438 | GDP=29937.758
FLEX: 2647 2501 2559 2711 2642 | ACC: -16400 3912 8824 | GYRO: -32768 -4227 16202 | GDP=36798.289
FLEX: 2647 2538 2631 2873 2608 | ACC: -18260 2716 17088 | GYRO: -30492 -5 25554 | GDP=39784.031
FLEX: 2559 2672 2639 2694 2617 | ACC: -4764 388 25680 | GYRO: -11083 5550 32767 | GDP=35033.008
FLEX: 2621 2486 2637 2743 2590 | ACC: 4160 -1692 32767 | GYRO: 9543 11205 27916 | GDP=31558.264
FLEX: 2590 2512 2559 2893 2618 | ACC: 14180 720 26716 | GYRO: 29463 9975 6436 | GDP=31764.621
FLEX: 2559 2513 2542 2690 2643 | ACC: 11276 2352 7776 | GYRO: 32767 6432 -12170 | GDP=35540.902
FLEX: 2559 2499 2602 2690 2673 | ACC: -420 6168 -7128 | GYRO: 19727 13018 -26122 | GDP=35227.570
FLEX: 2559 2490 2606 2681 2644 | ACC: -16832 -48 -8612 | GYRO: -7705 -11760 -30795 | GDP=33852.574
FLEX: 2591 2480 2659 2701 2685 | ACC: -25184 5524 -7852 | GYRO: -26986 -10349 -16393 | GDP=33227.645
FLEX: 2613 2494 2637 2659 2699 | ACC: -31680 704 18392 | GYRO: -27120 -21141 1321 | GDP=34411.938
FLEX: 2592 2430 2602 2719 2701 | ACC: -20932 2672 22244 | GYRO: -6226 1432 15378 | GDP=16652.225
