# sentence_label=Are you hearing?
# timestamp=1764406928.4074078
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2688 2653 2559 2768 2655 | ACC: 716 9320 15676 | GYRO: -2322 1388 418 | GDP=2737.326
FLEX: 2636 2672 2559 2772 2647 | ACC: -3400 5900 20688 | GYRO: -4440 19904 -1112 | GDP=20423.500
FLEX: 2673 2614 2638 2768 2626 | ACC: -21640 7500 30596 | GYRO: 11699 23916 8995 | GDP=28102.521
FLEX: 2655 2629 2597 2756 2646 | ACC: -12248 8004 18468 | GYRO: 22964 8361 22891 | GDP=33485.063
FLEX: 2655 2631 2662 2786 2629 | ACC: -5704 11328 11496 | GYRO: 25945 13439 25274 | GDP=38633.207
FLEX: 2613 2638 2653 2773 2628 | ACC: 156 7896 5332 | GYRO: 27015 6919 27562 | GDP=39209.012
FLEX: 2624 2637 2656 2783 2656 | ACC: 7488 10964 -1800 | GYRO: 21424 8860 20741 | GDP=31107.498
FLEX: 2619 2608 2736 2794 2608 | ACC: 7648 9716 -820 | GYRO: 18565 12799 15264 | GDP=27229.824
FLEX: 2622 2615 2719 2800 2707 | ACC: 8824 11712 -2780 | GYRO: 15503 4272 11250 | GDP=19625.379
FLEX: 2547 2629 2759 2663 2658 | ACC: 11248 12692 -6280 | GYRO: 8995 5372 4677 | GDP=11473.566
FLEX: 2702 2632 2640 2755 2639 | ACC: 10760 13788 -7168 | GYRO: -1055 4721 -4989 | GDP=6949.171
FLEX: 2613 2559 2655 2807 2608 | ACC: 7564 12904 -4692 | GYRO: -5705 4186 -10031 | GDP=12275.609
FLEX: 2732 2504 2691 2798 2609 | ACC: 8276 14356 -5816 | GYRO: -12858 -72 -15683 | GDP=20280.281
FLEX: 2649 2450 2559 2801 2666 | ACC: 5924 8736 1012 | GYRO: -16831 3778 -24804 | GDP=30212.484
FLEX: 2756 2464 2609 2749 2640 | ACC: 1288 9852 3648 | GYRO: -14381 -2252 -30426 | GDP=33728.715
