# sentence_label=Do you understand?
# timestamp=1764407403.626358
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2649 2631 2595 2672 2475 | ACC: -568 2340 24588 | GYRO: 12870 21312 3976 | GDP=25212.037
FLEX: 2624 2703 2638 2777 2554 | ACC: -6112 8944 22028 | GYRO: 13333 23279 5939 | GDP=27476.398
FLEX: 2673 2690 2774 2781 2672 | ACC: -9192 12068 20648 | GYRO: 19603 25850 10441 | GDP=34081.000
FLEX: 2647 2701 2769 2773 2737 | ACC: -8772 12376 15492 | GYRO: 25966 16597 19815 | GDP=36637.793
FLEX: 2622 2688 2757 2819 2742 | ACC: -2676 11204 8908 | GYRO: 28360 11625 27706 | GDP=41316.492
FLEX: 2582 2695 2737 2825 2723 | ACC: 2008 12348 2980 | GYRO: 24906 10666 24188 | GDP=36319.855
FLEX: 2613 2689 2643 2799 2737 | ACC: 6204 11480 -664 | GYRO: 18505 15220 21965 | GDP=32504.533
FLEX: 2674 2667 2754 2868 2742 | ACC: 7312 11004 -2476 | GYRO: 15509 12217 19953 | GDP=28069.670
FLEX: 2708 2705 2749 2777 2731 | ACC: 11196 9856 -4248 | GYRO: 11366 10268 13962 | GDP=20725.715
FLEX: 2741 2672 2769 2800 2731 | ACC: 11992 10520 -4352 | GYRO: 11384 8237 7892 | GDP=16116.057
FLEX: 2757 2670 2726 2770 2733 | ACC: 13784 10820 -5888 | GYRO: 7406 7651 2323 | GDP=10898.760
FLEX: 2753 2681 2736 2789 2702 | ACC: 15784 10044 -5756 | GYRO: 7516 352 -5031 | GDP=9051.250
FLEX: 2747 2636 2724 2787 2687 | ACC: 14964 11516 -8008 | GYRO: 927 -402 -13701 | GDP=13738.207
FLEX: 2750 2619 2697 2749 2699 | ACC: 11224 11228 -7392 | GYRO: -11321 1755 -21423 | GDP=24293.826
FLEX: 2741 2538 2667 2747 2651 | ACC: 7368 10224 -3856 | GYRO: -16869 -6806 -29626 | GDP=34764.703
FLEX: 2755 2513 2710 2786 2640 | ACC: 7968 4440 1016 | GYRO: -27655 -10644 -32768 | GDP=44179.586
FLEX: 2795 2495 2719 2743 2655 | ACC: 5588 764 4260 | GYRO: -32768 -29007 -32768 | GDP=54670.738
FLEX: 2775 2519 2703 2754 2669 | ACC: -28776 -20660 17532 | GYRO: -32768 18179 -32768 | GDP=49779.109
FLEX: 2743 2495 2647 2778 2685 | ACC: -32156 -14460 22692 | GYRO: 9046 -28231 -8407 | GDP=30813.912
FLEX: 2755 2475 2691 2762 2688 | ACC: -13652 2544 8788 | GYRO: 5688 7374 4431 | GDP=10313.243
FLEX: 2750 2482 2704 2751 2651 | ACC: -15308 2236 10928 | GYRO: 3746 12387 6942 | GDP=14685.423
FLEX: 2749 2501 2683 2783 2641 | ACC: -12756 5260 7976 | GYRO: 8140 14480 12135 | GDP=20571.539
FLEX: 2751 2492 2672 2736 2619 | ACC: -9344 4224 6276 | GYRO: 5405 16040 11430 | GDP=20424.018
FLEX: 2747 2507 2607 2765 2634 | ACC: -8204 3300 5108 | GYRO: 10670 23221 10498 | GDP=27627.373
FLEX: 2702 2506 2624 2748 2613 | ACC: -1732 4092 -3096 | GYRO: 11446 32767 -1897 | GDP=34760.406
FLEX: 2706 2588 2651 2736 2624 | ACC: -5692 1468 -5864 | GYRO: 10083 32767 -19824 | GDP=39602.199
FLEX: 2704 2659 2672 2769 2608 | ACC: -11756 3964 -9428 | GYRO: 16472 32767 -27277 | GDP=45705.992
FLEX: 2723 2658 2710 2764 2589 | ACC: -12768 456 -13976 | GYRO: 16776 24366 -25797 | GDP=39250.750
FLEX: 2682 2672 2675 2731 2595 | ACC: -18128 1336 -15728 | GYRO: 16479 9656 -15608 | GDP=24665.877
FLEX: 2692 2690 2704 2763 2601 | ACC: -13612 -4164 -21048 | GYRO: 15971 2178 -8463 | GDP=18205.463
FLEX: 2687 2649 2701 2753 2608 | ACC: -11008 -4696 -17328 | GYRO: 2837 -3978 87 | GDP=4886.780
FLEX: 2731 2675 2611 2791 2632 | ACC: -18272 -4828 -23784 | GYRO: -4906 20778 -7120 | GDP=22505.299
FLEX: 2707 2687 2718 2788 2656 | ACC: -15052 -3568 -25908 | GYRO: -16544 4039 8826 | GDP=19181.131
FLEX: 2767 2661 2800 2836 2705 | ACC: -13716 -4608 -25848 | GYRO: -31795 11986 11209 | GDP=35780.273
FLEX: 2755 2597 2791 2849 2672 | ACC: -12988 1128 -31988 | GYRO: -32768 16816 22730 | GDP=43280.164
FLEX: 2736 2545 2735 2858 2665 | ACC: -11084 -6196 -14436 | GYRO: -32768 7358 18310 | GDP=38250.988
FLEX: 2681 2524 2686 2822 2672 | ACC: 176 -4768 196 | GYRO: -32768 -12131 11783 | GDP=36874.680
FLEX: 2713 2541 2683 2881 2678 | ACC: 3192 2212 12696 | GYRO: -16423 -6211 1715 | GDP=17641.787
FLEX: 2677 2535 2693 2790 2640 | ACC: 956 5096 8828 | GYRO: -1886 -2701 -2624 | GDP=4211.624
FLEX: 2704 2407 2652 2811 2681 | ACC: -1556 6344 5900 | GYRO: 7632 -9360 -7503 | GDP=14218.018
FLEX: 2676 2529 2593 2791 2644 | ACC: -1700 7472 2532 | GYRO: 14637 -15705 -13389 | GDP=25301.268
FLEX: 2663 2515 2630 2791 2651 | ACC: -8024 9312 -24 | GYRO: 20591 -20218 -17228 | GDP=33608.941
FLEX: 2699 2545 2671 2767 2614 | ACC: -12200 9520 -5008 | GYRO: 23651 -31407 -19807 | GDP=44023.707
FLEX: 2679 2638 2643 2768 2615 | ACC: -22088 11852 -8960 | GYRO: 16996 -32768 -13136 | GDP=39181.121
FLEX: 2647 2682 2639 2739 2624 | ACC: -27748 14932 -7620 | GYRO: 8693 -13740 14682 | GDP=21907.008
FLEX: 2630 2736 2651 2768 2632 | ACC: -23788 12492 -4160 | GYRO: 7103 -28702 32767 | GDP=44135.402
FLEX: 2626 2704 2617 2777 2605 | ACC: -9516 13816 -4184 | GYRO: 6184 -17766 32767 | GDP=37782.918
FLEX: 2641 2713 2619 2768 2608 | ACC: -784 10184 -3836 | GYRO: 9698 -19864 32767 | GDP=39526.016
FLEX: 2624 2697 2625 2747 2640 | ACC: 11292 9464 -6272 | GYRO: 12470 -16642 32767 | GDP=38808.934
FLEX: 2661 2718 2720 2770 2666 | ACC: 15964 7192 -9080 | GYRO: 11511 -13024 26698 | GDP=31857.666
FLEX: 2671 2733 2671 2770 2680 | ACC: 25072 6196 -14836 | GYRO: 6690 -11425 7129 | GDP=15036.934
FLEX: 2663 2734 2725 2782 2689 | ACC: 17156 8732 -11572 | GYRO: 444 1051 -13666 | GDP=13713.544
FLEX: 2734 2727 2723 2781 2693 | ACC: 11820 7816 -9696 | GYRO: -5476 -593 -21920 | GDP=22601.430
FLEX: 2737 2623 2750 2746 2706 | ACC: 8252 14036 -10336 | GYRO: -16373 -382 -30306 | GDP=34448.145
FLEX: 2707 2512 2673 2792 2688 | ACC: 4232 10060 -4404 | GYRO: -32768 -4152 -32768 | GDP=46526.582
FLEX: 2771 2528 2699 2758 2658 | ACC: -2500 -932 3556 | GYRO: -32768 17354 -32768 | GDP=49483.785
FLEX: 2818 2503 2703 2787 2686 | ACC: -27472 -8752 11524 | GYRO: -32768 19108 -32768 | GDP=50125.836
