# sentence_label=Do you want help?
# timestamp=1764407316.8636274
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2633 2685 2614 2779 2595 | ACC: -9484 9972 21032 | GYRO: 6485 19592 2698 | GDP=20812.998
FLEX: 2640 2677 2647 2758 2599 | ACC: -12048 9704 22156 | GYRO: 19187 12432 10728 | GDP=25254.418
FLEX: 2624 2709 2642 2779 2646 | ACC: -7884 12144 14548 | GYRO: 22188 10290 15795 | GDP=29114.832
FLEX: 2608 2694 2645 2782 2667 | ACC: -5644 10752 11136 | GYRO: 25533 12480 21652 | GDP=35728.051
FLEX: 2611 2699 2656 2833 2677 | ACC: -876 11792 3996 | GYRO: 24056 7976 22800 | GDP=34090.289
FLEX: 2616 2689 2687 2785 2661 | ACC: 4104 11236 144 | GYRO: 21197 10488 21929 | GDP=32252.008
FLEX: 2619 2697 2702 2800 2704 | ACC: 6500 11792 -2108 | GYRO: 19203 7779 18520 | GDP=27789.539
FLEX: 2647 2698 2675 2812 2677 | ACC: 11112 10928 -5104 | GYRO: 16364 8298 12891 | GDP=22423.541
FLEX: 2661 2718 2709 2800 2686 | ACC: 13008 10988 -7436 | GYRO: 12269 13742 5474 | GDP=19218.105
FLEX: 2682 2703 2742 2785 2662 | ACC: 12656 11692 -8520 | GYRO: 5189 7846 -2557 | GDP=9748.010
FLEX: 2717 2669 2703 2808 2645 | ACC: 13528 11112 -8952 | GYRO: -1936 10424 -8017 | GDP=13292.109
FLEX: 2736 2608 2736 2774 2639 | ACC: 10056 10584 -5532 | GYRO: -9867 7948 -16186 | GDP=20555.170
FLEX: 2768 2544 2769 2795 2649 | ACC: 7784 10396 -2840 | GYRO: -8904 -1998 -21356 | GDP=23223.951
FLEX: 2774 2512 2738 2768 2666 | ACC: 9308 10968 -3776 | GYRO: -27990 -5957 -30813 | GDP=42051.957
FLEX: 2785 2524 2768 2784 2635 | ACC: 7052 1480 6464 | GYRO: -26046 -9487 -32768 | GDP=42920.148
FLEX: 2795 2473 2768 2761 2623 | ACC: -1948 -4588 7776 | GYRO: -32768 441 -32768 | GDP=46343.051
FLEX: 2800 2510 2752 2765 2642 | ACC: -32768 -17264 23308 | GYRO: -18237 19809 -32768 | GDP=42411.395
FLEX: 2775 2507 2750 2748 2597 | ACC: -29088 -6064 14020 | GYRO: 8439 -15763 4144 | GDP=18353.791
FLEX: 2774 2493 2735 2791 2624 | ACC: -13552 3140 5736 | GYRO: 3181 2072 6727 | GDP=7724.278
FLEX: 2781 2461 2701 2731 2617 | ACC: -14752 3404 8520 | GYRO: -1424 3955 6040 | GDP=7358.764
FLEX: 2752 2495 2715 2777 2602 | ACC: -13792 3024 8264 | GYRO: -1660 1232 8100 | GDP=8359.631
FLEX: 2734 2478 2719 2757 2604 | ACC: -13328 2956 9164 | GYRO: -2122 1257 8203 | GDP=8565.754
FLEX: 2735 2479 2704 2789 2641 | ACC: -12932 4864 7588 | GYRO: 55 -450 10667 | GDP=10676.630
FLEX: 2704 2499 2678 2747 2633 | ACC: -12484 6776 5696 | GYRO: -6382 -10 12429 | GDP=13971.760
FLEX: 2695 2494 2676 2791 2623 | ACC: -11084 4288 7824 | GYRO: -7671 -1718 10363 | GDP=13007.211
FLEX: 2673 2478 2663 2757 2544 | ACC: -15484 8808 10124 | GYRO: -2087 -69 12455 | GDP=12628.830
FLEX: 2675 2519 2688 2777 2611 | ACC: -12176 9964 10952 | GYRO: -1831 -5355 17967 | GDP=18837.242
FLEX: 2651 2517 2671 2783 2599 | ACC: -6308 12528 13564 | GYRO: 6145 -8612 14023 | GDP=17566.221
FLEX: 2650 2519 2654 2754 2606 | ACC: 1292 12844 10264 | GYRO: 8231 8056 12542 | GDP=17027.926
