# sentence_label=How are you?
# timestamp=1764326784.9625022
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2675 2687 2559 2779 2559 | ACC: 1128 8176 14396 | GYRO: 682 -17 -41 | GDP=683.443
FLEX: 2675 2701 2559 2753 2559 | ACC: 1108 8068 14424 | GYRO: 629 -18 -40 | GDP=630.528
FLEX: 2672 2704 2601 2747 2619 | ACC: 1096 8184 14372 | GYRO: 640 22 -77 | GDP=644.991
FLEX: 2621 2704 2614 2794 2611 | ACC: 1112 8180 14272 | GYRO: 665 -35 -7 | GDP=665.957
FLEX: 2727 2747 2559 2781 2593 | ACC: 1408 8224 14244 | GYRO: 520 342 -91 | GDP=629.003
FLEX: 2671 2695 2512 2799 2559 | ACC: 1540 8968 14072 | GYRO: -290 1586 -532 | GDP=1697.799
FLEX: 2671 2702 2611 2747 2603 | ACC: 3376 9152 14064 | GYRO: -933 4040 37 | GDP=4146.499
FLEX: 2720 2702 2543 2803 2608 | ACC: 1720 8680 16124 | GYRO: -710 12676 -3813 | GDP=13256.095
FLEX: 2635 2723 2555 2787 2673 | ACC: -3036 8352 17632 | GYRO: 4790 12287 -2704 | GDP=13462.023
FLEX: 2657 2719 2647 2761 2608 | ACC: -4996 9908 17696 | GYRO: 8177 8263 -1636 | GDP=11739.548
FLEX: 2634 2700 2640 2800 2693 | ACC: -7412 9100 17760 | GYRO: 11130 10473 1231 | GDP=15332.188
FLEX: 2544 2688 2629 2733 2638 | ACC: -10332 9932 16324 | GYRO: 16374 4136 5666 | GDP=17813.420
FLEX: 2525 2695 2609 2832 2586 | ACC: -9984 8296 14452 | GYRO: 20844 2827 12096 | GDP=24264.736
FLEX: 2428 2702 2583 2832 2708 | ACC: -9676 11660 9288 | GYRO: 15741 2363 18681 | GDP=24542.668
FLEX: 2448 2716 2653 2811 2726 | ACC: -4500 8424 7464 | GYRO: 13046 175 22715 | GDP=26195.418
FLEX: 2419 2677 2551 2848 2715 | ACC: -596 10092 4356 | GYRO: 10346 1037 23168 | GDP=25394.316
FLEX: 2413 2704 2528 2832 2672 | ACC: 2884 8892 4952 | GYRO: 8596 4978 23077 | GDP=25124.086
FLEX: 2349 2709 2543 2769 2720 | ACC: 6492 9408 3544 | GYRO: 5906 5509 22472 | GDP=23879.293
FLEX: 2416 2686 2530 2822 2747 | ACC: 7388 8744 4888 | GYRO: 5408 6197 20903 | GDP=22462.963
FLEX: 2352 2673 2430 2850 2747 | ACC: 10152 9376 3880 | GYRO: 3523 7517 19502 | GDP=21195.396
FLEX: 2358 2640 2514 2877 2735 | ACC: 14420 8056 4064 | GYRO: 2547 5144 17100 | GDP=18037.682
FLEX: 2351 2691 2486 2899 2640 | ACC: 15920 9668 3760 | GYRO: 238 10606 11704 | GDP=15796.439
FLEX: 2435 2679 2426 2863 2680 | ACC: 32767 7916 -2540 | GYRO: -6942 1911 -2885 | GDP=7756.708
FLEX: 2345 2645 2519 2844 2736 | ACC: 896 12856 13680 | GYRO: -1310 5495 -1779 | GDP=5922.497
FLEX: 2290 2651 2482 2915 2722 | ACC: 11760 10232 9784 | GYRO: 717 686 -1031 | GDP=1430.960
