# sentence_label=How can I help you?
# timestamp=1764327427.0091314
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2559 2597 2401 2694 2558 | ACC: -11192 5380 10336 | GYRO: 2961 7569 -4490 | GDP=9285.331
FLEX: 2592 2645 2423 2691 2541 | ACC: -11780 4236 9756 | GYRO: 2002 9287 -3856 | GDP=10253.054
FLEX: 2595 2643 2418 2688 2518 | ACC: -13128 5616 8168 | GYRO: 2157 8211 -4813 | GDP=9759.003
FLEX: 2624 2699 2438 2687 2559 | ACC: -14856 6016 8364 | GYRO: 2204 9301 -3573 | GDP=10204.535
FLEX: 2611 2763 2455 2704 2598 | ACC: -15056 3768 9644 | GYRO: 3144 2744 -2811 | GDP=5031.500
FLEX: 2620 2763 2481 2711 2634 | ACC: -15752 4568 7084 | GYRO: 3282 3811 8 | GDP=5029.444
FLEX: 2605 2746 2473 2752 2677 | ACC: -18456 4372 8804 | GYRO: 3018 5877 108 | GDP=6607.504
FLEX: 2587 2760 2459 2752 2701 | ACC: -18232 4828 6992 | GYRO: 8452 7167 2173 | GDP=11292.658
FLEX: 2539 2742 2438 2751 2693 | ACC: -18564 5184 3872 | GYRO: 4356 8419 3649 | GDP=10157.238
FLEX: 2511 2751 2383 2779 2716 | ACC: -20720 5912 832 | GYRO: -1475 12250 11112 | GDP=16604.658
FLEX: 2461 2729 2443 2759 2693 | ACC: -19872 4552 -176 | GYRO: -5855 2030 15475 | GDP=16669.658
FLEX: 2472 2727 2416 2801 2718 | ACC: -15252 5744 -2112 | GYRO: -7556 -167 17206 | GDP=18792.750
FLEX: 2432 2733 2391 2747 2679 | ACC: -12980 6976 -2056 | GYRO: -11428 -326 16481 | GDP=20058.137
FLEX: 2412 2736 2370 2773 2694 | ACC: -9664 6684 -40 | GYRO: -14812 -604 15208 | GDP=21237.783
FLEX: 2398 2753 2359 2769 2674 | ACC: -6452 7732 872 | GYRO: -17083 2054 13169 | GDP=21667.266
FLEX: 2381 2735 2339 2752 2679 | ACC: -6636 7212 5436 | GYRO: -18088 2426 9976 | GDP=20798.602
FLEX: 2384 2715 2342 2731 2665 | ACC: -5164 7508 6992 | GYRO: -15482 2475 7530 | GDP=17393.068
FLEX: 2400 2737 2345 2754 2666 | ACC: -6600 5912 11056 | GYRO: -16014 3144 5146 | GDP=17111.816
FLEX: 2379 2726 2362 2754 2635 | ACC: -5620 6512 10048 | GYRO: -13023 4031 3056 | GDP=13970.921
FLEX: 2383 2736 2354 2763 2646 | ACC: -6652 5048 12540 | GYRO: -11724 2458 661 | GDP=11997.119
FLEX: 2377 2702 2334 2768 2637 | ACC: -7376 5832 11432 | GYRO: -9494 1439 166 | GDP=9603.870
FLEX: 2367 2727 2346 2759 2639 | ACC: -9216 5048 12848 | GYRO: -7201 1042 -950 | GDP=7337.756
FLEX: 2399 2720 2339 2735 2643 | ACC: -7816 4404 12232 | GYRO: -7521 740 -1159 | GDP=7645.673
FLEX: 2397 2743 2353 2745 2662 | ACC: -7852 4724 12720 | GYRO: -5777 -2747 -1045 | GDP=6481.648
FLEX: 2396 2730 2325 2735 2673 | ACC: -26056 4120 22808 | GYRO: -1434 2026 3436 | GDP=4238.765
FLEX: 2402 2736 2355 2758 2661 | ACC: -5132 4852 15132 | GYRO: 1057 -4165 1086 | GDP=4432.140
FLEX: 2394 2726 2352 2735 2638 | ACC: -9976 6048 16096 | GYRO: 3396 5118 -232 | GDP=6146.590
FLEX: 2399 2736 2324 2731 2559 | ACC: -11888 7756 13152 | GYRO: 2036 259 914 | GDP=2246.725
FLEX: 2401 2704 2320 2749 2622 | ACC: -10772 6928 14888 | GYRO: -296 -2106 1483 | GDP=2592.709
FLEX: 2383 2731 2337 2719 2647 | ACC: -9896 6952 14980 | GYRO: -303 -2925 3193 | GDP=4340.816
FLEX: 2411 2719 2322 2729 2641 | ACC: -7692 6540 15396 | GYRO: 1198 -3758 3605 | GDP=5343.575
FLEX: 2415 2711 2337 2675 2657 | ACC: -5684 6540 15612 | GYRO: 1551 -3455 2522 | GDP=4550.067
FLEX: 2396 2704 2315 2736 2641 | ACC: -4856 6488 15752 | GYRO: 2758 -222 998 | GDP=2941.403
FLEX: 2338 2720 2350 2737 2608 | ACC: -4864 5540 15268 | GYRO: 4521 593 -705 | GDP=4613.905
FLEX: 2395 2713 2320 2720 2646 | ACC: -4504 4380 14436 | GYRO: 6532 3507 -1901 | GDP=7653.749
FLEX: 2402 2706 2307 2749 2656 | ACC: -6292 6460 11192 | GYRO: 7132 5737 -3662 | GDP=9858.439
FLEX: 2384 2691 2310 2725 2639 | ACC: -6312 4444 11596 | GYRO: 6293 5775 -4920 | GDP=9856.920
FLEX: 2402 2713 2321 2735 2589 | ACC: -8324 7124 8532 | GYRO: 6302 5516 -5472 | GDP=10004.211
FLEX: 2397 2715 2320 2711 2653 | ACC: -7436 5168 9284 | GYRO: 5999 6589 -6374 | GDP=10955.856
FLEX: 2416 2714 2327 2719 2646 | ACC: -11048 6680 7952 | GYRO: 6781 5476 -6278 | GDP=10741.593
FLEX: 2402 2711 2315 2738 2657 | ACC: -7988 5636 6312 | GYRO: 7983 5433 -8212 | GDP=12676.068
FLEX: 2416 2720 2323 2722 2672 | ACC: -13920 5224 4600 | GYRO: 7310 9871 -7497 | GDP=14390.196
FLEX: 2395 2705 2327 2722 2638 | ACC: -15660 4820 1580 | GYRO: 6894 9259 -7913 | GDP=13995.424
FLEX: 2416 2705 2313 2816 2699 | ACC: -20280 5584 1684 | GYRO: 4226 5100 -4529 | GDP=8023.772
FLEX: 2404 2693 2320 2730 2626 | ACC: -20208 6020 2212 | GYRO: 2370 3876 -1139 | GDP=4683.759
FLEX: 2407 2724 2333 2749 2635 | ACC: -18400 6388 3884 | GYRO: 79 -528 1354 | GDP=1455.452
FLEX: 2397 2730 2330 2734 2640 | ACC: -15120 6420 5020 | GYRO: 1049 -1693 1669 | GDP=2598.502
FLEX: 2400 2704 2334 2725 2646 | ACC: -14536 6604 4588 | GYRO: 478 -952 1032 | GDP=1483.176
FLEX: 2398 2719 2307 2715 2638 | ACC: -13988 6292 5064 | GYRO: 367 -1149 1011 | GDP=1573.852
FLEX: 2399 2736 2350 2743 2661 | ACC: -13004 6404 4764 | GYRO: 406 -1618 75 | GDP=1669.846
FLEX: 2387 2721 2303 2735 2645 | ACC: -12436 6112 5400 | GYRO: 634 -2 -216 | GDP=669.788
FLEX: 2416 2721 2345 2723 2643 | ACC: -13088 6344 4900 | GYRO: 332 -568 -406 | GDP=773.100
FLEX: 2403 2688 2340 2733 2672 | ACC: -13852 6184 5880 | GYRO: 1149 -151 -1105 | GDP=1601.258
FLEX: 2417 2714 2336 2739 2654 | ACC: -14600 6496 5148 | GYRO: -111 -311 -666 | GDP=743.369
FLEX: 2412 2696 2349 2746 2585 | ACC: -15504 5740 6904 | GYRO: 89 -1323 -1489 | GDP=1993.833
FLEX: 2410 2719 2357 2736 2649 | ACC: -17712 4992 8192 | GYRO: -859 -3383 993 | GDP=3628.859
FLEX: 2410 2715 2339 2715 2674 | ACC: -14508 5360 8456 | GYRO: -1010 -14197 405 | GDP=14238.643
FLEX: 2418 2722 2332 2752 2665 | ACC: -15036 6112 9652 | GYRO: -220 -24891 -1088 | GDP=24915.738
FLEX: 2417 2721 2382 2692 2636 | ACC: -9520 6612 7088 | GYRO: -674 -22088 1048 | GDP=22123.117
FLEX: 2425 2738 2358 2754 2701 | ACC: -18668 3608 16168 | GYRO: -6023 -30493 720 | GDP=31090.480
FLEX: 2408 2702 2368 2719 2702 | ACC: -4800 5508 9892 | GYRO: 816 -29188 4608 | GDP=29560.766
FLEX: 2416 2721 2398 2755 2723 | ACC: -3864 6524 15152 | GYRO: 746 -20174 6418 | GDP=21183.426
FLEX: 2415 2699 2339 2717 2678 | ACC: 1452 6268 13716 | GYRO: 49 -16922 6293 | GDP=18054.316
FLEX: 2423 2726 2383 2736 2674 | ACC: -1020 5756 17424 | GYRO: 4721 3931 6273 | GDP=8780.155
FLEX: 2410 2717 2328 2784 2653 | ACC: 2540 6948 12636 | GYRO: -1130 -11897 5043 | GDP=12971.020
FLEX: 2454 2654 2384 2737 2705 | ACC: 1308 6560 16372 | GYRO: 152 -407 2911 | GDP=2943.242
FLEX: 2402 2675 2429 2802 2636 | ACC: 8716 4396 14056 | GYRO: 1633 -339 718 | GDP=1815.801
FLEX: 2416 2672 2323 2691 2659 | ACC: 4592 4948 14048 | GYRO: 8121 30745 -4638 | GDP=32135.910
FLEX: 2387 2721 2387 2800 2747 | ACC: -1124 5672 8652 | GYRO: 5005 32767 -7191 | GDP=33918.090
FLEX: 2387 2715 2399 2727 2741 | ACC: -12048 5432 8160 | GYRO: -7153 32767 -10118 | GDP=35031.637
FLEX: 2251 2587 2421 2743 2676 | ACC: -18076 4408 12432 | GYRO: 4690 26259 -4259 | GDP=27012.410
FLEX: 2399 2753 2432 2775 2667 | ACC: -22576 5844 9556 | GYRO: 3042 -1786 -64 | GDP=3528.124
FLEX: 2357 2774 2402 2738 2640 | ACC: -23516 7824 4448 | GYRO: 2283 -32768 1265 | GDP=32871.781
FLEX: 2384 2623 2374 2731 2619 | ACC: -12972 5964 6600 | GYRO: 4554 -32768 11351 | GDP=34976.078
FLEX: 2384 2673 2382 2812 2725 | ACC: 5304 5732 6372 | GYRO: 1211 -32768 15706 | GDP=36357.762
FLEX: 2353 2675 2416 2752 2676 | ACC: 21144 2328 10268 | GYRO: 670 -13211 8457 | GDP=15700.327
