# sentence_label=How can I help you?
# timestamp=1764327519.0692654
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2655 2559 2509 2758 2543 | ACC: 2232 7204 14456 | GYRO: 140 1423 -793 | GDP=1635.047
FLEX: 2672 2588 2484 2779 2544 | ACC: 1344 7096 14744 | GYRO: -349 3063 -1344 | GDP=3363.050
FLEX: 2687 2555 2497 2798 2533 | ACC: 932 7428 14980 | GYRO: -828 2486 -1123 | GDP=2850.773
FLEX: 2682 2559 2541 2783 2555 | ACC: 1000 7184 14692 | GYRO: -1369 3709 -1085 | GDP=4099.764
FLEX: 2677 2597 2511 2794 2618 | ACC: 1008 6980 14572 | GYRO: -2074 4941 -930 | GDP=5438.737
FLEX: 2674 2634 2581 2815 2673 | ACC: 484 6360 14824 | GYRO: -3834 7514 -1916 | GDP=8650.480
FLEX: 2672 2611 2549 2844 2709 | ACC: -860 5752 15260 | GYRO: -4132 9744 -1841 | GDP=10742.822
FLEX: 2671 2672 2585 2814 2733 | ACC: -5208 5508 16888 | GYRO: -3771 9050 -1169 | GDP=9873.677
FLEX: 2706 2639 2587 2778 2841 | ACC: 512 4684 15120 | GYRO: -2692 11816 -603 | GDP=12133.769
FLEX: 2691 2691 2599 2800 2818 | ACC: -5352 5740 11144 | GYRO: -1792 32767 -1756 | GDP=32862.914
FLEX: 2703 2723 2625 2762 2743 | ACC: -14836 3304 13272 | GYRO: 1815 32767 121 | GDP=32817.449
FLEX: 2756 2765 2672 2793 2747 | ACC: -20448 4732 8416 | GYRO: 2578 32767 3155 | GDP=33019.336
FLEX: 2599 2741 2607 2802 2751 | ACC: -24228 6444 1136 | GYRO: -8359 32767 10386 | GDP=35375.391
FLEX: 2531 2742 2644 2815 2767 | ACC: -22220 4076 3100 | GYRO: -9503 15441 15125 | GDP=23611.377
FLEX: 2502 2720 2612 2788 2800 | ACC: -19500 6120 1176 | GYRO: -9626 8549 18510 | GDP=22546.959
FLEX: 2509 2713 2610 2835 2777 | ACC: -14868 6084 -1468 | GYRO: -11570 5243 17281 | GDP=21447.305
FLEX: 2470 2684 2597 2829 2782 | ACC: -13608 7396 972 | GYRO: -15650 1102 17702 | GDP=23653.705
FLEX: 2493 2697 2590 2835 2787 | ACC: -10068 8444 372 | GYRO: -16800 -1376 15672 | GDP=23016.189
FLEX: 2463 2705 2534 2810 2755 | ACC: -8796 8200 3804 | GYRO: -17574 2863 13296 | GDP=22222.193
FLEX: 2449 2710 2608 2800 2797 | ACC: -8104 7744 4040 | GYRO: -19290 -2791 11793 | GDP=22780.883
FLEX: 2463 2711 2535 2810 2774 | ACC: -4604 6952 5396 | GYRO: -19336 24 8716 | GDP=21209.670
FLEX: 2473 2736 2544 2804 2767 | ACC: -5544 4992 9108 | GYRO: -21473 628 5695 | GDP=22224.246
FLEX: 2439 2723 2528 2783 2742 | ACC: -3472 3928 9604 | GYRO: -19664 2739 2639 | GDP=20028.463
FLEX: 2447 2721 2551 2769 2729 | ACC: -3900 1144 12760 | GYRO: -16962 6176 489 | GDP=18058.006
FLEX: 2432 2735 2535 2769 2707 | ACC: -4460 1676 12788 | GYRO: -14071 5724 -764 | GDP=15209.896
FLEX: 2452 2709 2539 2784 2746 | ACC: -7176 1336 13408 | GYRO: -8877 8574 -3999 | GDP=12973.304
FLEX: 2435 2722 2499 2807 2721 | ACC: -7352 -32 14576 | GYRO: -6183 7091 -5525 | GDP=10910.426
FLEX: 2430 2705 2547 2765 2787 | ACC: -11140 2284 16896 | GYRO: 832 2227 -1385 | GDP=2751.359
FLEX: 2453 2699 2509 2769 2681 | ACC: -11116 4084 14132 | GYRO: 4663 5900 1257 | GDP=7624.541
FLEX: 2439 2703 2523 2763 2724 | ACC: -13512 5412 12232 | GYRO: 502 793 374 | GDP=1010.311
FLEX: 2446 2708 2487 2767 2721 | ACC: -12444 4076 14724 | GYRO: -720 -2785 1611 | GDP=3296.960
