# sentence_label=No, I don't understand
# timestamp=1764407614.7801254
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2655 2624 2477 2723 2594 | ACC: -3444 6928 14776 | GYRO: -1544 -36 198 | GDP=1557.060
FLEX: 2668 2627 2450 2743 2620 | ACC: -2324 7460 16368 | GYRO: -276 6999 -1132 | GDP=7095.322
FLEX: 2655 2625 2480 2721 2584 | ACC: -6036 6468 16892 | GYRO: -830 23221 2123 | GDP=23332.613
FLEX: 2647 2608 2475 2719 2619 | ACC: -15104 4860 18564 | GYRO: 7454 32767 4132 | GDP=33857.227
FLEX: 2654 2639 2465 2694 2559 | ACC: -15620 7828 12112 | GYRO: 8717 29674 10929 | GDP=32802.063
FLEX: 2636 2618 2480 2687 2649 | ACC: -14568 8156 7256 | GYRO: 7670 32767 16035 | GDP=37277.695
FLEX: 2635 2595 2475 2687 2624 | ACC: -13720 8808 3608 | GYRO: 3422 32767 20019 | GDP=38550.574
FLEX: 2640 2610 2491 2705 2609 | ACC: -11120 9396 2532 | GYRO: 2497 28759 23086 | GDP=36963.203
FLEX: 2643 2608 2435 2742 2591 | ACC: -7640 10760 1204 | GYRO: -4070 17048 20821 | GDP=27216.047
FLEX: 2638 2624 2480 2721 2623 | ACC: -2380 11784 2796 | GYRO: -6818 1485 16669 | GDP=18070.582
FLEX: 2604 2597 2421 2702 2619 | ACC: -660 12676 2724 | GYRO: -4920 4087 13516 | GDP=14953.001
FLEX: 2602 2603 2397 2739 2618 | ACC: 768 14112 3584 | GYRO: -3886 -1792 8193 | GDP=9243.241
FLEX: 2559 2597 2359 2717 2615 | ACC: -668 14948 6184 | GYRO: 1793 2410 4027 | GDP=5023.911
FLEX: 2559 2559 2326 2731 2608 | ACC: -368 16268 3152 | GYRO: 6061 -3596 1021 | GDP=7121.052
FLEX: 2582 2590 2365 2688 2598 | ACC: -1700 16768 3376 | GYRO: 8827 3427 1401 | GDP=9571.993
FLEX: 2594 2655 2401 2754 2627 | ACC: -1184 15972 -1744 | GYRO: 12575 -3386 -3899 | GDP=13594.036
FLEX: 2593 2615 2458 2682 2599 | ACC: -2548 14508 632 | GYRO: 2812 7915 2187 | GDP=8679.720
FLEX: 2594 2638 2458 2725 2621 | ACC: -3672 18296 -4600 | GYRO: 2709 1809 4181 | GDP=5300.182
FLEX: 2559 2592 2429 2704 2559 | ACC: -2480 14844 732 | GYRO: -2485 -1713 -312 | GDP=3034.294
FLEX: 2624 2612 2426 2677 2599 | ACC: -3580 17408 2128 | GYRO: 5168 -3588 459 | GDP=6308.142
FLEX: 2559 2610 2436 2671 2606 | ACC: -3760 13560 -16640 | GYRO: -1992 -2493 1610 | GDP=3574.243
FLEX: 2559 2608 2463 2732 2641 | ACC: -2984 13572 1472 | GYRO: 1205 8284 -502 | GDP=8386.220
FLEX: 2559 2590 2445 2701 2623 | ACC: -3224 18276 68 | GYRO: -6235 -11166 -1837 | GDP=12920.114
FLEX: 2553 2599 2443 2689 2589 | ACC: -3176 16388 1288 | GYRO: 1418 3693 148 | GDP=3958.646
FLEX: 2559 2559 2447 2696 2605 | ACC: -3300 18028 564 | GYRO: 6962 2726 304 | GDP=7482.843
FLEX: 2583 2597 2471 2713 2615 | ACC: 3132 14040 -5304 | GYRO: -3310 -743 377 | GDP=3413.250
FLEX: 2559 2587 2474 2668 2650 | ACC: -5288 16344 444 | GYRO: 2932 4519 -259 | GDP=5393.057
FLEX: 2598 2598 2479 2718 2598 | ACC: -1068 16952 1636 | GYRO: 1054 -1857 -913 | GDP=2322.269
FLEX: 2559 2599 2515 2707 2608 | ACC: -6484 17092 -6120 | GYRO: 4909 -2543 -135 | GDP=5530.222
FLEX: 2606 2604 2491 2739 2667 | ACC: 5708 13208 -1592 | GYRO: 1445 14779 120 | GDP=14849.959
FLEX: 2625 2608 2537 2717 2614 | ACC: 1652 16352 684 | GYRO: 5813 11622 -8790 | GDP=15688.401
FLEX: 2624 2585 2642 2735 2656 | ACC: 92 14100 4 | GYRO: 1552 10935 -14455 | GDP=18191.480
FLEX: 2624 2559 2656 2724 2643 | ACC: -3768 14156 -4604 | GYRO: 6326 22060 -18416 | GDP=29424.666
FLEX: 2646 2559 2711 2768 2754 | ACC: -13508 14892 -9812 | GYRO: 2332 29981 -16405 | GDP=34255.258
FLEX: 2677 2535 2746 2800 2718 | ACC: -14380 15304 -13040 | GYRO: -11375 12871 -5614 | GDP=18071.256
FLEX: 2688 2559 2761 2771 2751 | ACC: -13084 12048 -9396 | GYRO: -18572 -2568 -690 | GDP=18761.393
FLEX: 2711 2543 2754 2809 2708 | ACC: -9376 14876 -7524 | GYRO: -26770 -4329 4092 | GDP=27424.762
FLEX: 2784 2539 2761 2793 2768 | ACC: -6968 11240 -436 | GYRO: -25546 -10504 4594 | GDP=28000.660
FLEX: 2791 2545 2722 2787 2737 | ACC: -4216 10556 568 | GYRO: -32259 -5223 2315 | GDP=32760.984
FLEX: 2863 2527 2742 2789 2757 | ACC: -10892 11192 7956 | GYRO: -28015 -8177 3250 | GDP=29364.367
FLEX: 2800 2535 2737 2770 2743 | ACC: -7336 7948 10084 | GYRO: -28287 -3475 -504 | GDP=28504.105
FLEX: 2810 2527 2751 2741 2709 | ACC: -5828 7228 8160 | GYRO: -26839 -2028 494 | GDP=26920.045
FLEX: 2729 2522 2704 2759 2741 | ACC: -6680 3076 17100 | GYRO: -25854 -529 3693 | GDP=26121.781
FLEX: 2771 2829 2726 2768 2702 | ACC: -9912 -8168 32767 | GYRO: 16621 17481 770 | GDP=24133.709
FLEX: 2766 2763 2672 2752 2709 | ACC: -10924 5520 19656 | GYRO: -1774 1563 -713 | GDP=2469.497
FLEX: 2754 2726 2686 2748 2743 | ACC: -5896 6788 14572 | GYRO: 1977 178 786 | GDP=2134.949
FLEX: 2768 2704 2688 2749 2679 | ACC: -4512 4332 16152 | GYRO: 2843 -3490 807 | GDP=4573.182
FLEX: 2770 2693 2690 2730 2677 | ACC: -3480 1596 20856 | GYRO: 10139 -2629 2605 | GDP=10793.377
FLEX: 2736 2625 2590 2784 2661 | ACC: 2488 -2172 21416 | GYRO: 32753 3794 -382 | GDP=32974.223
FLEX: 2723 2598 2559 2741 2663 | ACC: 4892 -2220 13504 | GYRO: 32767 9509 -4776 | GDP=34451.527
FLEX: 2735 2608 2513 2763 2654 | ACC: 2532 -2144 -3720 | GYRO: 32767 24556 -18499 | GDP=44932.020
FLEX: 2768 2609 2531 2761 2639 | ACC: -11732 -832 -10144 | GYRO: 32767 23879 -30696 | GDP=50853.980
FLEX: 2785 2622 2544 2716 2695 | ACC: -16428 1300 -20896 | GYRO: 32767 7528 -32768 | GDP=46947.723
FLEX: 2784 2604 2620 2733 2686 | ACC: -21416 5284 -29220 | GYRO: 30388 12649 -17671 | GDP=37358.961
FLEX: 2805 2593 2599 2747 2701 | ACC: -20560 -1400 -25720 | GYRO: 3739 4503 949 | GDP=5929.395
FLEX: 2789 2589 2630 2695 2689 | ACC: -17232 1540 -25424 | GYRO: -5904 3825 4995 | GDP=8627.738
FLEX: 2775 2592 2623 2719 2665 | ACC: -17044 1584 -20264 | GYRO: -14080 2212 10854 | GDP=17915.041
FLEX: 2800 2584 2622 2750 2661 | ACC: -11652 4180 -19652 | GYRO: -17891 2083 14435 | GDP=23082.375
FLEX: 2786 2559 2559 2711 2663 | ACC: -10680 4556 -19932 | GYRO: -27986 7990 15674 | GDP=33056.477
FLEX: 2768 2605 2559 2707 2669 | ACC: -11508 -1316 -10816 | GYRO: -32768 4502 19837 | GDP=38568.336
FLEX: 2777 2559 2540 2736 2649 | ACC: -2868 452 -1656 | GYRO: -22942 -9751 23867 | GDP=34511.605
FLEX: 2781 2544 2523 2736 2669 | ACC: 2092 5132 3628 | GYRO: -10696 2247 11116 | GDP=15589.063
FLEX: 2768 2538 2539 2704 2640 | ACC: 2648 6640 6224 | GYRO: -4039 -3022 5392 | GDP=7383.744
FLEX: 2755 2535 2558 2733 2678 | ACC: 3244 8160 5008 | GYRO: 2519 -3280 -1337 | GDP=4346.416
FLEX: 2768 2538 2544 2695 2663 | ACC: -56 8172 2760 | GYRO: 5962 -3536 -6209 | GDP=9305.935
FLEX: 2759 2537 2544 2715 2662 | ACC: -368 5784 872 | GYRO: 9917 -8294 -11273 | GDP=17152.779
FLEX: 2757 2547 2487 2761 2685 | ACC: -3216 4912 196 | GYRO: 12770 -11478 -16384 | GDP=23732.949
FLEX: 2751 2590 2495 2739 2651 | ACC: -3552 4368 -4272 | GYRO: 22727 -3738 -23052 | GDP=32586.561
FLEX: 2755 2598 2438 2738 2652 | ACC: -9796 2016 -12500 | GYRO: 32767 5426 -32768 | GDP=46656.828
FLEX: 2768 2659 2480 2750 2662 | ACC: -22848 2788 -32768 | GYRO: 32767 20821 -32768 | GDP=50802.875
FLEX: 2743 2635 2496 2722 2693 | ACC: -26488 -484 -32420 | GYRO: 2212 -3886 -1649 | GDP=4765.831
FLEX: 2754 2643 2459 2722 2673 | ACC: -17020 3092 -28148 | GYRO: -10238 -4530 5377 | GDP=12419.729
FLEX: 2768 2639 2463 2709 2648 | ACC: -14080 1172 -20492 | GYRO: -29591 -8950 11229 | GDP=32891.035
FLEX: 2773 2633 2490 2718 2672 | ACC: -12732 672 -20940 | GYRO: -32768 -17549 17346 | GDP=41019.422
FLEX: 2743 2617 2478 2722 2634 | ACC: -11816 2948 -7548 | GYRO: -32768 -18812 15082 | GDP=40682.918
FLEX: 2752 2630 2469 2745 2691 | ACC: -7248 6908 -14292 | GYRO: -32768 -29414 16468 | GDP=47011.918
