# sentence_label=Rest
# timestamp=1764327710.0937104
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2545 2458 2245 2478 2370 | ACC: 3888 -916 16112 | GYRO: 635 122 -67 | GDP=650.075
FLEX: 2497 2462 2240 2503 2384 | ACC: 3932 -948 16064 | GYRO: 769 124 -157 | GDP=794.598
FLEX: 2547 2465 2255 2497 2387 | ACC: 3988 -860 16136 | GYRO: 612 -54 -35 | GDP=615.374
FLEX: 2527 2486 2225 2436 2327 | ACC: 3884 -868 16056 | GYRO: 622 -2 -100 | GDP=629.990
FLEX: 2526 2487 2250 2487 2352 | ACC: 3852 -888 16084 | GYRO: 702 34 -99 | GDP=709.761
FLEX: 2542 2363 2246 2450 2378 | ACC: 4144 -816 16224 | GYRO: 665 -185 115 | GDP=699.768
FLEX: 2542 2466 2258 2511 2347 | ACC: 4020 -904 16100 | GYRO: 546 -92 126 | GDP=567.852
FLEX: 2539 2404 2240 2464 2367 | ACC: 4016 -976 16000 | GYRO: 613 -120 -5 | GDP=624.655
FLEX: 2558 2451 2160 2452 2337 | ACC: 3940 -892 16176 | GYRO: 689 120 -116 | GDP=708.927
FLEX: 2512 2418 2244 2514 2410 | ACC: 3988 -900 15944 | GYRO: 645 -35 -36 | GDP=646.951
FLEX: 2559 2414 2268 2459 2373 | ACC: 3988 -856 16012 | GYRO: 620 18 -74 | GDP=624.660
FLEX: 2600 2416 2231 2492 2423 | ACC: 3928 -880 16120 | GYRO: 660 -122 -41 | GDP=672.432
FLEX: 2551 2404 2255 2487 2394 | ACC: 3996 -860 16148 | GYRO: 553 -151 139 | GDP=589.857
FLEX: 2513 2461 2281 2495 2409 | ACC: 3984 -936 16068 | GYRO: 530 -133 70 | GDP=550.898
FLEX: 2591 2432 2275 2502 2313 | ACC: 4124 -916 16020 | GYRO: 704 207 -37 | GDP=734.734
FLEX: 2559 2503 2256 2482 2512 | ACC: 3896 -932 16060 | GYRO: 754 152 -43 | GDP=770.369
FLEX: 2495 2474 2191 2483 2357 | ACC: 4032 -928 16048 | GYRO: 583 40 -58 | GDP=587.242
FLEX: 2588 2444 2240 2421 2303 | ACC: 3916 -912 16020 | GYRO: 630 -221 -133 | GDP=680.757
FLEX: 2559 2429 2265 2474 2345 | ACC: 3940 -892 16104 | GYRO: 633 -82 -41 | GDP=639.605
FLEX: 2525 2454 2222 2501 2365 | ACC: 4020 -924 16268 | GYRO: 615 -109 196 | GDP=654.616
FLEX: 2530 2466 2215 2486 2475 | ACC: 4012 -892 16160 | GYRO: 553 -78 93 | GDP=566.164
FLEX: 2527 2463 2316 2477 2357 | ACC: 4072 -1012 15944 | GYRO: 751 143 -82 | GDP=768.878
FLEX: 2544 2457 2262 2452 2307 | ACC: 3884 -864 16072 | GYRO: 759 119 -76 | GDP=772.022
FLEX: 2531 2445 2265 2496 2361 | ACC: 4012 -916 16068 | GYRO: 630 115 -63 | GDP=643.501
FLEX: 2521 2416 2263 2480 2351 | ACC: 4112 -884 16052 | GYRO: 628 -47 -99 | GDP=637.490
FLEX: 2539 2448 2247 2477 2379 | ACC: 4056 -960 16052 | GYRO: 652 -150 4 | GDP=669.044
FLEX: 2519 2475 2240 2507 2341 | ACC: 4004 -888 16152 | GYRO: 589 -178 88 | GDP=621.570
FLEX: 2526 2512 2262 2480 2368 | ACC: 4080 -976 16128 | GYRO: 593 -62 56 | GDP=598.856
FLEX: 2538 2455 2240 2466 2367 | ACC: 4144 -928 15992 | GYRO: 714 7 -65 | GDP=716.987
FLEX: 2524 2477 2255 2473 2385 | ACC: 3828 -900 16168 | GYRO: 727 164 -71 | GDP=748.643
FLEX: 2532 2470 2249 2467 2385 | ACC: 4012 -940 16060 | GYRO: 600 26 -45 | GDP=602.247
FLEX: 2603 2433 2183 2490 2359 | ACC: 4116 -900 16072 | GYRO: 622 -125 -99 | GDP=642.114
FLEX: 2543 2511 2255 2482 2362 | ACC: 4016 -984 16068 | GYRO: 636 -130 1 | GDP=649.151
FLEX: 2559 2481 2261 2481 2377 | ACC: 3976 -920 16152 | GYRO: 583 -332 126 | GDP=682.634
FLEX: 2541 2455 2269 2485 2379 | ACC: 4184 -956 15972 | GYRO: 579 60 113 | GDP=592.967
FLEX: 2534 2445 2249 2485 2371 | ACC: 4076 -932 16044 | GYRO: 730 167 -17 | GDP=749.051
