# sentence_label=Rest
# timestamp=1764404016.3247669
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=77
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2642 2605 2395 2631 2554 | ACC: -12368 4912 9568 | GYRO: 650 -34 22 | GDP=651.260
FLEX: 2656 2581 2415 2613 2413 | ACC: -12260 4976 9368 | GYRO: 640 -167 87 | GDP=667.127
FLEX: 2633 2530 2388 2637 2535 | ACC: -12280 4960 9504 | GYRO: 648 53 -47 | GDP=651.860
FLEX: 2607 2619 2390 2559 2549 | ACC: -12332 4996 9444 | GYRO: 701 -127 18 | GDP=712.639
FLEX: 2645 2608 2320 2608 2557 | ACC: -12260 4976 9420 | GYRO: 657 78 -3 | GDP=661.621
FLEX: 2608 2531 2368 2639 2598 | ACC: -12328 5044 9424 | GYRO: 628 -109 40 | GDP=638.643
FLEX: 2621 2597 2402 2606 2521 | ACC: -12208 4960 9460 | GYRO: 617 57 6 | GDP=619.656
FLEX: 2656 2559 2404 2619 2544 | ACC: -12316 5024 9500 | GYRO: 590 37 -24 | GDP=591.646
FLEX: 2703 2544 2429 2629 2400 | ACC: -12360 4960 9512 | GYRO: 609 39 -9 | GDP=610.314
FLEX: 2642 2615 2363 2675 2610 | ACC: -12436 5060 9332 | GYRO: 663 98 -27 | GDP=670.747
FLEX: 2690 2645 2375 2610 2533 | ACC: -12344 5000 9436 | GYRO: 663 -98 -3 | GDP=670.210
FLEX: 2663 2559 2349 2559 2586 | ACC: -12152 5060 9424 | GYRO: 645 -23 -7 | GDP=645.448
FLEX: 2643 2559 2339 2622 2556 | ACC: -12392 4980 9416 | GYRO: 621 -53 -15 | GDP=623.438
FLEX: 2655 2510 2362 2607 2559 | ACC: -12176 4972 9412 | GYRO: 659 46 -53 | GDP=662.726
FLEX: 2663 2544 2384 2643 2559 | ACC: -12324 5004 9448 | GYRO: 612 -64 12 | GDP=615.454
