# sentence_label=See you later
# timestamp=1764327292.9949133
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2607 2622 2478 2675 2448 | ACC: -13192 4140 14656 | GYRO: 9661 19352 621 | GDP=21638.402
FLEX: 2608 2644 2448 2653 2480 | ACC: -10644 6968 5580 | GYRO: 13042 28539 2127 | GDP=31449.840
FLEX: 2625 2629 2451 2688 2539 | ACC: -16308 7520 3776 | GYRO: 8253 32767 3470 | GDP=33968.063
FLEX: 2641 2624 2464 2674 2526 | ACC: -19032 10844 448 | GYRO: 4755 30657 4340 | GDP=31325.664
FLEX: 2629 2646 2417 2687 2544 | ACC: -19356 9640 -1804 | GYRO: -61 20236 9078 | GDP=22179.033
FLEX: 2624 2633 2385 2657 2559 | ACC: -16264 8920 -3148 | GYRO: -2488 9947 10479 | GDP=14660.914
FLEX: 2638 2641 2327 2706 2623 | ACC: -14276 9608 -3792 | GYRO: -6663 7402 13345 | GDP=16651.553
FLEX: 2608 2634 2269 2675 2647 | ACC: -11396 10052 -2872 | GYRO: -8074 3140 12595 | GDP=15286.697
FLEX: 2615 2614 2271 2709 2655 | ACC: -9144 10708 -2404 | GYRO: -8103 933 14468 | GDP=16608.797
FLEX: 2608 2614 2261 2730 2663 | ACC: -7688 11476 -356 | GYRO: -5734 -1854 12487 | GDP=13865.109
FLEX: 2619 2535 2261 2699 2689 | ACC: -5572 12804 -592 | GYRO: -4044 3980 14319 | GDP=15402.211
FLEX: 2594 2545 2249 2636 2688 | ACC: -5280 13280 1384 | GYRO: -2141 1032 12991 | GDP=13206.627
FLEX: 2619 2598 2234 2723 2727 | ACC: -2916 14272 292 | GYRO: -2458 -1250 12060 | GDP=12371.252
FLEX: 2559 2553 2218 2751 2708 | ACC: -1404 15216 1304 | GYRO: -963 -5877 10556 | GDP=12120.051
FLEX: 2511 2652 2285 2766 2717 | ACC: 1432 14884 1884 | GYRO: 1202 -3097 7826 | GDP=8501.911
FLEX: 2559 2612 2269 2767 2749 | ACC: 116 15976 1724 | GYRO: 1240 712 3428 | GDP=3714.260
FLEX: 2559 2550 2234 2735 2839 | ACC: 92 16304 -248 | GYRO: -1844 1533 2731 | GDP=3634.389
FLEX: 2519 2589 2256 2739 2759 | ACC: 120 15632 3024 | GYRO: -2297 -1081 2318 | GDP=3437.716
FLEX: 2509 2615 2230 2779 2687 | ACC: 3076 16304 4940 | GYRO: 2395 -2304 1817 | GDP=3787.602
FLEX: 2496 2589 2218 2734 2624 | ACC: 2888 15376 2136 | GYRO: 5100 -430 -2137 | GDP=5546.320
FLEX: 2481 2598 2221 2806 2709 | ACC: -4832 16680 -3816 | GYRO: 2719 6868 -4791 | GDP=8804.320
FLEX: 2540 2526 2211 2802 2693 | ACC: -6844 16944 -3620 | GYRO: -2548 2582 2079 | GDP=4181.061
FLEX: 2491 2590 2185 2774 2752 | ACC: -576 14592 3572 | GYRO: -4804 -2936 4358 | GDP=7119.738
FLEX: 2530 2594 2229 2767 2681 | ACC: 5968 18020 2688 | GYRO: 1791 -2643 1012 | GDP=3349.220
FLEX: 2519 2559 2209 2787 2717 | ACC: -84 15408 1716 | GYRO: 4170 3601 -3993 | GDP=6804.421
FLEX: 2501 2547 2225 2736 2702 | ACC: -4200 17184 -2712 | GYRO: 2388 2913 -2759 | GDP=4669.068
FLEX: 2458 2547 2229 2719 2705 | ACC: -5260 16244 -2568 | GYRO: -1380 2604 505 | GDP=2990.024
FLEX: 2464 2538 2251 2725 2688 | ACC: -1888 16264 188 | GYRO: -4372 -1153 3864 | GDP=5947.629
FLEX: 2498 2512 2239 2702 2672 | ACC: 3300 16132 5904 | GYRO: 2482 -4795 1436 | GDP=5586.989
