# sentence_label=Thank you.
# timestamp=1764327017.713043
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=77
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2559 2496 2256 2505 2316 | ACC: -15736 7868 10676 | GYRO: 3960 32767 319 | GDP=33006.961
FLEX: 2593 2496 2272 2497 2307 | ACC: -7632 9740 8796 | GYRO: -6000 9041 12505 | GDP=16556.410
FLEX: 2549 2480 2286 2511 2311 | ACC: -5404 9672 8888 | GYRO: -6556 5968 10297 | GDP=13587.729
FLEX: 2557 2497 2271 2489 2335 | ACC: -6136 9604 9712 | GYRO: -7176 6906 8432 | GDP=13049.385
FLEX: 2596 2491 2303 2489 2316 | ACC: -6368 9548 11676 | GYRO: -6062 4729 7544 | GDP=10771.407
FLEX: 2500 2466 2304 2486 2335 | ACC: -6424 9840 11736 | GYRO: -4392 4507 5981 | GDP=8681.882
FLEX: 2589 2478 2282 2481 2323 | ACC: -5260 9744 11632 | GYRO: -2228 2106 4773 | GDP=5672.808
FLEX: 2647 2511 2301 2448 2335 | ACC: -5008 10232 11372 | GYRO: -1149 3245 3059 | GDP=4605.183
FLEX: 2559 2449 2318 2469 2320 | ACC: -5724 9836 10996 | GYRO: 36 1308 1714 | GDP=2156.376
FLEX: 2559 2473 2289 2497 2320 | ACC: -6088 10440 10552 | GYRO: 834 1773 468 | GDP=2014.475
FLEX: 2559 2494 2305 2473 2320 | ACC: -7360 10376 10632 | GYRO: 715 852 107 | GDP=1117.398
FLEX: 2559 2461 2304 2451 2323 | ACC: -6964 10760 10056 | GYRO: 1454 2018 11 | GDP=2487.280
FLEX: 2587 2480 2313 2463 2331 | ACC: -8420 11328 10664 | GYRO: 1972 2007 399 | GDP=2841.836
FLEX: 2547 2498 2305 2495 2345 | ACC: -7992 10900 10364 | GYRO: 2392 2272 1301 | GDP=3546.301
