# sentence_label=Thank you.
# timestamp=1764327085.6756248
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2627 2510 2272 2511 2324 | ACC: -432 7048 14988 | GYRO: 672 -36 -57 | GDP=675.373
FLEX: 2631 2525 2267 2514 2352 | ACC: -548 7004 15032 | GYRO: 627 -94 -13 | GDP=634.140
FLEX: 2655 2529 2297 2533 2352 | ACC: -456 6964 14988 | GYRO: 606 -99 -49 | GDP=615.985
FLEX: 2655 2480 2299 2556 2357 | ACC: -544 6964 15016 | GYRO: 655 -66 -39 | GDP=659.471
FLEX: 2657 2511 2275 2518 2335 | ACC: -500 7016 15056 | GYRO: 537 -86 -183 | GDP=573.807
FLEX: 2665 2507 2289 2512 2339 | ACC: -448 7012 15060 | GYRO: 564 -3 -7 | GDP=564.051
FLEX: 2640 2502 2314 2512 2340 | ACC: -448 6836 15032 | GYRO: 587 -50 -50 | GDP=591.244
FLEX: 2647 2481 2293 2512 2368 | ACC: -484 6936 15116 | GYRO: 557 11 -69 | GDP=561.365
FLEX: 2631 2527 2257 2516 2361 | ACC: -412 6924 15092 | GYRO: 543 -103 -60 | GDP=555.930
FLEX: 2656 2543 2305 2523 2357 | ACC: -460 6856 15064 | GYRO: 597 -93 -21 | GDP=604.565
FLEX: 2630 2495 2286 2542 2342 | ACC: -428 6916 15016 | GYRO: 671 -109 -37 | GDP=680.802
FLEX: 2654 2504 2315 2527 2353 | ACC: -312 7028 14940 | GYRO: 624 -11 2 | GDP=624.100
FLEX: 2641 2492 2289 2523 2355 | ACC: 104 7236 14888 | GYRO: 270 835 -131 | GDP=887.291
FLEX: 2659 2523 2287 2550 2357 | ACC: -1224 6928 16268 | GYRO: 476 1547 900 | GDP=1851.968
FLEX: 2640 2506 2287 2554 2319 | ACC: -3732 6772 16416 | GYRO: 1677 7686 1778 | GDP=8065.247
FLEX: 2662 2541 2283 2539 2312 | ACC: -6020 5412 18268 | GYRO: 7044 13342 2897 | GDP=15362.927
FLEX: 2633 2519 2271 2522 2336 | ACC: -11740 9864 16500 | GYRO: 5338 28040 11580 | GDP=30803.121
FLEX: 2649 2514 2272 2557 2321 | ACC: -12268 10592 14912 | GYRO: 3154 23469 19310 | GDP=30555.160
FLEX: 2639 2486 2288 2549 2342 | ACC: -10128 8916 11696 | GYRO: -1410 16861 26427 | GDP=31379.416
FLEX: 2656 2559 2311 2539 2365 | ACC: -5796 8780 11012 | GYRO: -4929 14356 27862 | GDP=31728.234
FLEX: 2630 2527 2287 2530 2338 | ACC: -2668 7372 10248 | GYRO: -5987 13531 25485 | GDP=29468.922
FLEX: 2671 2529 2310 2503 2352 | ACC: -48 5932 12528 | GYRO: -7266 8798 21151 | GDP=24032.568
FLEX: 2631 2511 2288 2487 2304 | ACC: 1736 5312 13612 | GYRO: -6527 5966 15988 | GDP=18270.496
FLEX: 2677 2544 2290 2526 2331 | ACC: 904 4716 16256 | GYRO: -3007 6854 11471 | GDP=13696.832
FLEX: 2667 2512 2294 2490 2321 | ACC: 1216 4744 16672 | GYRO: -1532 4789 6636 | GDP=8325.746
FLEX: 2652 2517 2307 2491 2352 | ACC: 312 4140 17428 | GYRO: -331 1677 3118 | GDP=3555.814
FLEX: 2659 2506 2250 2467 2340 | ACC: -456 2044 18972 | GYRO: 3114 736 882 | GDP=3319.129
FLEX: 2671 2516 2296 2501 2367 | ACC: -2124 2808 19792 | GYRO: 10667 1680 -3825 | GDP=11455.912
FLEX: 2666 2506 2285 2512 2334 | ACC: -1072 8276 10612 | GYRO: 21245 3695 -7430 | GDP=22808.066
FLEX: 2683 2503 2304 2517 2349 | ACC: -6592 20020 -3372 | GYRO: 23944 9171 -2584 | GDP=25770.127
FLEX: 2700 2489 2198 2486 2327 | ACC: -4356 21880 -2464 | GYRO: 717 -13385 -3628 | GDP=13886.493
FLEX: 2684 2505 2293 2511 2331 | ACC: -6224 17964 6968 | GYRO: -6692 -7487 -500 | GDP=10054.255
FLEX: 2672 2502 2261 2480 2327 | ACC: -4604 14656 10540 | GYRO: -9321 -6687 2897 | GDP=11831.721
FLEX: 2689 2511 2269 2507 2353 | ACC: -2364 12960 9712 | GYRO: -12322 -2136 4065 | GDP=13149.844
FLEX: 2674 2501 2279 2477 2383 | ACC: -3220 10456 12544 | GYRO: -14194 273 7595 | GDP=16100.565
FLEX: 2703 2499 2303 2491 2381 | ACC: 664 8248 13164 | GYRO: -8271 1482 8230 | GDP=11761.746
FLEX: 2673 2448 2274 2466 2425 | ACC: 2108 6844 15084 | GYRO: -3552 8682 9228 | GDP=13158.640
FLEX: 2675 2487 2275 2496 2369 | ACC: 3684 6964 13696 | GYRO: 5439 19184 9946 | GDP=22282.986
FLEX: 2647 2501 2271 2493 2355 | ACC: 2408 6332 14128 | GYRO: 10031 27375 6711 | GDP=29917.373
FLEX: 2678 2513 2309 2515 2373 | ACC: 944 5828 14524 | GYRO: 23117 21653 -5181 | GDP=32095.029
FLEX: 2654 2486 2304 2486 2335 | ACC: -2172 3188 9552 | GYRO: 32767 25807 -25851 | GDP=49070.887
FLEX: 2635 2507 2287 2523 2365 | ACC: -9608 -1060 -2964 | GYRO: 32767 18643 -32768 | GDP=49949.770
FLEX: 2683 2480 2262 2477 2343 | ACC: -22524 10780 -16820 | GYRO: 32767 8147 -31958 | GDP=46490.469
FLEX: 2678 2493 2277 2513 2386 | ACC: -21872 112 -13612 | GYRO: 8372 10727 -7824 | GDP=15696.302
FLEX: 2668 2477 2272 2483 2388 | ACC: -17508 4724 -11464 | GYRO: 4576 -8949 -2231 | GDP=10295.715
FLEX: 2653 2492 2279 2493 2384 | ACC: -17416 3612 -6508 | GYRO: -1578 4289 255 | GDP=4577.186
FLEX: 2646 2495 2303 2493 2374 | ACC: -16164 4904 -5828 | GYRO: 1399 -5401 1973 | GDP=5917.832
FLEX: 2666 2493 2281 2499 2378 | ACC: -14496 4008 -5372 | GYRO: -1541 159 1238 | GDP=1983.080
FLEX: 2643 2475 2298 2497 2361 | ACC: -15128 4760 -4568 | GYRO: 1956 -3907 1222 | GDP=4536.945
FLEX: 2663 2502 2271 2503 2381 | ACC: -13704 4440 -5136 | GYRO: -762 813 244 | GDP=1140.679
FLEX: 2630 2486 2263 2474 2373 | ACC: -16768 4632 -3008 | GYRO: 1658 -2603 838 | GDP=3197.939
FLEX: 2652 2507 2283 2496 2320 | ACC: -20116 5216 348 | GYRO: 6950 -27718 9987 | GDP=30270.947
FLEX: 2640 2493 2246 2509 2365 | ACC: -19172 6264 -32 | GYRO: 8540 -32768 16453 | GDP=37648.035
FLEX: 2659 2487 2267 2502 2386 | ACC: -8012 6048 -4200 | GYRO: 10039 -32768 10873 | GDP=35954.770
FLEX: 2636 2474 2299 2553 2352 | ACC: -12856 9324 2764 | GYRO: 7985 -32768 16743 | GDP=37654.086
FLEX: 2603 2506 2299 2483 2357 | ACC: -1428 7924 1888 | GYRO: -2975 -32768 18019 | GDP=37513.691
FLEX: 2634 2511 2304 2505 2373 | ACC: 8260 9236 6652 | GYRO: -5823 -32768 12955 | GDP=35713.879
FLEX: 2670 2503 2285 2530 2353 | ACC: 12932 8460 11636 | GYRO: -8159 -3461 6119 | GDP=10769.863
FLEX: 2631 2510 2301 2527 2368 | ACC: 3480 7136 19680 | GYRO: -4968 -270 -1332 | GDP=5150.548
FLEX: 2665 2521 2336 2537 2352 | ACC: 4988 7748 15744 | GYRO: -2862 -1675 1019 | GDP=3469.154
FLEX: 2658 2545 2338 2545 2366 | ACC: 8252 10356 19652 | GYRO: 10630 17599 -7556 | GDP=21904.676
FLEX: 2637 2547 2330 2541 2386 | ACC: -688 8396 14992 | GYRO: -248 6870 -2323 | GDP=7256.358
FLEX: 2639 2544 2321 2557 2384 | ACC: 3152 8884 14080 | GYRO: 286 -672 588 | GDP=937.616
FLEX: 2640 2559 2318 2542 2371 | ACC: 3156 8308 13888 | GYRO: -64 3061 -1087 | GDP=3248.905
FLEX: 2660 2559 2299 2554 2355 | ACC: 1224 8500 14568 | GYRO: 342 1475 -664 | GDP=1653.325
FLEX: 2651 2559 2309 2588 2369 | ACC: 2100 8404 14236 | GYRO: 934 -792 -244 | GDP=1248.662
FLEX: 2639 2557 2274 2530 2373 | ACC: 2656 8484 13964 | GYRO: 929 -104 -272 | GDP=973.571
FLEX: 2628 2586 2308 2545 2379 | ACC: 2552 8540 13872 | GYRO: 752 303 -289 | GDP=860.717
FLEX: 2638 2559 2331 2530 2384 | ACC: 1628 8632 14368 | GYRO: 953 -212 -341 | GDP=1034.134
FLEX: 2655 2595 2338 2523 2383 | ACC: 2856 8532 13876 | GYRO: 856 -916 -87 | GDP=1256.726
FLEX: 2640 2586 2311 2537 2368 | ACC: 2540 8472 13928 | GYRO: 701 310 -268 | GDP=811.988
FLEX: 2670 2559 2340 2545 2390 | ACC: 2288 8560 14060 | GYRO: 785 -228 -45 | GDP=818.678
FLEX: 2657 2559 2299 2531 2361 | ACC: 2640 8700 13884 | GYRO: 677 -152 -58 | GDP=696.274
FLEX: 2640 2559 2308 2498 2365 | ACC: 2632 8528 13884 | GYRO: 637 61 -79 | GDP=644.772
FLEX: 2643 2559 2332 2528 2383 | ACC: 2300 8496 13940 | GYRO: 598 135 -68 | GDP=616.809
FLEX: 2671 2549 2314 2543 2355 | ACC: 2508 8576 13900 | GYRO: 657 14 -18 | GDP=657.396
