# sentence_label=What time is it?
# timestamp=1764327836.9207773
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2614 2603 2559 2628 2546 | ACC: -3448 5416 15208 | GYRO: 929 -1200 143 | GDP=1524.300
FLEX: 2608 2595 2501 2682 2559 | ACC: -3124 5376 15776 | GYRO: 783 2557 -768 | GDP=2782.294
FLEX: 2592 2624 2511 2711 2559 | ACC: -3324 4304 16148 | GYRO: 4284 6117 -1273 | GDP=7575.676
FLEX: 2559 2599 2529 2749 2549 | ACC: -3160 5168 15368 | GYRO: 7481 8318 -3354 | GDP=11679.203
FLEX: 2633 2603 2559 2768 2609 | ACC: -6412 5892 14756 | GYRO: 10349 16991 -2458 | GDP=20045.889
FLEX: 2612 2604 2559 2684 2661 | ACC: -8892 7392 13524 | GYRO: 10677 19958 -2737 | GDP=22799.369
FLEX: 2616 2647 2642 2773 2623 | ACC: -12136 7996 11608 | GYRO: 12880 23639 -1751 | GDP=26977.076
FLEX: 2617 2672 2652 2775 2640 | ACC: -17540 9656 9544 | GYRO: 12014 21816 113 | GDP=24905.559
FLEX: 2610 2662 2699 2768 2630 | ACC: -18172 8964 6824 | GYRO: 12338 10354 6147 | GDP=17239.986
FLEX: 2597 2672 2691 2805 2683 | ACC: -17392 11740 2504 | GYRO: 8732 5071 12398 | GDP=15989.786
FLEX: 2605 2618 2725 2834 2773 | ACC: -15284 10884 1248 | GYRO: 2874 5602 17428 | GDP=18530.447
FLEX: 2646 2641 2675 2790 2699 | ACC: -11952 11064 -168 | GYRO: -4200 -2637 20524 | GDP=21114.648
FLEX: 2752 2559 2814 2797 2733 | ACC: -8652 11608 168 | GYRO: -6460 -11815 20659 | GDP=24660.092
FLEX: 2922 2592 2782 2818 2672 | ACC: -3608 11460 992 | GYRO: -9219 -13268 19265 | GDP=25142.992
FLEX: 2823 2582 2797 2740 2675 | ACC: -1696 10896 3028 | GYRO: -11270 -15639 17678 | GDP=26155.361
FLEX: 2816 2559 2756 2787 2705 | ACC: 4148 10148 3312 | GYRO: -12980 -9367 14990 | GDP=21929.916
FLEX: 2832 2559 2771 2758 2691 | ACC: 4084 9516 6724 | GYRO: -14331 -9372 12508 | GDP=21205.236
FLEX: 2795 2559 2755 2774 2730 | ACC: 6720 8296 9216 | GYRO: -13564 -8318 9549 | GDP=18556.795
FLEX: 2842 2559 2775 2751 2699 | ACC: 7108 7036 12468 | GYRO: -12035 -8690 7530 | GDP=16645.066
FLEX: 2827 2549 2737 2730 2717 | ACC: 8556 6956 12560 | GYRO: -8899 -6539 4889 | GDP=12076.963
FLEX: 2837 2559 2747 2721 2650 | ACC: 7032 7468 12504 | GYRO: -9628 -4054 3796 | GDP=11114.986
FLEX: 2823 2511 2780 2752 2705 | ACC: 6116 5904 14188 | GYRO: -15374 -7843 5697 | GDP=18174.937
FLEX: 2779 2595 2781 2697 2707 | ACC: 16540 1612 23192 | GYRO: 5857 4712 -600 | GDP=7541.047
FLEX: 2793 2559 2761 2720 2709 | ACC: 9008 4580 17096 | GYRO: 5449 -4374 -498 | GDP=7005.104
FLEX: 2806 2555 2801 2710 2707 | ACC: 6868 7956 12288 | GYRO: 12907 2901 -4180 | GDP=13873.675
FLEX: 2800 2522 2759 2702 2686 | ACC: 5420 10164 6608 | GYRO: 2589 -2786 436 | GDP=3828.161
FLEX: 2810 2553 2755 2722 2683 | ACC: 4292 9636 6544 | GYRO: -14597 -3703 5233 | GDP=15942.676
FLEX: 2832 2586 2745 2707 2697 | ACC: 24504 -2720 28684 | GYRO: -3324 -10467 2539 | GDP=11271.805
FLEX: 2789 2559 2749 2733 2697 | ACC: 10480 4204 14624 | GYRO: 5442 -4866 -773 | GDP=7341.039
FLEX: 2770 2553 2740 2713 2686 | ACC: 7836 7672 12100 | GYRO: 11029 5993 -4380 | GDP=13294.333
FLEX: 2793 2551 2736 2688 2688 | ACC: 6144 8824 9708 | GYRO: 3341 817 -1027 | GDP=3589.499
FLEX: 2795 2548 2716 2708 2704 | ACC: 4552 10468 6128 | GYRO: -9967 414 2350 | GDP=10248.658
FLEX: 2760 2555 2727 2705 2699 | ACC: 18720 -6228 29808 | GYRO: -10774 -8104 3633 | GDP=13962.542
FLEX: 2768 2546 2688 2717 2701 | ACC: 9100 3560 13820 | GYRO: 11667 -8654 -1485 | GDP=14601.912
FLEX: 2771 2544 2711 2703 2688 | ACC: 8056 8976 9396 | GYRO: 16219 7965 -7054 | GDP=19397.322
FLEX: 2779 2547 2702 2715 2704 | ACC: 3816 11880 5028 | GYRO: -7459 2959 1810 | GDP=8226.084
FLEX: 2768 2555 2715 2738 2672 | ACC: 9652 -4452 25156 | GYRO: -17730 -4129 6577 | GDP=19356.096
FLEX: 2771 2559 2693 2704 2663 | ACC: 9168 5252 15940 | GYRO: 5786 230 -2039 | GDP=6139.073
FLEX: 2739 2559 2674 2736 2676 | ACC: 14844 3020 12396 | GYRO: 8108 24777 -8162 | GDP=27317.717
FLEX: 2707 2559 2660 2736 2663 | ACC: 7936 4552 13512 | GYRO: 12221 31305 -12212 | GDP=35755.961
FLEX: 2705 2538 2603 2710 2642 | ACC: 4012 3176 11304 | GYRO: 16940 32767 -15486 | GDP=40005.699
FLEX: 2661 2534 2510 2710 2583 | ACC: -2240 5444 3224 | GYRO: 28631 32767 -15234 | GDP=46102.984
FLEX: 2639 2545 2445 2688 2549 | ACC: -9496 8684 -7044 | GYRO: 32767 32767 -10116 | GDP=47430.855
FLEX: 2624 2491 2381 2653 2509 | ACC: -14052 12236 -13212 | GYRO: 32767 32767 -7935 | GDP=47014.008
FLEX: 2629 2480 2323 2624 2468 | ACC: -8668 8344 -18684 | GYRO: 29991 32767 1627 | GDP=44449.785
FLEX: 2624 2503 2265 2588 2448 | ACC: -1480 7776 -25928 | GYRO: 8764 6855 -5664 | GDP=12485.176
