# sentence_label=What's up!
# timestamp=1764326492.91117
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2704 2535 2423 2729 2395 | ACC: -18184 8272 5520 | GYRO: 1726 18043 9049 | GDP=20258.660
FLEX: 2657 2525 2407 2545 2358 | ACC: -19624 8324 3812 | GYRO: 3104 18982 13135 | GDP=23291.186
FLEX: 2653 2531 2385 2559 2395 | ACC: -18128 8548 2768 | GYRO: 1299 9734 15703 | GDP=18520.863
FLEX: 2666 2522 2389 2535 2379 | ACC: -13524 9512 -812 | GYRO: -1593 6848 18072 | GDP=19391.492
FLEX: 2674 2518 2395 2532 2400 | ACC: -11584 9640 -1548 | GYRO: -8260 9907 17467 | GDP=21713.414
FLEX: 2625 2505 2395 2537 2385 | ACC: -9408 11180 -1336 | GYRO: -10755 4432 16559 | GDP=20236.432
FLEX: 2640 2519 2429 2474 2369 | ACC: -6288 10416 -328 | GYRO: -20124 -118 13729 | GDP=24361.338
FLEX: 2559 2485 2389 2493 2353 | ACC: -3964 10312 2712 | GYRO: -19317 1803 10443 | GDP=22033.012
FLEX: 2644 2482 2434 2480 2384 | ACC: -5080 9784 5500 | GYRO: -22587 3661 8696 | GDP=24478.479
FLEX: 2631 2484 2418 2477 2354 | ACC: -3396 8940 8016 | GYRO: -21010 -1849 6595 | GDP=22098.256
FLEX: 2672 2498 2409 2499 2369 | ACC: -3112 7808 9052 | GYRO: -18447 300 5695 | GDP=19308.414
FLEX: 2659 2470 2416 2482 2385 | ACC: -4120 7852 10628 | GYRO: -18371 1050 2996 | GDP=18643.287
FLEX: 2637 2512 2442 2480 2365 | ACC: -3304 5852 11228 | GYRO: -19404 3386 2697 | GDP=19880.998
FLEX: 2608 2494 2413 2474 2345 | ACC: -5696 4096 13368 | GYRO: -19284 -1205 1656 | GDP=19392.447
FLEX: 2629 2493 2383 2479 2363 | ACC: -2960 2812 12600 | GYRO: -21987 -4193 3879 | GDP=22716.867
FLEX: 2610 2483 2452 2470 2352 | ACC: -4264 160 17732 | GYRO: -18205 3682 2229 | GDP=18706.887
FLEX: 2608 2486 2413 2407 2333 | ACC: -3624 -2276 21032 | GYRO: -15250 -922 -125 | GDP=15278.357
FLEX: 2548 2485 2423 2462 2305 | ACC: -9076 -2428 26412 | GYRO: 4178 16279 1360 | GDP=16861.527
FLEX: 2586 2512 2432 2482 2333 | ACC: -9636 1408 17584 | GYRO: -398 -730 -1968 | GDP=2136.429
FLEX: 2549 2490 2421 2455 2333 | ACC: -7136 1312 15164 | GYRO: 892 -337 526 | GDP=1088.995
FLEX: 2614 2496 2439 2514 2330 | ACC: -4020 32 15136 | GYRO: -389 -363 249 | GDP=587.444
FLEX: 2536 2490 2437 2469 2311 | ACC: -5620 312 14588 | GYRO: 198 -111 -202 | GDP=303.857
