# sentence_label=What's up!
# timestamp=1764326457.9131892
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=80
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2640 2544 2373 2630 2461 | ACC: -6656 122 5 | GDP=667.267
FLEX: 2608 2531 2367 2619 2479 | ACC: -1176 8704 14024 | GYRO: 639 -86 3 | GDP=644.768
FLEX: 2667 2512 2335 2559 2467 | ACC: -1108 8444 14044 | GYRO: 644 135 43 | GDP=659.401
FLEX: 2683 2559 2370 2608 2478 | ACC: -1060 8636 14084 08 12240 7180 | GYRO: -241 222 -2464 | GDP=2485.691
FLEX: 2622 2544 2359 2640 2416 | ACC: -11648 13080 7344 | GYRO: 3055 5483 -3264 | GDP=7074.603
FLEX: 2641 2555 2351 2559 2434 | ACC: -12768 13588 5772 | GYRO: 3013 9141 49 | GDP=9624.887
FLEX: 2618 2543 2369 2598 2433 | ACC: -14648 13520 5912 | GYRO: 2506 6420 3797 | GDP=7868.522
FLEX: 2688 2498 2404 2559 2382 | ACC: -12816 12944 3268 | GYRO: 2410 8855 8653 | GDP=12613.229
FLEX: 2657 2519 2362 2544 2405 | ACC: -12564 13216 2536 | GYRO: 730 7251 9789 | GDP=12203.869
FLEX: 2655 2591 2365 2518 2371 | ACC: -9900 12568 1188 | GYRO: -2458 6793 12031 | GDP=14033.230
FLEX: 2608 2486 2405 2531 2421 | ACC: -8864 12432 2040 | GYRO: -2315 4716 11994 | GDP=13094.118
FLEX: 2658 2559 2352 2559 2416 | ACC: -5640 12464 216 | GYRO: -6441 7588 11940 | GDP=15544.383
FLEX: 2618 2594 2416 2529 2407 | ACC: -6312 12616 2904 | GYRO: -7784 5772 10402 | GDP=14216.478
FLEX: 2604 2537 2443 2543 2418 | ACC: -3296 12764 2220 | GYRO: -9253 6966 8899 | GDP=14606.005
FLEX: 2618 2497 2443 2519 2402 | ACC: -3476 12648 3496 | GYRO: -10921 7582 6962 | GDP=15007.479
FLEX: 2639 2545 2445 2510 2445 | ACC: -3052 11960 6048 | GYRO: -10635 4414 5506 | GDP=12763.332
FLEX: 2605 2514 2334 2454 2446 | ACC: -2304 12284 6452 | GYRO: -11392 6815 3601 | GDP=13754.603
FLEX: 2646 2503 2416 2416 2371 | ACC: -2912 12008 7468 | GYRO: -12077 6104 2515 | GDP=13763.647
FLEX: 2672 2480 2467 2662 2361 | ACC: -4544 11696 9568 | GYRO: -14272 3796 2642 | GDP=15002.658
FLEX: 2691 2483 2421 2435 2361 | ACC: -2800 10684 9284 | GYRO: -12635 3926 2785 | GDP=13520.833
FLEX: 2661 2483 2455 2473 2401 | ACC: -4500 9796 10460 | GYRO: -13839 7161 1732 | GDP=15677.936
FLEX: 2642 2535 2424 2454 2401 | ACC: -4556 9072 11160 | GYRO: -13415 4326 1778 | GDP=14206.962
FLEX: 2658 2469 2432 2448 2368 | ACC: -5752 7348 12592 | GYRO: -15378 7067 2865 | GDP=17164.895
FLEX: 2624 2495 2495 2454 2367 | ACC: -6004 7372 14500 | GYRO: -10877 3605 3294 | GDP=11922.901
FLEX: 2611 2487 2438 2482 2318 | ACC: -5996 5676 18632 | GYRO: -9455 3033 2228 | GDP=10176.448
FLEX: 2623 2517 2432 2623 2355 | ACC: -3060 4244 20608 | GYRO: -2195 3293 167 | GDP=3961.031
FLEX: 2641 2521 2459 2485 2413 | ACC: -6892 6908 15400 | GYRO: 1302 3243 -984 | GDP=3630.497
FLEX: 2635 2534 2422 2452 2344 | ACC: -6996 6188 13540 | GYRO: 88 -626 -447 | GDP=774.228
FLEX: 2624 2510 2427 2508 2320 | ACC: -5944 6128 14116 | GYRO: -62 206 302 | GDP=370.788
FLEX: 2607 2498 2420 2432 2391 | ACC: -5300 5688 14248 | GYRO: 246 296 -254 | GDP=461.138
FLEX: 2630 2464 2455 2471 2367 | ACC: -6448 5808 14148 | GYRO: 309 510 -156 | GDP=616.374
FLEX: 2610 2539 2397 2461 2349 | ACC: -6220 5904 14348 | GYRO: -121 935 -23 | GDP=943.077
FLEX: 2559 2519 2450 2443 2352 | ACC: -6360 5776 14276 | GYRO: 194 347 42 | GDP=399.761
FLEX: 2631 2519 2397 2446 2352 | ACC: -6112 5804 14620 | GYRO: -489 483 223 | GDP=722.592
FLEX: 2618 2433 2441 2450 2334 | ACC: -7592 5768 17028 | GYRO: 328 -2501 -57 | GDP=2523.061
FLEX: 2604 2510 2455 2458 2325 | ACC: -8308 6548 19896 | GYRO: 1230 -6387 1149 | GDP=6605.064
FLEX: 2635 2510 2419 2445 2333 | ACC: -6632 5480 22552 | GYRO: 5656 -12901 1908 | GDP=14215.014
FLEX: 2601 2491 2413 2434 2322 | ACC: -3140 4792 19724 | GYRO: 12580 -10592 2339 | GDP=16610.771
FLEX: 2640 2497 2413 2439 2327 | ACC: -4712 5432 19072 | GYRO: 17970 -13935 1789 | GDP=22810.209
FLEX: 2598 2511 2448 2455 2330 | ACC: -2168 5368 16512 | GYRO: 24476 -9743 2412 | GDP=26454.080
FLEX: 2614 2512 2407 2430 2319 | ACC: -1616 6328 12944 | GYRO: 32561 -6862 4106 | GDP=33528.570
FLEX: 2608 2480 2411 2421 2295 | ACC: -1468 6392 10628 | GYRO: 32767 -7755 5517 | GDP=34121.160
FLEX: 2629 2485 2407 2485 2311 | ACC: 1092 7472 4296 | GYRO: 32767 -2537 3567 | GDP=33058.070
FLEX: 2624 2494 2406 2406 2291 | ACC: -1032 9260 1076 | GYRO: 32767 -8117 3651 | GDP=33954.262
FLEX: 2559 2498 2387 2416 2286 | ACC: 3072 8384 -3756 | GYRO: 32767 -8960 3992 | GDP=34203.711
FLEX: 2559 2481 2417 2420 2295 | ACC: 3300 7676 -13224 | GYRO: 32767 -1574 -3433 | GDP=32983.922
FLEX: 2627 2487 2400 2436 2320 | ACC: 692 7580 -16392 | GYRO: 24006 -6179 -2025 | GDP=24871.041
FLEX: 2679 2511 2386 2395 2288 | ACC: 404 6864 -16888 | GYRO: 17851 -6452 -5001 | GDP=19628.971
FLEX: 2640 2493 2419 2422 2286 | ACC: -1048 7936 -17348 | GYRO: 7532 -6429 -3475 | GDP=10494.698
FLEX: 2685 2480 2411 2415 2307 | ACC: -2732 7444 -18356 | GYRO: 7411 -3540 -5269 | GDP=9757.914
FLEX: 2662 2507 2415 2429 2307 | ACC: -5220 5028 -14740 | GYRO: 2515 -3546 -1861 | GDP=4728.917
FLEX: 2666 2474 2387 2398 2285 | ACC: -1960 8572 -18764 | GYRO: 219 -2696 -309 | GDP=2722.473
FLEX: 2662 2519 2385 2416 2302 | ACC: -2760 8052 -14512 | GYRO: 1453 -3235 76 | GDP=3547.141
FLEX: 2650 2463 2370 2409 2270 | ACC: -1636 8916 -15340 | GYRO: -332 -246 -301 | GDP=511.215
FLEX: 2646 2475 2390 2414 2320 | ACC: -3340 8892 -14584 | GYRO: 1714 -1624 188 | GDP=2368.653
FLEX: 2657 2480 2393 2416 2288 | ACC: -2196 7604 -14720 | GYRO: 173 -393 410 | GDP=593.699
FLEX: 2689 2482 2425 2425 2315 | ACC: -3080 8056 -14492 | GYRO: 278 64 80 | GDP=296.277
FLEX: 2664 2465 2397 2430 2259 | ACC: -2772 7920 -13472 | GYRO: -131 -915 549 | GDP=1075.075
FLEX: 2667 2493 2396 2430 2277 | ACC: -2000 8680 -14608 | GYRO: -30 -519 242 | GDP=573.433
FLEX: 2663 2459 2383 2399 2288 | ACC: -2536 8104 -13488 | GYRO: 263 -133 243 | GDP=381.978
FLEX: 2658 2495 2405 2420 2277 | ACC: -2348 8536 -14368 | GYRO: -120 385 -387 | GDP=558.922
FLEX: 2634 2458 2399 2414 2279 | ACC: -3252 8156 -13364 | GYRO: 695 -1004 253 | GDP=1247.016
FLEX: 2654 2475 2427 2436 2286 | ACC: -1636 8304 -14700 | GYRO: 79 193 -134 | GDP=247.883
FLEX: 2653 2464 2398 2405 2295 | ACC: -2896 8232 -14048 | GYRO: 929 1422 -1531 | GDP=2286.719
FLEX: 2672 2481 2382 2402 2350 | ACC: -3388 8808 -13936 | GYRO: -949 438 278 | GDP=1081.540
FLEX: 2650 2478 2403 2386 2289 | ACC: -2000 8772 -13704 | GYRO: 36 -1060 837 | GDP=1351.098
FLEX: 2650 2486 2433 2402 2263 | ACC: -1796 9020 -13692 | GYRO: -228 -81 24 | GDP=243.148
FLEX: 2619 2477 2384 2401 2288 | ACC: -2328 9136 -13676 | GYRO: 612 -366 -353 | GDP=795.681
FLEX: 2659 2486 2373 2416 2273 | ACC: -2664 8536 -13272 | GYRO: 283 -187 -372 | GDP=503.430
FLEX: 2653 2484 2388 2407 2320 | ACC: -2856 9112 -13804 | GYRO: 706 -351 -374 | GDP=872.647
FLEX: 2646 2478 2406 2433 2319 | ACC: -2844 8648 -13496 | GYRO: 243 73 -69 | GDP=262.943
FLEX: 2653 2466 2401 2391 2263 | ACC: -2416 9164 -14168 | GYRO: 463 -394 -127 | GDP=621.075
FLEX: 2670 2474 2395 2429 2269 | ACC: -2660 8944 -13020 | GYRO: 542 293 -395 | GDP=731.873
FLEX: 2624 2454 2405 2407 2292 | ACC: -3344 8952 -13132 | GYRO: 1220 -1084 205 | GDP=1644.835
FLEX: 2672 2495 2369 2437 2315 | ACC: -2192 9228 -14228 | GYRO: 1532 -174 150 | GDP=1549.129
FLEX: 2679 2459 2407 2418 2284 | ACC: -2768 8824 -14180 | GYRO: 777 -393 -214 | GDP=896.646
