# sentence_label=Where do you live?
# timestamp=1764406497.3383183
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=76
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2559 2683 2677 2787 2599 | ACC: 2500 11580 -212 | GYRO: 18773 8085 16497 | GDP=26266.781
FLEX: 2559 2691 2686 2763 2624 | ACC: 5480 12844 -4408 | GYRO: 17756 6964 13323 | GDP=23265.320
FLEX: 2559 2678 2642 2754 2586 | ACC: 7216 11788 -6376 | GYRO: 16376 9015 11947 | GDP=22185.004
FLEX: 2623 2697 2682 2838 2606 | ACC: 9872 12508 -8788 | GYRO: 10718 5198 7549 | GDP=14102.558
FLEX: 2672 2672 2693 2783 2592 | ACC: 9924 11380 -7256 | GYRO: 6806 2346 1879 | GDP=7440.161
FLEX: 2703 2666 2688 2852 2624 | ACC: 10588 13828 -10044 | GYRO: -184 1208 -5837 | GDP=5963.530
FLEX: 2706 2657 2696 2775 2602 | ACC: 7532 11400 -6940 | GYRO: -4491 1478 -8252 | GDP=9510.472
FLEX: 2759 2643 2688 2771 2647 | ACC: 9584 13576 -10900 | GYRO: -12859 -3378 -17428 | GDP=21920.309
FLEX: 2718 2586 2658 2753 2611 | ACC: 5252 8172 -2192 | GYRO: -20332 3488 -22649 | GDP=30635.496
FLEX: 2751 2512 2686 2752 2630 | ACC: 2032 15972 -3672 | GYRO: -24886 -9757 -30444 | GDP=40513.570
FLEX: 2746 2483 2682 2709 2559 | ACC: 832 3616 5652 | GYRO: -32768 -340 -32768 | GDP=46342.199
FLEX: 2761 2482 2704 2721 2609 | ACC: -3692 5772 6080 | GYRO: -32768 -2985 -32768 | GDP=46436.988
FLEX: 2768 2476 2718 2743 2631 | ACC: -21964 -13156 15936 | GYRO: -32768 9592 -29647 | GDP=45218.281
FLEX: 2772 2512 2723 2800 2635 | ACC: -28616 -8412 20172 | GYRO: 8535 -14600 -6376 | GDP=18073.727
FLEX: 2775 2479 2728 2769 2618 | ACC: -12208 2712 7028 | GYRO: 4570 739 4170 | GDP=6230.563
FLEX: 2757 2499 2723 2717 2615 | ACC: -14696 3740 11220 | GYRO: 599 2030 1413 | GDP=2544.852
FLEX: 2763 2467 2711 2736 2594 | ACC: -10656 1896 11128 | GYRO: 4161 -3546 3461 | GDP=6470.437
FLEX: 2768 2496 2699 2752 2631 | ACC: -10796 1416 11284 | GYRO: 2948 2265 1647 | GDP=4066.145
FLEX: 2751 2481 2693 2731 2621 | ACC: -11908 1260 10704 | GYRO: 8405 1158 6421 | GDP=10640.218
FLEX: 2770 2519 2736 2721 2615 | ACC: -9340 4052 8624 | GYRO: 7724 14 6270 | GDP=9948.531
FLEX: 2749 2496 2694 2729 2583 | ACC: -13568 5088 10960 | GYRO: 9340 2876 6490 | GDP=11731.456
FLEX: 2767 2495 2671 2742 2624 | ACC: -9996 6920 8132 | GYRO: 12129 -5656 6532 | GDP=14891.944
FLEX: 2742 2473 2645 2723 2595 | ACC: -13668 10928 8432 | GYRO: 15374 -5203 10493 | GDP=19327.031
FLEX: 2736 2496 2631 2740 2609 | ACC: -7644 9372 7488 | GYRO: 18065 -8361 6393 | GDP=20907.439
FLEX: 2720 2496 2608 2734 2593 | ACC: -14968 11532 9144 | GYRO: 24462 -213 11750 | GDP=27138.484
FLEX: 2717 2515 2614 2866 2622 | ACC: -13456 14324 620 | GYRO: 28737 -25203 15506 | GDP=41248.547
FLEX: 2633 2601 2623 2743 2680 | ACC: 2028 18476 -9828 | GYRO: 13029 643 10655 | GDP=16843.316
FLEX: 2559 2677 2679 2769 2773 | ACC: -7888 15868 -10416 | GYRO: -13591 32767 -4528 | GDP=35761.633
FLEX: 2557 2643 2544 2704 2699 | ACC: -14792 9908 -4188 | GYRO: -31138 29197 -3404 | GDP=42820.871
FLEX: 2487 2640 2546 2726 2687 | ACC: -3988 11176 13460 | GYRO: -20660 6391 4854 | GDP=22163.975
FLEX: 2448 2655 2544 2693 2673 | ACC: 10428 11028 29788 | GYRO: 5564 14252 -1189 | GDP=15345.727
FLEX: 2495 2634 2455 2736 2654 | ACC: 312 15868 12896 | GYRO: 19432 14513 -15736 | GDP=28911.096
FLEX: 2526 2629 2412 2736 2722 | ACC: -8180 4128 -2328 | GYRO: 28892 23931 -22830 | GDP=43916.391
FLEX: 2449 2559 2374 2679 2693 | ACC: -23756 6824 -17564 | GYRO: 21372 251 -8256 | GDP=22912.594
FLEX: 2442 2523 2387 2704 2701 | ACC: -28364 7556 -22708 | GYRO: 3753 -10825 11472 | GDP=16213.341
FLEX: 2503 2559 2387 2759 2704 | ACC: -18872 4764 -9980 | GYRO: -15959 -32768 32767 | GDP=49011.305
FLEX: 2451 2640 2527 2746 2672 | ACC: 2544 6084 11756 | GYRO: -12596 -32768 32767 | GDP=48021.637
FLEX: 2469 2635 2603 2688 2727 | ACC: 32767 16596 -2988 | GYRO: 3710 -13609 5676 | GDP=15204.801
FLEX: 2498 2615 2618 2745 2687 | ACC: -1364 14956 10700 | GYRO: -4662 29213 -26041 | GDP=39411.512
FLEX: 2518 2618 2590 2683 2639 | ACC: -29924 10684 12104 | GYRO: 14027 20634 -6990 | GDP=25910.977
FLEX: 2551 2523 2559 2707 2682 | ACC: -14512 12872 -3064 | GYRO: 18256 2515 15460 | GDP=24054.488
FLEX: 2606 2639 2587 2714 2659 | ACC: -3364 13124 -2572 | GYRO: 17159 7410 27133 | GDP=32947.520
FLEX: 2607 2621 2544 2715 2672 | ACC: 5812 11644 -6036 | GYRO: 16752 2111 25457 | GDP=30547.418
FLEX: 2556 2597 2559 2722 2685 | ACC: 4936 12652 -10080 | GYRO: 18162 -4402 29374 | GDP=34814.762
FLEX: 2559 2610 2538 2706 2689 | ACC: 9948 11156 -11148 | GYRO: -2359 -11676 17636 | GDP=21281.973
FLEX: 2593 2624 2559 2736 2656 | ACC: 14284 9732 -10984 | GYRO: -655 -9703 7235 | GDP=12121.157
FLEX: 2559 2624 2632 2738 2679 | ACC: 12652 20168 -15916 | GYRO: -32768 -27033 -28882 | GDP=51368.230
FLEX: 2611 2487 2609 2687 2624 | ACC: 3332 7224 2816 | GYRO: -32768 -23055 -26049 | GDP=47789.387
FLEX: 2642 2483 2559 2768 2630 | ACC: -4408 12256 5620 | GYRO: -32768 -20180 -19748 | GDP=43254.570
FLEX: 2693 2474 2559 2720 2637 | ACC: -18012 8104 12848 | GYRO: 5905 4483 4612 | GDP=8731.372
FLEX: 2659 2485 2623 2736 2639 | ACC: 2188 9828 8660 | GYRO: 15501 -7800 31515 | GDP=35976.605
FLEX: 2674 2467 2603 2735 2615 | ACC: 6280 10712 14828 | GYRO: 25870 -5934 32767 | GDP=42168.063
FLEX: 2672 2471 2599 2704 2625 | ACC: 32767 22640 -16488 | GYRO: -2171 -13281 -22113 | GDP=25885.961
FLEX: 2723 2470 2593 2717 2602 | ACC: -2584 10684 4556 | GYRO: -14066 11781 -32768 | GDP=37555.109
FLEX: 2714 2470 2559 2717 2624 | ACC: -23884 12252 6300 | GYRO: -12204 6124 -16809 | GDP=21656.027
FLEX: 2703 2466 2559 2717 2603 | ACC: -16000 16072 6044 | GYRO: -6915 -8169 31785 | GDP=33538.574
FLEX: 2659 2483 2549 2732 2640 | ACC: 456 1064 15016 | GYRO: 3531 1843 32767 | GDP=33008.195
FLEX: 2667 2465 2559 2738 2611 | ACC: 15136 9184 14256 | GYRO: 30398 12735 32767 | GDP=46474.672
FLEX: 2682 2512 2638 2712 2606 | ACC: 18396 12576 2544 | GYRO: 30354 8354 320 | GDP=31484.234
FLEX: 2697 2499 2621 2697 2599 | ACC: 8912 11092 -2628 | GYRO: 29962 9431 -1691 | GDP=31456.711
FLEX: 2657 2492 2614 2720 2666 | ACC: 14260 11276 -11188 | GYRO: 22188 4148 -3846 | GDP=22897.707
FLEX: 2675 2480 2623 2704 2651 | ACC: 14248 8088 -13084 | GYRO: 10766 4870 -10728 | GDP=15959.750
FLEX: 2689 2491 2662 2746 2685 | ACC: 14700 11056 -15180 | GYRO: -822 3716 -23906 | GDP=24207.049
FLEX: 2691 2479 2660 2733 2666 | ACC: 11372 11804 -13720 | GYRO: -27987 2427 -32768 | GDP=43161.375
FLEX: 2704 2496 2699 2774 2686 | ACC: 3692 4184 -632 | GYRO: -32768 -6755 -32768 | GDP=46830.691
FLEX: 2735 2466 2654 2718 2636 | ACC: -5596 -3700 672 | GYRO: -32768 15601 -32768 | GDP=48896.574
FLEX: 2760 2480 2640 2747 2647 | ACC: -32768 -17384 30872 | GYRO: -13365 22657 -13390 | GDP=29517.029
FLEX: 2753 2471 2634 2747 2667 | ACC: -11912 3312 6380 | GYRO: 10089 -11265 -1266 | GDP=15175.339
FLEX: 2767 2477 2638 2733 2665 | ACC: -16752 5156 10012 | GYRO: -2558 7165 342 | GDP=7615.612
FLEX: 2775 2446 2627 2738 2654 | ACC: -12508 6240 9948 | GYRO: 3250 -2920 1548 | GDP=4635.213
FLEX: 2749 2482 2655 2736 2669 | ACC: -10648 6740 9432 | GYRO: -388 1340 -1 | GDP=1395.043
FLEX: 2736 2461 2647 2719 2640 | ACC: -11284 5804 9808 | GYRO: 2236 -2365 418 | GDP=3281.409
